Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2018/06/30,ASSAM,LAKHIMPUR,15.23,-,79.39,39.69608328
2018/06/30,ASSAM,KARIMGANJ,9.06,-,63.2,40.36780064
2018/06/30,ASSAM,SONITPUR,8.84,-,55.27,33.63377109
2018/06/30,ASSAM,HAILAKANDI,7.64,-,50.83,41.17885411
2018/06/30,ASSAM,KOKRAJHAR,14.83,-,89.56,42.4680812
2018/06/30,ASSAM,TINSUKIA,14.04,-,73.33,40.78269106
2018/06/30,ASSAM,KAMRUP METROPOLITAN,10.82,-,56.73,39.25834941
2018/06/30,ASSAM,CHIRANG,13.17,-,84.43,42.49296829
2018/06/30,ASSAM,JORHAT,15.81,-,78.05,39.59771518
2018/06/30,ASSAM,UDALGURI,5.19,-,33.58,30.39424558
2018/06/30,ASSAM,KARBI ANGLONG,1.98,-,13.66,35.33035922
2018/06/30,ASSAM,GOLAGHAT,8.99,-,49.66,35.37129708
2018/06/30,ASSAM,NAGAON,3.91,-,23.3,34.14346532
2018/06/30,ASSAM,NALBARI,10.81,-,69.3,37.19495704
2018/06/30,ASSAM,SIVASAGAR,13.16,-,71.33,41.49238417
2018/06/30,ASSAM,DHEMAJI,18.42,-,93.15,41.21664481
2018/06/30,ASSAM,KAMRUP,8.59,-,53.4,36.26037461
2018/06/30,ASSAM,DIMA HASAO,2.22,-,16.36,33.68309268
2018/06/30,ASSAM,DARRANG,6.04,-,37.51,31.34085672
2018/06/30,ASSAM,DIBRUGARH,17.79,-,87.19,41.5156565
2018/06/30,ASSAM,BARPETA,13.27,-,79.94,39.53271358
2018/06/30,ASSAM,DHUBRI,17.02,-,78.06,39.56437114
2018/06/30,ASSAM,BONGAIGAON,11.1,-,73.25,41.3906924
2018/06/30,ASSAM,MARIGAON,14.19,-,66.54,39.39120009
2018/06/30,ASSAM,GOALPARA,7.8,-,52.77,38.94526231
2018/06/30,ASSAM,BAKSA,13.48,-,83.57,40.09526997
2018/06/30,ASSAM,CACHAR,5.24,-,39.5,40.92964304
2018/06/29,ASSAM,LAKHIMPUR,15.54,-,81.7,40.42946085
2018/06/29,ASSAM,KARIMGANJ,9.46,-,66.7,41.06917923
2018/06/29,ASSAM,SONITPUR,8.82,-,54.81,33.91467947
2018/06/29,ASSAM,HAILAKANDI,7.81,-,52.18,41.59955213
2018/06/29,ASSAM,KOKRAJHAR,13.77,-,82.79,39.86898158
2018/06/29,ASSAM,TINSUKIA,13.9,-,72.46,40.6415307
2018/06/29,ASSAM,KAMRUP METROPOLITAN,10.54,-,55.27,38.19710015
2018/06/29,ASSAM,CHIRANG,12.12,-,77.76,39.98652226
2018/06/29,ASSAM,JORHAT,16.29,-,80.45,40.63840572
2018/06/29,ASSAM,UDALGURI,5.39,-,34.93,31.46827487
2018/06/29,ASSAM,KARBI ANGLONG,2.26,-,15.75,36.24046787
2018/06/29,ASSAM,GOLAGHAT,9.54,-,52.91,37.08567672
2018/06/29,ASSAM,NAGAON,4.13,-,24.52,34.52502955
2018/06/29,ASSAM,NALBARI,10.06,-,64.35,35.4741593
2018/06/29,ASSAM,SIVASAGAR,13.51,-,73.59,42.23682573
2018/06/29,ASSAM,DHEMAJI,18.1,-,91.24,40.46678741
2018/06/29,ASSAM,KAMRUP,8.61,-,53.55,36.43789182
2018/06/29,ASSAM,DIMA HASAO,2.54,-,19.26,35.06372595
2018/06/29,ASSAM,DARRANG,6.59,-,41.02,33.13431857
2018/06/29,ASSAM,DIBRUGARH,17.72,-,86.78,41.38361989
2018/06/29,ASSAM,BARPETA,12.1,-,72.67,37.04374123
2018/06/29,ASSAM,DHUBRI,16.01,-,73.01,36.70114937
2018/06/29,ASSAM,BONGAIGAON,9.98,-,65.95,38.36615092
2018/06/29,ASSAM,MARIGAON,14.1,-,66.39,38.2356298
2018/06/29,ASSAM,GOALPARA,7.78,-,52.71,39.1139608
2018/06/29,ASSAM,BAKSA,12.56,-,77.83,38.22113374
2018/06/29,ASSAM,CACHAR,5.07,-,38.1,40.602911
2018/06/28,ASSAM,LAKHIMPUR,15.85,-,84.39,41.12929826
2018/06/28,ASSAM,KARIMGANJ,9.57,-,67.62,41.21674461
2018/06/28,ASSAM,SONITPUR,9.14,-,56.87,34.67510216
2018/06/28,ASSAM,HAILAKANDI,8.01,-,53.87,42.18746751
2018/06/28,ASSAM,KOKRAJHAR,14.13,-,85.08,40.79808934
2018/06/28,ASSAM,TINSUKIA,13.99,-,73.02,41.12761782
2018/06/28,ASSAM,KAMRUP METROPOLITAN,10.94,-,57.49,38.99690903
2018/06/28,ASSAM,CHIRANG,12.26,-,78.62,40.34734246
2018/06/28,ASSAM,JORHAT,16.44,-,81.36,41.10799017
2018/06/28,ASSAM,UDALGURI,5.63,-,36.51,32.42558575
2018/06/28,ASSAM,KARBI ANGLONG,2.61,-,18.37,37.41192481
2018/06/28,ASSAM,GOLAGHAT,9.71,-,53.82,37.81187216
2018/06/28,ASSAM,NAGAON,4.15,-,24.66,35.03999255
2018/06/28,ASSAM,NALBARI,11.15,-,71.38,37.84917159
2018/06/28,ASSAM,SIVASAGAR,13.61,-,74.29,42.48063397
2018/06/28,ASSAM,DHEMAJI,18.52,-,93.63,41.40709142
2018/06/28,ASSAM,KAMRUP,9.4,-,58.57,38.58424413
2018/06/28,ASSAM,DIMA HASAO,2.95,-,23,36.80328591
2018/06/28,ASSAM,DARRANG,6.31,-,39.24,32.86821153
