Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2018/06/30,BIHAR,BEGUSARAI,0.08,-,0.67,25.61509897
2018/06/30,BIHAR,KHAGARIA,0.01,-,0.08,22.22268328
2018/06/30,BIHAR,GAYA,0.18,-,1.24,35.240898
2018/06/30,BIHAR,SHEOHAR,0,-,0,25.67862737
2018/06/30,BIHAR,DARBHANGA,0.01,-,0.05,24.37391179
2018/06/30,BIHAR,PURNIA,2.75,-,23.38,26.20093083
2018/06/30,BIHAR,PASHCHIM CHAMPARAN,0.91,-,8.26,24.13250608
2018/06/30,BIHAR,BANKA,1.55,-,10.24,31.64275694
2018/06/30,BIHAR,LAKHISARAI,0.23,-,2.22,32.60446614
2018/06/30,BIHAR,MADHEPURA,4.24,-,38.54,22.09241491
2018/06/30,BIHAR,VAISHALI,0,-,0,26.92922839
2018/06/30,BIHAR,SITAMARHI,0.06,-,0.57,30.0544418
2018/06/30,BIHAR,SAHARSA,0.84,-,8.38,19.53272131
2018/06/30,BIHAR,PURBA CHAMPARAN,0,-,0.02,25.60093321
2018/06/30,BIHAR,MUZAFFARPUR,0,-,0,23.13265813
2018/06/30,BIHAR,SAMASTIPUR,0,-,0,23.94998146
2018/06/30,BIHAR,SUPAUL,7,-,63.15,22.77768456
2018/06/30,BIHAR,NALANDA,0.12,-,0.86,33.38600906
2018/06/30,BIHAR,BHAGALPUR,0.23,-,2.11,29.28859397
2018/06/30,BIHAR,BUXAR,0,-,0.01,26.59210041
2018/06/30,BIHAR,JEHANABAD,0,-,0,37.64380209
2018/06/30,BIHAR,MADHUBANI,1.31,-,11.91,26.38040454
2018/06/30,BIHAR,MUNGER,0.44,-,4.16,30.21847193
2018/06/30,BIHAR,GOPALGANJ,0.02,-,0.14,22.91081231
2018/06/30,BIHAR,SIWAN,0,-,0,22.05026502
2018/06/30,BIHAR,KAIMUR (BHABUA),0.02,-,0.12,32.28446814
2018/06/30,BIHAR,KISHANGANJ,9.06,-,61.22,36.30696459
2018/06/30,BIHAR,JAMUI,2.14,-,15.43,33.8735447
2018/06/30,BIHAR,SHEIKHPURA,0,-,0,36.77258814
2018/06/30,BIHAR,NAWADA,0.1,-,0.61,33.96638746
2018/06/30,BIHAR,ARWAL,0.07,-,0.49,37.2863145
2018/06/30,BIHAR,BHOJPUR,0.01,-,0.06,30.60290357
2018/06/30,BIHAR,ROHTAS,0.15,-,0.87,33.23042578
2018/06/30,BIHAR,SARAN (CHHAPRA),0,-,0,24.54859667
2018/06/30,BIHAR,KATIHAR,0.39,-,2.44,26.06259778
2018/06/30,BIHAR,AURANGABAD,0.31,-,2.12,36.72881338
2018/06/30,BIHAR,PATNA,0.06,-,0.44,34.22961079
2018/06/30,BIHAR,ARARIA,4.58,-,35.5,25.73394906
2018/06/29,BIHAR,BEGUSARAI,0.1,-,0.81,26.7689854
2018/06/29,BIHAR,KHAGARIA,0.01,-,0.09,23.18138465
2018/06/29,BIHAR,GAYA,0.19,-,1.34,36.43981574
2018/06/29,BIHAR,SHEOHAR,0,-,0,24.98330741
2018/06/29,BIHAR,DARBHANGA,0,-,0,23.14969322
2018/06/29,BIHAR,PURNIA,2.9,-,24.57,26.97081115
2018/06/29,BIHAR,PASHCHIM CHAMPARAN,0.71,-,6.69,22.29392013
2018/06/29,BIHAR,BANKA,1.8,-,12.06,33.29248353
2018/06/29,BIHAR,LAKHISARAI,0.26,-,2.47,33.93430831
2018/06/29,BIHAR,MADHEPURA,4.42,-,40.02,22.96634371
2018/06/29,BIHAR,VAISHALI,0,-,0,27.92425244
2018/06/29,BIHAR,SITAMARHI,0.05,-,0.54,29.12513037
2018/06/29,BIHAR,SAHARSA,0.89,-,8.91,20.12693289
2018/06/29,BIHAR,PURBA CHAMPARAN,0,-,0.02,24.97279336
2018/06/29,BIHAR,MUZAFFARPUR,0,-,0,23.11153067
2018/06/29,BIHAR,SAMASTIPUR,0,-,0,24.93027565
2018/06/29,BIHAR,SUPAUL,7.06,-,63.58,22.82118388
2018/06/29,BIHAR,NALANDA,0.12,-,0.86,34.63785745
2018/06/29,BIHAR,BHAGALPUR,0.25,-,2.28,30.66625609
2018/06/29,BIHAR,BUXAR,0,-,0.05,27.83289621
2018/06/29,BIHAR,JEHANABAD,0,-,0,37.8415021
2018/06/29,BIHAR,MADHUBANI,1.18,-,11.1,24.6430412
2018/06/29,BIHAR,MUNGER,0.46,-,4.35,31.45069294
2018/06/29,BIHAR,GOPALGANJ,0.02,-,0.15,23.34936387
2018/06/29,BIHAR,SIWAN,0,-,0,22.76430921
2018/06/29,BIHAR,KAIMUR (BHABUA),0.02,-,0.14,33.21643524
2018/06/29,BIHAR,KISHANGANJ,8.46,-,57.31,34.4476018
2018/06/29,BIHAR,JAMUI,2.36,-,17.06,35.64814463
2018/06/29,BIHAR,SHEIKHPURA,0,-,0,38.21419079
2018/06/29,BIHAR,NAWADA,0.11,-,0.67,34.94848843
2018/06/29,BIHAR,ARWAL,0.08,-,0.54,37.55656162
2018/06/29,BIHAR,BHOJPUR,0.01,-,0.07,31.97237654
2018/06/29,BIHAR,ROHTAS,0.16,-,0.93,34.28221154
2018/06/29,BIHAR,SARAN (CHHAPRA),0,-,0,25.55916734
2018/06/29,BIHAR,KATIHAR,0.43,-,2.71,27.00292566
2018/06/29,BIHAR,AURANGABAD,0.33,-,2.24,37.88807684
2018/06/29,BIHAR,PATNA,0.06,-,0.44,35.44140239
2018/06/29,BIHAR,ARARIA,4.65,-,35.93,25.53708024
2018/06/28,BIHAR,BEGUSARAI,0.14,-,1.18,28.52286395
2018/06/28,BIHAR,KHAGARIA,0.01,-,0.12,24.79090926
2018/06/28,BIHAR,GAYA,0.26,-,1.7,39.14640978
2018/06/28,BIHAR,SHEOHAR,0,-,0,26.31689575
2018/06/28,BIHAR,DARBHANGA,0,-,0,23.7368459
2018/06/28,BIHAR,PURNIA,3.12,-,26.31,28.4657231
2018/06/28,BIHAR,PASHCHIM CHAMPARAN,0.77,-,7.14,23.30278924
2018/06/28,BIHAR,BANKA,2.53,-,17.44,36.57343192
2018/06/28,BIHAR,LAKHISARAI,0.25,-,2.44,36.07095537
2018/06/28,BIHAR,MADHEPURA,4.61,-,41.48,23.9650992
2018/06/28,BIHAR,VAISHALI,0.01,-,0.03,29.08512942
2018/06/28,BIHAR,SITAMARHI,0.05,-,0.56,30.37307077
2018/06/28,BIHAR,SAHARSA,0.98,-,9.66,20.94742261
2018/06/28,BIHAR,PURBA CHAMPARAN,0,-,0.02,26.04676142
2018/06/28,BIHAR,MUZAFFARPUR,0,-,0,23.86589988
2018/06/28,BIHAR,SAMASTIPUR,0,-,0,25.70854011
2018/06/28,BIHAR,SUPAUL,7.24,-,64.92,23.25618027
2018/06/28,BIHAR,NALANDA,0.14,-,1.06,36.90035641
2018/06/28,BIHAR,BHAGALPUR,0.31,-,2.71,33.047831
2018/06/28,BIHAR,BUXAR,0.01,-,0.08,28.80076366
2018/06/28,BIHAR,JEHANABAD,0,-,0,40.22546941
2018/06/28,BIHAR,MADHUBANI,1.28,-,11.88,25.70009843
2018/06/28,BIHAR,MUNGER,0.5,-,4.66,33.56157997
2018/06/28,BIHAR,GOPALGANJ,0.02,-,0.2,23.83190204
2018/06/28,BIHAR,SIWAN,0,-,0,23.09592302
2018/06/28,BIHAR,KAIMUR (BHABUA),0.04,-,0.24,35.17076002
2018/06/28,BIHAR,KISHANGANJ,9.13,-,61.89,36.07606139
2018/06/28,BIHAR,JAMUI,2.76,-,19.78,38.33818913
2018/06/28,BIHAR,SHEIKHPURA,0,-,0,40.53542011
2018/06/28,BIHAR,NAWADA,0.26,-,1.58,37.65189673
2018/06/28,BIHAR,ARWAL,0.09,-,0.63,39.91405767
2018/06/28,BIHAR,BHOJPUR,0.09,-,0.62,34.07586189
2018/06/28,BIHAR,ROHTAS,0.21,-,1.2,36.51541669
2018/06/28,BIHAR,SARAN (CHHAPRA),0.01,-,0.05,26.49279313
2018/06/28,BIHAR,KATIHAR,1.05,-,6.75,30.01966073
2018/06/28,BIHAR,AURANGABAD,0.34,-,2.36,40.72201813
2018/06/28,BIHAR,PATNA,0.06,-,0.45,37.27183906
2018/06/28,BIHAR,ARARIA,4.91,-,37.72,26.40428999
2018/06/27,BIHAR,BEGUSARAI,0.11,-,0.92,27.70367852
2018/06/27,BIHAR,KHAGARIA,0.04,-,0.32,23.03251351
2018/06/27,BIHAR,GAYA,0.26,-,1.73,38.43647058
2018/06/27,BIHAR,SHEOHAR,0,-,0,27.30368005
2018/06/27,BIHAR,DARBHANGA,0,-,0,25.17079858
2018/06/27,BIHAR,PURNIA,3.05,-,25.84,28.50319129
2018/06/27,BIHAR,PASHCHIM CHAMPARAN,0.82,-,7.58,23.88147349
2018/06/27,BIHAR,BANKA,1.74,-,11.5,35.04781545
2018/06/27,BIHAR,LAKHISARAI,0.27,-,2.4,36.42309131
2018/06/27,BIHAR,MADHEPURA,4.91,-,43.79,24.8969701
2018/06/27,BIHAR,VAISHALI,0,-,0,30.09970159
2018/06/27,BIHAR,SITAMARHI,0.06,-,0.57,31.29774779
2018/06/27,BIHAR,SAHARSA,1.06,-,10.35,21.78869532
2018/06/27,BIHAR,PURBA CHAMPARAN,0,-,0.03,26.72009838
2018/06/27,BIHAR,MUZAFFARPUR,0,-,0,25.3599968
2018/06/27,BIHAR,SAMASTIPUR,0,-,0,26.91331939
2018/06/27,BIHAR,SUPAUL,7.62,-,67.92,25.25683503
2018/06/27,BIHAR,NALANDA,0.11,-,0.82,35.22042093
2018/06/27,BIHAR,BHAGALPUR,0.28,-,2.51,31.90285797
2018/06/27,BIHAR,BUXAR,0.02,-,0.23,29.98860634
2018/06/27,BIHAR,JEHANABAD,0,-,0,38.86681797
2018/06/27,BIHAR,MADHUBANI,1.4,-,12.85,27.34227404
2018/06/27,BIHAR,MUNGER,0.87,-,7.13,35.94728739
2018/06/27,BIHAR,GOPALGANJ,0.03,-,0.25,25.02337573
2018/06/27,BIHAR,SIWAN,0,-,0,24.32827594
2018/06/27,BIHAR,KAIMUR (BHABUA),0.61,-,3.75,37.52131778
2018/06/27,BIHAR,KISHANGANJ,10.05,-,68.19,38.47362712
2018/06/27,BIHAR,JAMUI,2.54,-,18.14,38.12232157
2018/06/27,BIHAR,SHEIKHPURA,0,-,0.01,40.78005875
2018/06/27,BIHAR,NAWADA,0.18,-,1.05,35.82197466
2018/06/27,BIHAR,ARWAL,0.3,-,1.83,40.41820002
2018/06/27,BIHAR,BHOJPUR,0.13,-,0.88,34.80070509
2018/06/27,BIHAR,ROHTAS,0.37,-,2.2,38.01312479
2018/06/27,BIHAR,SARAN (CHHAPRA),0,-,0,27.89026537
2018/06/27,BIHAR,KATIHAR,0.35,-,2.19,27.12379939
2018/06/27,BIHAR,AURANGABAD,0.31,-,2.12,40.75238657
2018/06/27,BIHAR,PATNA,0.05,-,0.39,36.52563672
2018/06/27,BIHAR,ARARIA,5.25,-,40.09,27.70882043
2018/06/26,BIHAR,BEGUSARAI,0.1,-,0.88,28.09149757
2018/06/26,BIHAR,KHAGARIA,0.01,-,0.13,23.82525455
2018/06/26,BIHAR,GAYA,0.29,-,1.96,39.2305427
2018/06/26,BIHAR,SHEOHAR,0,-,0,28.84246578
2018/06/26,BIHAR,DARBHANGA,0,-,0,26.6196708
2018/06/26,BIHAR,PURNIA,3.24,-,27.08,29.76237347
2018/06/26,BIHAR,PASHCHIM CHAMPARAN,0.91,-,8.28,25.55479327
2018/06/26,BIHAR,BANKA,1.59,-,10.55,35.06542021
2018/06/26,BIHAR,LAKHISARAI,0.09,-,0.83,35.97301039
2018/06/26,BIHAR,MADHEPURA,5.28,-,46.27,28.08491764
2018/06/26,BIHAR,VAISHALI,0,-,0,30.70211703
2018/06/26,BIHAR,SITAMARHI,0.06,-,0.56,32.85496151
2018/06/26,BIHAR,SAHARSA,1.18,-,11.23,23.32115223
2018/06/26,BIHAR,PURBA CHAMPARAN,0,-,0.03,28.51371805
2018/06/26,BIHAR,MUZAFFARPUR,0,-,0,26.68549923
2018/06/26,BIHAR,SAMASTIPUR,0,-,0,27.11141672
2018/06/26,BIHAR,SUPAUL,8.23,-,72.5,28.5203635
2018/06/26,BIHAR,NALANDA,0.1,-,0.75,35.47329851
2018/06/26,BIHAR,BHAGALPUR,0.22,-,1.98,32.73312641
2018/06/26,BIHAR,BUXAR,0,-,0.04,29.97580949
2018/06/26,BIHAR,JEHANABAD,0,-,0,40.15017715
2018/06/26,BIHAR,MADHUBANI,1.54,-,13.85,29.02634548
2018/06/26,BIHAR,MUNGER,0.3,-,2.77,33.14049069
2018/06/26,BIHAR,GOPALGANJ,0.03,-,0.29,26.35237748
2018/06/26,BIHAR,SIWAN,0,-,0,24.93791239
2018/06/26,BIHAR,KAIMUR (BHABUA),1.03,-,6.35,39.37335679
2018/06/26,BIHAR,KISHANGANJ,10.46,-,70.89,39.52830533
2018/06/26,BIHAR,JAMUI,2.62,-,18.51,37.38345885
2018/06/26,BIHAR,SHEIKHPURA,0,-,0,39.40360831
2018/06/26,BIHAR,NAWADA,0.32,-,1.93,36.8030577
2018/06/26,BIHAR,ARWAL,0.03,-,0.22,40.25958819
2018/06/26,BIHAR,BHOJPUR,0.04,-,0.25,34.00613765
2018/06/26,BIHAR,ROHTAS,0.98,-,6.07,40.83269175
2018/06/26,BIHAR,SARAN (CHHAPRA),0,-,0,29.04880698
2018/06/26,BIHAR,KATIHAR,0.41,-,2.62,28.76136679
2018/06/26,BIHAR,AURANGABAD,0.33,-,2.2,42.30996826
2018/06/26,BIHAR,PATNA,0.05,-,0.38,37.28353266
2018/06/26,BIHAR,ARARIA,5.54,-,42.11,29.52146823
2018/06/25,BIHAR,BEGUSARAI,0.13,-,0.99,27.86897352
2018/06/25,BIHAR,KHAGARIA,0.01,-,0.09,22.50323388
2018/06/25,BIHAR,GAYA,0.64,-,4.23,42.20058424
2018/06/25,BIHAR,SHEOHAR,0.17,-,1.11,30.79412124
2018/06/25,BIHAR,DARBHANGA,0,-,0.01,26.09106428
2018/06/25,BIHAR,PURNIA,2.9,-,24.6,28.7188651
2018/06/25,BIHAR,PASHCHIM CHAMPARAN,0.93,-,8.42,26.04253229
2018/06/25,BIHAR,BANKA,1.94,-,12.91,35.84567759
2018/06/25,BIHAR,LAKHISARAI,0.11,-,1.09,36.80897714
2018/06/25,BIHAR,MADHEPURA,4.4,-,39.81,24.84640333
2018/06/25,BIHAR,VAISHALI,0.01,-,0.06,31.37399826
2018/06/25,BIHAR,SITAMARHI,0.17,-,1.29,34.50115691
2018/06/25,BIHAR,SAHARSA,0.91,-,8.91,21.6348457
2018/06/25,BIHAR,PURBA CHAMPARAN,0.03,-,0.22,30.13451089
2018/06/25,BIHAR,MUZAFFARPUR,0.01,-,0.04,27.86773684
2018/06/25,BIHAR,SAMASTIPUR,0.01,-,0.09,26.58780041
2018/06/25,BIHAR,SUPAUL,7.25,-,65.19,25.5670101
2018/06/25,BIHAR,NALANDA,0.19,-,1.35,36.91726554
2018/06/25,BIHAR,BHAGALPUR,0.18,-,1.65,30.14333961
2018/06/25,BIHAR,BUXAR,0,-,0.03,26.95441308
2018/06/25,BIHAR,JEHANABAD,0.2,-,1.35,43.73827394
2018/06/25,BIHAR,MADHUBANI,1.45,-,13.17,28.88508923
2018/06/25,BIHAR,MUNGER,0.28,-,2.6,32.22769632
2018/06/25,BIHAR,GOPALGANJ,0.04,-,0.29,27.24751113
2018/06/25,BIHAR,SIWAN,0,-,0.01,25.64204594
2018/06/25,BIHAR,KAIMUR (BHABUA),0.03,-,0.18,31.66401958
2018/06/25,BIHAR,KISHANGANJ,10.19,-,69.03,39.03052799
2018/06/25,BIHAR,JAMUI,3.52,-,23.78,40.08395623
2018/06/25,BIHAR,SHEIKHPURA,0,-,0.03,41.30510416
2018/06/25,BIHAR,NAWADA,1.2,-,7.39,39.79146606
2018/06/25,BIHAR,ARWAL,0.14,-,0.95,43.77444432
2018/06/25,BIHAR,BHOJPUR,1.13,-,8.02,37.33512696
2018/06/25,BIHAR,ROHTAS,0.09,-,0.54,36.20834802
2018/06/25,BIHAR,SARAN (CHHAPRA),0.5,-,3.76,31.4902788
2018/06/25,BIHAR,KATIHAR,0.52,-,3.39,28.04261411
2018/06/25,BIHAR,AURANGABAD,0.33,-,2.26,42.43709904
2018/06/25,BIHAR,PATNA,0.44,-,4,40.11067976
2018/06/25,BIHAR,ARARIA,5.06,-,39.08,28.67103592
2018/06/24,BIHAR,BEGUSARAI,0.1,-,0.91,27.51174525
2018/06/24,BIHAR,KHAGARIA,0.01,-,0.12,23.9634112
2018/06/24,BIHAR,GAYA,0.5,-,3.23,40.64964607
2018/06/24,BIHAR,SHEOHAR,1.05,-,6.88,32.55544763
2018/06/24,BIHAR,DARBHANGA,0.01,-,0.06,27.29141912
2018/06/24,BIHAR,PURNIA,2.85,-,24.08,28.99824941
2018/06/24,BIHAR,PASHCHIM CHAMPARAN,1.04,-,9.16,26.9743816
2018/06/24,BIHAR,BANKA,2.07,-,14.03,37.52660165
2018/06/24,BIHAR,LAKHISARAI,0.12,-,1.07,36.15891083
2018/06/24,BIHAR,MADHEPURA,4.67,-,41.58,28.11435647
2018/06/24,BIHAR,VAISHALI,0,-,0,28.45950825
2018/06/24,BIHAR,SITAMARHI,0.41,-,2.78,35.33516725
2018/06/24,BIHAR,SAHARSA,1.1,-,10.31,23.62384778
2018/06/24,BIHAR,PURBA CHAMPARAN,0.42,-,2.93,31.02824466
2018/06/24,BIHAR,MUZAFFARPUR,0.04,-,0.3,27.59089036
2018/06/24,BIHAR,SAMASTIPUR,0,-,0,26.24242161
2018/06/24,BIHAR,SUPAUL,7.37,-,65.92,27.13663575
2018/06/24,BIHAR,NALANDA,0.07,-,0.51,31.50887537
2018/06/24,BIHAR,BHAGALPUR,0.19,-,1.71,31.94279565
2018/06/24,BIHAR,BUXAR,0,-,0,24.39070379
2018/06/24,BIHAR,JEHANABAD,0,-,0,33.52301537
2018/06/24,BIHAR,MADHUBANI,2.03,-,16.91,31.03991668
2018/06/24,BIHAR,MUNGER,0.27,-,2.51,33.93300322
2018/06/24,BIHAR,GOPALGANJ,0.13,-,0.92,27.6065073
2018/06/24,BIHAR,SIWAN,0.03,-,0.22,25.17956854
2018/06/24,BIHAR,KAIMUR (BHABUA),0.14,-,0.84,31.27252158
2018/06/24,BIHAR,KISHANGANJ,9.62,-,65.28,37.74562913
2018/06/24,BIHAR,JAMUI,2.8,-,18.37,39.1986631
2018/06/24,BIHAR,SHEIKHPURA,0,-,0.01,39.00855081
2018/06/24,BIHAR,NAWADA,0.46,-,2.85,35.4708854
2018/06/24,BIHAR,ARWAL,0,-,0.02,32.58884873
2018/06/24,BIHAR,BHOJPUR,0,-,0,24.9712506
2018/06/24,BIHAR,ROHTAS,0.12,-,0.76,33.75544884
2018/06/24,BIHAR,SARAN (CHHAPRA),0.26,-,2.18,26.86085574
2018/06/24,BIHAR,KATIHAR,0.24,-,1.48,26.07675134
2018/06/24,BIHAR,AURANGABAD,0.16,-,1.08,38.40354105
2018/06/24,BIHAR,PATNA,0.03,-,0.23,28.76244831
2018/06/24,BIHAR,ARARIA,5.05,-,39.07,29.54461753
2018/06/23,BIHAR,BEGUSARAI,0.04,-,0.33,23.18410268
