Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2018/06/30,CHHATTISGARH,BILASPUR,3.53,-,30.98,33.06490735
2018/06/30,CHHATTISGARH,DAKSHIN BASTAR DANTEWADA,5.25,-,47.53,35.33920554
2018/06/30,CHHATTISGARH,KABEERDHAM,3.48,-,33.36,34.55797994
2018/06/30,CHHATTISGARH,JANJGIR-CHAMPA,2.35,-,21.01,37.72777379
2018/06/30,CHHATTISGARH,KORBA,3.74,-,34.23,28.8308107
2018/06/30,CHHATTISGARH,KORIYA,3.44,-,29.39,25.77796538
2018/06/30,CHHATTISGARH,RAIPUR,1.57,-,15.15,35.57693441
2018/06/30,CHHATTISGARH,RAJNANDGAON,2.51,-,23.53,35.63052417
2018/06/30,CHHATTISGARH,BIJAPUR,3.75,-,33.3,34.14984606
2018/06/30,CHHATTISGARH,DURG,0.71,-,7.28,35.21109212
2018/06/30,CHHATTISGARH,BASTAR,3.98,-,37.65,31.86536818
2018/06/30,CHHATTISGARH,DHAMTARI,3.01,-,29.23,33.22092322
2018/06/30,CHHATTISGARH,JASHPUR,4.37,-,39.06,28.32276281
2018/06/30,CHHATTISGARH,MAHASAMUND,2.43,-,22.99,31.38603503
2018/06/30,CHHATTISGARH,RAIGARH,3.19,-,28.69,30.54807275
2018/06/30,CHHATTISGARH,SURGUJA,3.73,-,33.9,27.52396904
2018/06/30,CHHATTISGARH,UTTAR BASTAR KANKER,4.28,-,40.15,31.33366658
2018/06/30,CHHATTISGARH,NARAYANPUR,4.68,-,39.07,32.14653594
2018/06/29,CHHATTISGARH,BILASPUR,3.94,-,34.16,33.84950901
2018/06/29,CHHATTISGARH,DAKSHIN BASTAR DANTEWADA,3.86,-,35.29,31.4616533
2018/06/29,CHHATTISGARH,KABEERDHAM,3.66,-,34.95,35.04205281
2018/06/29,CHHATTISGARH,JANJGIR-CHAMPA,2.2,-,19.62,35.88403894
