Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2018/06/30,GUJARAT,GANDHINAGAR,0.08,-,0.67,21.38121423
2018/06/30,GUJARAT,NARMADA,0,-,0,40.27918054
2018/06/30,GUJARAT,JAMNAGAR,0.07,-,0.48,13.14033617
2018/06/30,GUJARAT,VADODARA,0.2,-,2.08,35.66809871
2018/06/30,GUJARAT,NAVSARI,1.11,-,7.58,36.2433083
2018/06/30,GUJARAT,SURENDRANAGAR,0.01,-,0.09,18.72298599
2018/06/30,GUJARAT,BHARUCH,1.24,-,7.04,35.66061067
2018/06/30,GUJARAT,VALSAD,0.61,-,4.24,31.17689217
2018/06/30,GUJARAT,AMRELI,0.2,-,1.87,21.09406891
2018/06/30,GUJARAT,ANAND,0.46,-,3.5,26.50018971
2018/06/30,GUJARAT,BHAVNAGAR,0.34,-,2.23,27.78719125
2018/06/30,GUJARAT,KHEDA,0.74,-,7.11,26.66797887
2018/06/30,GUJARAT,PATAN,0.09,-,0.77,26.0072067
2018/06/30,GUJARAT,THE DANGS,0,-,0,26.71011308
2018/06/30,GUJARAT,TAPI,0.08,-,0.53,36.36837791
2018/06/30,GUJARAT,PANCH MAHALS,0.47,-,4.11,32.62903668
2018/06/30,GUJARAT,SURAT,1.21,-,7.57,39.20909924
2018/06/30,GUJARAT,SABAR KANTHA,1.2,-,10.62,32.05707885
2018/06/30,GUJARAT,MAHESANA,0.06,-,0.49,22.16276229
2018/06/30,GUJARAT,BANAS KANTHA,0.35,-,3.24,25.4472759
2018/06/30,GUJARAT,DOHAD,0.09,-,0.86,35.36186625
2018/06/30,GUJARAT,AHMADABAD,0.15,-,0.93,27.2224571
2018/06/30,GUJARAT,PORBANDAR,0.01,-,0.15,10.92616687
2018/06/30,GUJARAT,JUNAGADH,0.02,-,0.34,11.36636992
2018/06/30,GUJARAT,KACHCHH,1.1,-,6.13,11.63472861
2018/06/30,GUJARAT,RAJKOT,0.03,-,0.19,20.65426037
2018/06/29,GUJARAT,GANDHINAGAR,0.54,-,3.87,23.67757806
2018/06/29,GUJARAT,NARMADA,0,-,0,42.04374348
2018/06/29,GUJARAT,JAMNAGAR,0.11,-,0.81,13.94901939
2018/06/29,GUJARAT,VADODARA,0.23,-,2.44,37.36327665
2018/06/29,GUJARAT,NAVSARI,1.15,-,7.8,37.70301636
2018/06/29,GUJARAT,SURENDRANAGAR,0.05,-,0.37,19.63846225
2018/06/29,GUJARAT,BHARUCH,1.3,-,7.39,37.73137459
2018/06/29,GUJARAT,VALSAD,0.63,-,4.42,32.37892012
2018/06/29,GUJARAT,AMRELI,0.22,-,2.05,21.92759651
2018/06/29,GUJARAT,ANAND,0.51,-,3.92,28.23183194
2018/06/29,GUJARAT,BHAVNAGAR,0.32,-,2.05,28.90667102
2018/06/29,GUJARAT,KHEDA,0.87,-,8.33,28.90294002
2018/06/29,GUJARAT,PATAN,0.4,-,2.98,28.17743203
2018/06/29,GUJARAT,THE DANGS,0,-,0.01,27.68893381
2018/06/29,GUJARAT,TAPI,0.15,-,0.95,38.55135394
2018/06/29,GUJARAT,PANCH MAHALS,0.71,-,6.33,35.21962775
2018/06/29,GUJARAT,SURAT,1.28,-,7.96,41.64594407
2018/06/29,GUJARAT,SABAR KANTHA,2.24,-,18.74,35.96751098
2018/06/29,GUJARAT,MAHESANA,0.34,-,2.47,23.58768708
2018/06/29,GUJARAT,BANAS KANTHA,0.96,-,7.42,28.15211604
2018/06/29,GUJARAT,DOHAD,0.09,-,0.9,36.67917593
