Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2018/06/30,JHARKHAND,JAMTARA,7.22,-,52.65,38.55582998
2018/06/30,JHARKHAND,DHANBAD,7.73,-,49.68,36.6386569
2018/06/30,JHARKHAND,DUMKA,3.16,-,26.05,35.87537816
2018/06/30,JHARKHAND,GARHWA,0.24,-,1.61,30.92806523
2018/06/30,JHARKHAND,PASHCHIMI SINGHBHUM,1.11,-,8.94,38.81326623
2018/06/30,JHARKHAND,RAMGARH,1.79,-,13.7,38.12574141
2018/06/30,JHARKHAND,CHATRA,0.53,-,3.35,31.16223037
2018/06/30,JHARKHAND,LOHARDAGA,3.52,-,26.12,31.75357525
2018/06/30,JHARKHAND,GODDA,1.81,-,14.56,31.22781876
2018/06/30,JHARKHAND,PALAMU,0.31,-,2.03,31.9099942
2018/06/30,JHARKHAND,RANCHI,2.48,-,18.42,37.10147885
2018/06/30,JHARKHAND,DEOGHAR,5.96,-,44.57,34.29262075
2018/06/30,JHARKHAND,PURBI SINGHBHUM,5.69,-,42.1,38.08302685
2018/06/30,JHARKHAND,SAHIBGANJ,2.45,-,16.72,31.69164647
2018/06/30,JHARKHAND,KODARMA,1.69,-,11.66,30.19536522
2018/06/30,JHARKHAND,LATEHAR,0.53,-,3.94,30.24274069
2018/06/30,JHARKHAND,SARAIKELA-KHARSAWAN,3.13,-,25.95,38.76564465
2018/06/30,JHARKHAND,BOKARO,6.94,-,35.35,38.22416056
2018/06/30,JHARKHAND,SIMDEGA,1.89,-,12.92,32.92582633
2018/06/30,JHARKHAND,PAKUR,0.76,-,7.65,38.00953184
2018/06/30,JHARKHAND,HAZARIBAGH,1.95,-,13.05,36.52567135
2018/06/30,JHARKHAND,GIRIDIH,3.44,-,24.04,36.13361978
2018/06/30,JHARKHAND,KHUNTI,0.7,-,5.32,39.811952
2018/06/30,JHARKHAND,GUMLA,2.21,-,17.26,33.42583398
2018/06/29,JHARKHAND,JAMTARA,8.64,-,64.12,41.55157906
2018/06/29,JHARKHAND,DHANBAD,9.04,-,58.79,39.5581862
2018/06/29,JHARKHAND,DUMKA,3.98,-,33.37,38.61866436
2018/06/29,JHARKHAND,GARHWA,0.3,-,1.97,31.98577867
2018/06/29,JHARKHAND,PASHCHIMI SINGHBHUM,1.25,-,9.84,37.58525944
2018/06/29,JHARKHAND,RAMGARH,2.17,-,16.97,40.10512271
2018/06/29,JHARKHAND,CHATRA,0.67,-,4.17,32.26587063
2018/06/29,JHARKHAND,LOHARDAGA,3.87,-,28.45,32.78586808
2018/06/29,JHARKHAND,GODDA,2,-,16.08,32.88925465
2018/06/29,JHARKHAND,PALAMU,0.38,-,2.46,33.15480032
2018/06/29,JHARKHAND,RANCHI,2.77,-,20.74,38.4008367
2018/06/29,JHARKHAND,DEOGHAR,6.94,-,53.02,37.17152811
2018/06/29,JHARKHAND,PURBI SINGHBHUM,6.16,-,45.68,39.35745375
2018/06/29,JHARKHAND,SAHIBGANJ,2.65,-,17.93,33.39820437
2018/06/29,JHARKHAND,KODARMA,1.89,-,13.11,30.85480313
2018/06/29,JHARKHAND,LATEHAR,0.62,-,4.46,31.19354124
2018/06/29,JHARKHAND,SARAIKELA-KHARSAWAN,3.41,-,27.96,39.41354331
2018/06/29,JHARKHAND,BOKARO,7.48,-,38.7,40.70093392
2018/06/29,JHARKHAND,SIMDEGA,2.1,-,14.42,33.16713788
2018/06/29,JHARKHAND,PAKUR,0.84,-,8.54,39.95715981
2018/06/29,JHARKHAND,HAZARIBAGH,2.22,-,14.94,37.96912447
2018/06/29,JHARKHAND,GIRIDIH,3.96,-,28.12,38.3339462
2018/06/29,JHARKHAND,KHUNTI,0.91,-,6.91,40.57389022
2018/06/29,JHARKHAND,GUMLA,2.5,-,19.6,34.50918148
2018/06/28,JHARKHAND,JAMTARA,9.18,-,69.04,42.73463052
2018/06/28,JHARKHAND,DHANBAD,10.16,-,66.64,42.1259652
2018/06/28,JHARKHAND,DUMKA,4.61,-,39.06,40.68010043
2018/06/28,JHARKHAND,GARHWA,0.46,-,2.92,33.58347276
2018/06/28,JHARKHAND,PASHCHIMI SINGHBHUM,1.9,-,14.54,39.68828576
2018/06/28,JHARKHAND,RAMGARH,2.57,-,20.31,42.20772297
2018/06/28,JHARKHAND,CHATRA,1.12,-,6.83,34.95888531
2018/06/28,JHARKHAND,LOHARDAGA,4.56,-,32.97,34.84487419
2018/06/28,JHARKHAND,GODDA,2.42,-,19.52,35.86848643
2018/06/28,JHARKHAND,PALAMU,0.62,-,3.91,35.30576263
2018/06/28,JHARKHAND,RANCHI,3.18,-,24.05,40.24801515
2018/06/28,JHARKHAND,DEOGHAR,7.82,-,60.71,40.09226861
2018/06/28,JHARKHAND,PURBI SINGHBHUM,6.18,-,45.76,39.93433484
2018/06/28,JHARKHAND,SAHIBGANJ,2.85,-,19.3,36.610122
2018/06/28,JHARKHAND,KODARMA,2.58,-,17.67,33.14095013
2018/06/28,JHARKHAND,LATEHAR,1.07,-,7.05,32.86772156
2018/06/28,JHARKHAND,SARAIKELA-KHARSAWAN,3.82,-,31.05,41.15784606
2018/06/28,JHARKHAND,BOKARO,8.05,-,42.27,43.16598386
2018/06/28,JHARKHAND,SIMDEGA,2.6,-,17.84,35.28555971
