Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2018/06/30,KERALA,THIRUVANANTHAPURAM,0,-,0,33.94840857
2018/06/30,KERALA,ALAPPUZHA,8.18,-,67.9,41.33460925
2018/06/30,KERALA,PATHANAMTHITTA,1.75,-,16.2,40.2059253
2018/06/30,KERALA,ERNAKULAM,3.98,-,36.16,40.055983
2018/06/30,KERALA,KANNUR,7.35,-,58.49,43.11396162
2018/06/30,KERALA,MALAPPURAM,6.52,-,53.89,40.77561643
2018/06/30,KERALA,KOLLAM,1.05,-,9.72,36.23700936
2018/06/30,KERALA,PALAKKAD,8.5,-,65.23,41.27617808
2018/06/30,KERALA,KASARAGOD,8.57,-,70.11,43.31553658
2018/06/30,KERALA,THRISSUR,7.91,-,62.47,41.86975837
2018/06/30,KERALA,IDUKKI,9.37,-,73.14,43.17148311
2018/06/30,KERALA,KOZHIKODE,3.11,-,26.89,40.89211924
2018/06/30,KERALA,KOTTAYAM,5.99,-,50.61,41.69949733
2018/06/30,KERALA,WAYANAD,4.35,-,36.99,42.57284661
2018/06/29,KERALA,THIRUVANANTHAPURAM,0,-,0,35.48434239
2018/06/29,KERALA,ALAPPUZHA,8.2,-,67.99,42.2719203
2018/06/29,KERALA,PATHANAMTHITTA,1.75,-,16.16,40.71607091
2018/06/29,KERALA,ERNAKULAM,4.02,-,36.61,41.19847647
2018/06/29,KERALA,KANNUR,7.39,-,58.96,44.39276293
2018/06/29,KERALA,MALAPPURAM,6.62,-,54.91,42.0257182
2018/06/29,KERALA,KOLLAM,1.05,-,9.73,37.45543695
2018/06/29,KERALA,PALAKKAD,8.54,-,65.5,42.33099102
2018/06/29,KERALA,KASARAGOD,8.75,-,71.86,44.61676036
2018/06/29,KERALA,THRISSUR,7.98,-,63.06,43.01831296
2018/06/29,KERALA,IDUKKI,9.27,-,72.45,42.66749235
2018/06/29,KERALA,KOZHIKODE,3.11,-,26.89,42.1957825
2018/06/29,KERALA,KOTTAYAM,5.99,-,50.62,42.11445621
2018/06/29,KERALA,WAYANAD,4.41,-,37.67,43.54905159
2018/06/28,KERALA,THIRUVANANTHAPURAM,0,-,0,37.38737905
2018/06/28,KERALA,ALAPPUZHA,8.2,-,68.06,43.36262937
