Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2018/06/30,MEGHALAYA,WEST KHASI HILLS,3.57,-,26.68,43.51850991
2018/06/30,MEGHALAYA,JAINTIA HILLS,2.73,-,19.93,41.02199602
2018/06/30,MEGHALAYA,RI BHOI,0.94,-,6.57,42.61431251
2018/06/30,MEGHALAYA,EAST GARO HILLS,1.77,-,13.14,38.69460407
2018/06/30,MEGHALAYA,WEST GARO HILLS,0.28,-,2.33,39.75023875
2018/06/30,MEGHALAYA,SOUTH GARO HILLS,5.19,-,38.59,42.22877799
2018/06/30,MEGHALAYA,EAST KHASI HILLS,6.13,-,41.77,42.44860775
2018/06/29,MEGHALAYA,WEST KHASI HILLS,3.53,-,26.36,43.41428428
2018/06/29,MEGHALAYA,JAINTIA HILLS,2.56,-,18.79,40.2078791
2018/06/29,MEGHALAYA,RI BHOI,0.9,-,6.29,41.90443891
2018/06/29,MEGHALAYA,EAST GARO HILLS,1.89,-,13.98,39.40201
2018/06/29,MEGHALAYA,WEST GARO HILLS,0.31,-,2.6,39.36391881
2018/06/29,MEGHALAYA,SOUTH GARO HILLS,5.32,-,39.58,42.92845755
2018/06/29,MEGHALAYA,EAST KHASI HILLS,5.16,-,35.49,37.51980081
2018/06/28,MEGHALAYA,WEST KHASI HILLS,3.51,-,26.3,43.75972975
2018/06/28,MEGHALAYA,JAINTIA HILLS,2.8,-,20.58,41.85736862
2018/06/28,MEGHALAYA,RI BHOI,0.93,-,6.53,42.61333207
2018/06/28,MEGHALAYA,EAST GARO HILLS,1.99,-,14.72,40.19648494
2018/06/28,MEGHALAYA,WEST GARO HILLS,0.34,-,2.9,40.49089335
2018/06/28,MEGHALAYA,SOUTH GARO HILLS,5.29,-,39.35,42.91108069
2018/06/28,MEGHALAYA,EAST KHASI HILLS,5.31,-,36.53,39.2783149
2018/06/27,MEGHALAYA,WEST KHASI HILLS,3.5,-,26.21,43.91899409
2018/06/27,MEGHALAYA,JAINTIA HILLS,3.03,-,22.24,43.75945785
2018/06/27,MEGHALAYA,RI BHOI,0.97,-,6.77,44.40595141
2018/06/27,MEGHALAYA,EAST GARO HILLS,2.07,-,15.35,41.13974922
2018/06/27,MEGHALAYA,WEST GARO HILLS,0.35,-,2.96,40.89860804
2018/06/27,MEGHALAYA,SOUTH GARO HILLS,5.29,-,39.36,42.30607292
2018/06/27,MEGHALAYA,EAST KHASI HILLS,5.58,-,38.26,40.79038974
2018/06/26,MEGHALAYA,WEST KHASI HILLS,3.63,-,27.1,44.41422217
2018/06/26,MEGHALAYA,JAINTIA HILLS,2.91,-,21.44,42.35118513
2018/06/26,MEGHALAYA,RI BHOI,0.91,-,6.42,44.24149722
2018/06/26,MEGHALAYA,EAST GARO HILLS,2.09,-,15.44,42.11207987
2018/06/26,MEGHALAYA,WEST GARO HILLS,0.37,-,3.11,41.46202564
2018/06/26,MEGHALAYA,SOUTH GARO HILLS,5.41,-,40.15,43.26767616
2018/06/26,MEGHALAYA,EAST KHASI HILLS,5.84,-,39.93,41.69449641
2018/06/25,MEGHALAYA,WEST KHASI HILLS,3.71,-,27.63,44.78336122
2018/06/25,MEGHALAYA,JAINTIA HILLS,3.05,-,22.5,42.92093485
2018/06/25,MEGHALAYA,RI BHOI,0.82,-,5.87,43.12454227
2018/06/25,MEGHALAYA,EAST GARO HILLS,1.88,-,13.85,41.73905575
2018/06/25,MEGHALAYA,WEST GARO HILLS,0.37,-,3.11,42.20637594
