Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2018/06/30,ODISHA,CUTTACK,5.71,-,43.02,40.36611312
2018/06/30,ODISHA,KANDHAMAL,0.75,-,5.24,36.87612244
2018/06/30,ODISHA,ANUGUL,3.76,-,25.85,36.98557608
2018/06/30,ODISHA,MAYURBHANJ,3.64,-,25.02,39.1376488
2018/06/30,ODISHA,GANJAM,3.28,-,25.8,40.77363985
2018/06/30,ODISHA,KENDRAPARA,6.89,-,56.72,39.48462912
2018/06/30,ODISHA,KORAPUT,3.86,-,27.05,38.1445492
2018/06/30,ODISHA,PURI,5.24,-,43.44,39.58204373
2018/06/30,ODISHA,MALKANGIRI,1.41,-,11.29,38.88787161
2018/06/30,ODISHA,JAGATSINGHAPUR,1.79,-,20.01,41.63679302
2018/06/30,ODISHA,NAYAGARH,2.77,-,18.09,40.28706191
2018/06/30,ODISHA,BALANGIR,0.41,-,2.79,36.50201196
2018/06/30,ODISHA,DHENKANAL,2.57,-,18.19,42.68658744
2018/06/30,ODISHA,JAJAPUR,6.33,-,42.9,41.68501752
2018/06/30,ODISHA,GAJAPATI,1.64,-,11.68,40.60804952
2018/06/30,ODISHA,DEBAGARH,1.23,-,8.69,34.2505723
2018/06/30,ODISHA,SUNDARGARH,1.65,-,11.57,32.17164567
2018/06/30,ODISHA,RAYAGADA,1.68,-,11.28,40.4011377
2018/06/30,ODISHA,SAMBALPUR,1.36,-,9.86,34.68834904
2018/06/30,ODISHA,BAUDA,2.99,-,20.18,35.48121184
2018/06/30,ODISHA,SUBARNAPUR,1.69,-,13.43,37.63065442
2018/06/30,ODISHA,KENDUJHAR,3.97,-,28.95,38.5505174
2018/06/30,ODISHA,KALAHANDI,0.45,-,3.25,38.61722627
2018/06/30,ODISHA,JHARSUGUDA,2.21,-,17.99,34.71220776
2018/06/30,ODISHA,NUAPADA,0.29,-,2.45,34.23379843
2018/06/30,ODISHA,BALESHWAR,7.04,-,57.35,41.18169726
2018/06/30,ODISHA,BHADRAK,4.45,-,41.76,40.90347568
2018/06/30,ODISHA,BARGARH,0.7,-,5.49,36.20533828
2018/06/30,ODISHA,NABARANGAPUR,1,-,9.14,37.27711024
2018/06/30,ODISHA,KHORDHA,5.18,-,35.95,40.78156714
2018/06/29,ODISHA,CUTTACK,5.47,-,41.47,39.46765008
2018/06/29,ODISHA,KANDHAMAL,0.23,-,1.69,32.9753821
2018/06/29,ODISHA,ANUGUL,3.93,-,27,37.14846571
2018/06/29,ODISHA,MAYURBHANJ,3.57,-,24.57,38.34693146
2018/06/29,ODISHA,GANJAM,2.25,-,17.89,36.80998554
2018/06/29,ODISHA,KENDRAPARA,7.16,-,58.89,41.22319826
2018/06/29,ODISHA,KORAPUT,1.6,-,11.43,32.99033363
2018/06/29,ODISHA,PURI,5.15,-,42.88,39.60570403
2018/06/29,ODISHA,MALKANGIRI,0.65,-,5.21,35.37526927
2018/06/29,ODISHA,JAGATSINGHAPUR,1.81,-,20.23,42.06604377
2018/06/29,ODISHA,NAYAGARH,1.07,-,7.43,36.43421126
2018/06/29,ODISHA,BALANGIR,0.33,-,2.26,34.93972873
2018/06/29,ODISHA,DHENKANAL,2.45,-,17.49,42.33769084
2018/06/29,ODISHA,JAJAPUR,5.96,-,40.98,41.65058264
2018/06/29,ODISHA,GAJAPATI,1.04,-,7.57,37.85593622
2018/06/29,ODISHA,DEBAGARH,1.12,-,8,33.3586317
2018/06/29,ODISHA,SUNDARGARH,1.76,-,12.33,32.56679351
2018/06/29,ODISHA,RAYAGADA,1.25,-,8.53,37.58204922
2018/06/29,ODISHA,SAMBALPUR,1.47,-,10.61,34.38491249
2018/06/29,ODISHA,BAUDA,2.55,-,17.24,32.97483917
2018/06/29,ODISHA,SUBARNAPUR,1.57,-,12.54,36.87459793
2018/06/29,ODISHA,KENDUJHAR,3.4,-,25.29,36.63576891
2018/06/29,ODISHA,KALAHANDI,0.41,-,3,36.58115997
2018/06/29,ODISHA,JHARSUGUDA,2.27,-,18.53,34.94140812
2018/06/29,ODISHA,NUAPADA,0.32,-,2.76,34.15092137
2018/06/29,ODISHA,BALESHWAR,7.1,-,57.71,41.28022521
2018/06/29,ODISHA,BHADRAK,4.08,-,38.44,40.84736454
2018/06/29,ODISHA,BARGARH,0.74,-,5.78,36.31479638
2018/06/29,ODISHA,NABARANGAPUR,0.88,-,8.14,35.92226349
2018/06/29,ODISHA,KHORDHA,4.07,-,28.57,37.96398448
2018/06/28,ODISHA,CUTTACK,5.57,-,42.17,40.46350252
2018/06/28,ODISHA,KANDHAMAL,0.31,-,2.25,34.7041814
2018/06/28,ODISHA,ANUGUL,3.67,-,25.03,36.5098147
2018/06/28,ODISHA,MAYURBHANJ,4.15,-,28.32,40.4007601
