Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2018/06/30,PUNJAB,FARIDKOT,0,-,0.03,29.49212824
2018/06/30,PUNJAB,HOSHIARPUR,4.26,-,33.43,27.83621752
2018/06/30,PUNJAB,FATEHGARH SAHIB,0.18,-,1.25,32.54239613
2018/06/30,PUNJAB,AMRITSAR,0.1,-,0.62,29.2106603
2018/06/30,PUNJAB,MANSA,0.29,-,2.25,26.85459361
2018/06/30,PUNJAB,MUKTSAR,1.86,-,13.87,27.59389584
2018/06/30,PUNJAB,RUPNAGAR,2.5,-,18.36,26.69226281
2018/06/30,PUNJAB,PATIALA,0.26,-,1.91,30.56826678
2018/06/30,PUNJAB,SHAHID BHAGAT SINGH NAGAR,3.29,-,22.08,26.97471558
2018/06/30,PUNJAB,KAPURTHALA,0.56,-,4.58,27.6147011
2018/06/30,PUNJAB,BATHINDA,1.08,-,8.55,27.9594536
2018/06/30,PUNJAB,LUDHIANA,1.38,-,11.64,27.60315176
2018/06/30,PUNJAB,SAHIBZADA AJIT SINGH NAGAR,2.7,-,17.67,27.20029349
2018/06/30,PUNJAB,TARN TARAN,2.19,-,13.52,29.69295254
2018/06/30,PUNJAB,FIROZPUR,1.75,-,14.95,26.44433126
2018/06/30,PUNJAB,JALANDHAR,0.91,-,7.09,28.09855612
2018/06/30,PUNJAB,SANGRUR,0.42,-,2.74,29.19828689
2018/06/30,PUNJAB,BARNALA,0.15,-,1.29,27.55591979
2018/06/30,PUNJAB,MOGA,0.13,-,1.03,28.9434732
2018/06/30,PUNJAB,GURDASPUR,1.36,-,11.63,28.32566692
2018/06/29,PUNJAB,FARIDKOT,0.79,-,5.03,32.53324367
2018/06/29,PUNJAB,HOSHIARPUR,4.9,-,37.69,30.18161179
2018/06/29,PUNJAB,FATEHGARH SAHIB,0.31,-,2.04,35.33974409
2018/06/29,PUNJAB,AMRITSAR,0.88,-,5.6,31.64454605
2018/06/29,PUNJAB,MANSA,0.78,-,5.33,28.98022533
2018/06/29,PUNJAB,MUKTSAR,2.9,-,20.66,31.39591275
2018/06/29,PUNJAB,RUPNAGAR,2.84,-,20.73,29.13488379
2018/06/29,PUNJAB,PATIALA,1.13,-,7.54,34.42531796
2018/06/29,PUNJAB,SHAHID BHAGAT SINGH NAGAR,3.92,-,26.24,29.70629019
2018/06/29,PUNJAB,KAPURTHALA,1.21,-,9.34,29.98386324
2018/06/29,PUNJAB,BATHINDA,1.31,-,10.17,28.76076575
2018/06/29,PUNJAB,LUDHIANA,2.41,-,18.52,31.314626
2018/06/29,PUNJAB,SAHIBZADA AJIT SINGH NAGAR,3.14,-,20.59,29.69025678
2018/06/29,PUNJAB,TARN TARAN,3.92,-,24.12,33.89417034
2018/06/29,PUNJAB,FIROZPUR,2.37,-,18.98,28.46794002
2018/06/29,PUNJAB,JALANDHAR,1.56,-,11.66,31.01071232
2018/06/29,PUNJAB,SANGRUR,1.62,-,10.16,33.05181889
2018/06/29,PUNJAB,BARNALA,0.75,-,5.06,30.34424465
2018/06/29,PUNJAB,MOGA,1.61,-,10.73,32.87343375
2018/06/29,PUNJAB,GURDASPUR,2.28,-,17.89,31.58132936
2018/06/28,PUNJAB,FARIDKOT,0.25,-,1.57,29.94135582
2018/06/28,PUNJAB,HOSHIARPUR,6.29,-,46.13,36.66134806
2018/06/28,PUNJAB,FATEHGARH SAHIB,1.11,-,7.14,38.4578189
2018/06/28,PUNJAB,AMRITSAR,0.1,-,0.63,20.19981713
2018/06/28,PUNJAB,MANSA,1.47,-,9.82,30.95569071
2018/06/28,PUNJAB,MUKTSAR,0.9,-,6.58,27.97408126
2018/06/28,PUNJAB,RUPNAGAR,3.67,-,26.38,32.92660936
2018/06/28,PUNJAB,PATIALA,1.03,-,6.65,34.52986731
2018/06/28,PUNJAB,SHAHID BHAGAT SINGH NAGAR,5.19,-,34.36,35.68774233
2018/06/28,PUNJAB,KAPURTHALA,1.54,-,11.56,30.52555578
2018/06/28,PUNJAB,BATHINDA,1.3,-,9.94,29.74992778
2018/06/28,PUNJAB,LUDHIANA,3.15,-,23.07,34.16351421
2018/06/28,PUNJAB,SAHIBZADA AJIT SINGH NAGAR,3.52,-,23.09,32.54063819
2018/06/28,PUNJAB,TARN TARAN,1.48,-,9.09,31.11358536
2018/06/28,PUNJAB,FIROZPUR,0.63,-,5.42,22.56388312
2018/06/28,PUNJAB,JALANDHAR,2.51,-,17.88,33.97036458
2018/06/28,PUNJAB,SANGRUR,2.67,-,16.67,35.50434639
2018/06/28,PUNJAB,BARNALA,1.03,-,6.7,31.13331028
2018/06/28,PUNJAB,MOGA,0.4,-,2.92,30.05857557
2018/06/28,PUNJAB,GURDASPUR,2.58,-,20.32,32.15001333
2018/06/27,PUNJAB,FARIDKOT,0,-,0,19.20998931
2018/06/27,PUNJAB,HOSHIARPUR,0.11,-,0.97,18.8853746
2018/06/27,PUNJAB,FATEHGARH SAHIB,0.04,-,0.29,26.06705815
2018/06/27,PUNJAB,AMRITSAR,0.02,-,0.15,15.76177375
2018/06/27,PUNJAB,MANSA,0.02,-,0.16,17.00389428
2018/06/27,PUNJAB,MUKTSAR,0.03,-,0.28,19.82847309
2018/06/27,PUNJAB,RUPNAGAR,0.2,-,1.63,19.94356237
2018/06/27,PUNJAB,PATIALA,0.72,-,4.87,32.12854771
2018/06/27,PUNJAB,SHAHID BHAGAT SINGH NAGAR,0.06,-,0.39,16.77607389
