Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2018/06/30,UTTAR PRADESH,FARRUKHABAD,0.06,-,0.58,17.84188355
2018/06/30,UTTAR PRADESH,LUCKNOW,0.04,-,0.23,22.27967869
2018/06/30,UTTAR PRADESH,KHERI,0.23,-,1.96,23.97344208
2018/06/30,UTTAR PRADESH,CHANDAULI,0,-,0,22.93656259
2018/06/30,UTTAR PRADESH,AMBEDKAR NAGAR,0,-,0,21.04634086
2018/06/30,UTTAR PRADESH,BUDAUN,0.01,-,0.06,10.58975578
2018/06/30,UTTAR PRADESH,BALRAMPUR,0.31,-,2.48,29.13442114
2018/06/30,UTTAR PRADESH,BASTI,0,-,0,25.27863571
2018/06/30,UTTAR PRADESH,RAMPUR,0,-,0,14.41912905
2018/06/30,UTTAR PRADESH,MIRZAPUR,0.18,-,1.69,23.90480004
2018/06/30,UTTAR PRADESH,JYOTIBA PHULE NAGAR,0.15,-,1.52,11.9956631
2018/06/30,UTTAR PRADESH,LALITPUR,0.67,-,4.18,28.18533115
2018/06/30,UTTAR PRADESH,MAHAMAYA NAGAR,0,-,0,25.05966243
2018/06/30,UTTAR PRADESH,MATHURA,0.32,-,1.99,28.55694614
2018/06/30,UTTAR PRADESH,MAHOBA,0.01,-,0.08,26.01421289
2018/06/30,UTTAR PRADESH,CHITRAKOOT,0.04,-,0.33,22.87864077
2018/06/30,UTTAR PRADESH,SAHARANPUR,0.02,-,0.18,20.16270628
2018/06/30,UTTAR PRADESH,KANNAUJ,0,-,0,20.95953093
2018/06/30,UTTAR PRADESH,SANT KABIR NAGAR,0,-,0,25.39800612
2018/06/30,UTTAR PRADESH,SONBHADRA,0.11,-,0.81,32.23035258
2018/06/30,UTTAR PRADESH,FATEHPUR,0.05,-,0.47,16.22319111
2018/06/30,UTTAR PRADESH,BARA BANKI,0,-,0,22.34282501
2018/06/30,UTTAR PRADESH,AZAMGARH,0,-,0,19.75464808
2018/06/30,UTTAR PRADESH,BAGHPAT,0,-,0.01,17.41148353
2018/06/30,UTTAR PRADESH,ALIGARH,0.01,-,0.06,23.68651443
2018/06/30,UTTAR PRADESH,HARDOI,0.07,-,0.65,26.90663815
2018/06/30,UTTAR PRADESH,RAE BARELI,0.08,-,0.78,18.53121627
2018/06/30,UTTAR PRADESH,GHAZIPUR,0.01,-,0.08,16.81811804
2018/06/30,UTTAR PRADESH,KAUSHAMBI,0.02,-,0.23,15.5278673
2018/06/30,UTTAR PRADESH,BULANDSHAHR,0,-,0.02,24.80381332
2018/06/30,UTTAR PRADESH,DEORIA,0,-,0,22.13673588
2018/06/30,UTTAR PRADESH,BAHRAICH,0.43,-,3.92,24.45917943
2018/06/30,UTTAR PRADESH,GORAKHPUR,0.17,-,1.23,25.97285484
2018/06/30,UTTAR PRADESH,BIJNOR,0.11,-,0.79,17.70696243
2018/06/30,UTTAR PRADESH,BANDA,0,-,0.01,25.47436678
2018/06/30,UTTAR PRADESH,MUZAFFARNAGAR,0.02,-,0.18,19.15899596
2018/06/30,UTTAR PRADESH,SANT RAVI DAS NAGAR(BHADOHI),0.12,-,0.95,23.92790086
2018/06/30,UTTAR PRADESH,HAMIRPUR,0,-,0,26.58096427
2018/06/30,UTTAR PRADESH,PRATAPGARH,0,-,0,26.83910081
2018/06/30,UTTAR PRADESH,ETAWAH,0.15,-,1.11,26.86990498
2018/06/30,UTTAR PRADESH,MORADABAD,0,-,0.02,10.57685304
2018/06/30,UTTAR PRADESH,AGRA,0.38,-,3.47,29.18483182
2018/06/30,UTTAR PRADESH,JAUNPUR,0,-,0,24.73479475
2018/06/30,UTTAR PRADESH,KANPUR NAGAR,0.02,-,0.21,19.68963712
2018/06/30,UTTAR PRADESH,JHANSI,0.37,-,2.31,33.0719671
2018/06/30,UTTAR PRADESH,SIDDHARTH NAGAR,0.34,-,2.3,30.10741298
2018/06/30,UTTAR PRADESH,MEERUT,0.09,-,0.59,14.76577205
2018/06/30,UTTAR PRADESH,PILIBHIT,0.63,-,4.86,25.97214231
2018/06/30,UTTAR PRADESH,SHAHJAHANPUR,0.1,-,0.94,23.50375481
2018/06/30,UTTAR PRADESH,KANPUR DEHAT,0,-,0,20.20070635
2018/06/30,UTTAR PRADESH,FIROZABAD,0.04,-,0.39,23.07102149
2018/06/30,UTTAR PRADESH,AYODHYA,0,-,0,19.87682925
2018/06/30,UTTAR PRADESH,KUSHINAGAR,0.03,-,0.25,28.05270822
2018/06/30,UTTAR PRADESH,JALAUN,0.03,-,0.2,35.54277232
2018/06/30,UTTAR PRADESH,GHAZIABAD,0.08,-,0.53,23.9173785
2018/06/30,UTTAR PRADESH,ETAH,0,-,0,19.03028275
2018/06/30,UTTAR PRADESH,BALLIA,0,-,0,17.94911108
2018/06/30,UTTAR PRADESH,UNNAO,0.14,-,1.41,22.55613063
