Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2018/06/30,ARUNACHAL PRADESH,UPPER SUBANSIRI,1.54,-,11.88,33.41684247
2018/06/30,ARUNACHAL PRADESH,TIRAP,4.21,-,32.97,42.49472953
2018/06/30,ARUNACHAL PRADESH,KURUNG KUMEY,2.03,-,11.95,35.81295273
2018/06/30,ARUNACHAL PRADESH,EAST KAMENG,2.38,-,14.56,31.91000994
2018/06/30,ARUNACHAL PRADESH,CHANGLANG,8.58,-,52.95,42.2524551
2018/06/30,ARUNACHAL PRADESH,TAWANG,3.34,-,28.24,27.20864268
2018/06/30,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,9.24,-,55.81,36.21255271
2018/06/30,ARUNACHAL PRADESH,DIBANG VALLEY,6.14,-,33.89,30.63952751
2018/06/30,ARUNACHAL PRADESH,PAPUM PARE,2.9,-,22.1,35.42018929
2018/06/30,ARUNACHAL PRADESH,LOWER SUBANSIRI,2.55,-,24.94,37.12402506
2018/06/30,ARUNACHAL PRADESH,WEST KAMENG,2.05,-,16.4,28.90909758
2018/06/30,ARUNACHAL PRADESH,EAST SIANG,6.96,-,37.8,39.36608166
2018/06/30,ARUNACHAL PRADESH,UPPER SIANG,5.43,-,30.9,31.42484927
2018/06/30,ARUNACHAL PRADESH,LOHIT,11.05,-,65.73,41.18864926
2018/06/30,ARUNACHAL PRADESH,ANJAW,10.27,-,59.73,36.02501253
2018/06/30,ARUNACHAL PRADESH,WEST SIANG,3.56,-,23.26,37.54810313
2018/06/29,ARUNACHAL PRADESH,UPPER SUBANSIRI,1.6,-,12.33,33.35712121
2018/06/29,ARUNACHAL PRADESH,TIRAP,4.5,-,35.35,43.66522584
2018/06/29,ARUNACHAL PRADESH,KURUNG KUMEY,2.05,-,12.09,35.61357808
2018/06/29,ARUNACHAL PRADESH,EAST KAMENG,2.37,-,14.36,31.95615048
2018/06/29,ARUNACHAL PRADESH,CHANGLANG,8.62,-,53.16,42.31557891
2018/06/29,ARUNACHAL PRADESH,TAWANG,3.36,-,28.44,27.62500961
2018/06/29,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,9.06,-,54.69,35.78947526
2018/06/29,ARUNACHAL PRADESH,DIBANG VALLEY,6.11,-,33.72,30.87659002
2018/06/29,ARUNACHAL PRADESH,PAPUM PARE,2.91,-,21.06,35.85594145
2018/06/29,ARUNACHAL PRADESH,LOWER SUBANSIRI,2.67,-,26.23,37.1796208
2018/06/29,ARUNACHAL PRADESH,WEST KAMENG,2.12,-,16.97,29.37750373
2018/06/29,ARUNACHAL PRADESH,EAST SIANG,6.7,-,36.34,38.36613107
2018/06/29,ARUNACHAL PRADESH,UPPER SIANG,5.52,-,31.44,31.60067837
2018/06/29,ARUNACHAL PRADESH,LOHIT,10.95,-,65.11,41.02809543
2018/06/29,ARUNACHAL PRADESH,ANJAW,10.02,-,58.31,35.8039048
2018/06/29,ARUNACHAL PRADESH,WEST SIANG,3.47,-,22.8,36.92462621
2018/06/28,ARUNACHAL PRADESH,UPPER SUBANSIRI,1.68,-,12.96,33.86865522
2018/06/28,ARUNACHAL PRADESH,TIRAP,4.51,-,35.43,43.76669932
2018/06/28,ARUNACHAL PRADESH,KURUNG KUMEY,2.1,-,12.37,36.18065709
2018/06/28,ARUNACHAL PRADESH,EAST KAMENG,2.65,-,16.33,33.26797207
2018/06/28,ARUNACHAL PRADESH,CHANGLANG,8.59,-,53.03,42.27390394
2018/06/28,ARUNACHAL PRADESH,TAWANG,3.38,-,28.59,27.33841143
2018/06/28,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,8.92,-,53.83,35.35118062
2018/06/28,ARUNACHAL PRADESH,DIBANG VALLEY,5.93,-,32.69,29.64342317
2018/06/28,ARUNACHAL PRADESH,PAPUM PARE,3.86,-,28.71,38.9037112
2018/06/28,ARUNACHAL PRADESH,LOWER SUBANSIRI,3.07,-,30.09,38.90379832
2018/06/28,ARUNACHAL PRADESH,WEST KAMENG,2.26,-,18.22,30.07997736
2018/06/28,ARUNACHAL PRADESH,EAST SIANG,6.69,-,36.26,38.4457852
2018/06/28,ARUNACHAL PRADESH,UPPER SIANG,5.65,-,32.14,31.93071393
2018/06/28,ARUNACHAL PRADESH,LOHIT,10.94,-,65.03,40.7284779
2018/06/28,ARUNACHAL PRADESH,ANJAW,9.62,-,56.05,34.4503248
2018/06/28,ARUNACHAL PRADESH,WEST SIANG,3.63,-,23.79,37.53390986
2018/06/27,ARUNACHAL PRADESH,UPPER SUBANSIRI,1.75,-,13.48,34.60262664
2018/06/27,ARUNACHAL PRADESH,TIRAP,4.54,-,35.62,43.84103354
2018/06/27,ARUNACHAL PRADESH,KURUNG KUMEY,2.17,-,12.82,36.95632801
2018/06/27,ARUNACHAL PRADESH,EAST KAMENG,2.72,-,16.75,33.99902732
2018/06/27,ARUNACHAL PRADESH,CHANGLANG,8.78,-,54.29,42.66342175
2018/06/27,ARUNACHAL PRADESH,TAWANG,3.41,-,28.83,27.75955121
2018/06/27,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,9.09,-,54.95,35.66776377
2018/06/27,ARUNACHAL PRADESH,DIBANG VALLEY,5.96,-,32.89,29.71179346
2018/06/27,ARUNACHAL PRADESH,PAPUM PARE,2.97,-,21.95,37.75054535
2018/06/27,ARUNACHAL PRADESH,LOWER SUBANSIRI,3.23,-,31.44,39.77424721
2018/06/27,ARUNACHAL PRADESH,WEST KAMENG,2.63,-,21.16,32.04051411
2018/06/27,ARUNACHAL PRADESH,EAST SIANG,7.06,-,38.47,39.58913141
2018/06/27,ARUNACHAL PRADESH,UPPER SIANG,5.74,-,32.62,32.39819699
2018/06/27,ARUNACHAL PRADESH,LOHIT,11.22,-,66.85,41.53933035
2018/06/27,ARUNACHAL PRADESH,ANJAW,10.24,-,59.61,35.91626381
2018/06/27,ARUNACHAL PRADESH,WEST SIANG,3.8,-,24.74,38.01266195
2018/06/26,ARUNACHAL PRADESH,UPPER SUBANSIRI,1.79,-,13.67,34.69069578
2018/06/26,ARUNACHAL PRADESH,TIRAP,4.53,-,35.56,43.82031782
2018/06/26,ARUNACHAL PRADESH,KURUNG KUMEY,2,-,11.83,36.2508873
2018/06/26,ARUNACHAL PRADESH,EAST KAMENG,2.49,-,15.33,32.39250512
2018/06/26,ARUNACHAL PRADESH,CHANGLANG,8.94,-,55.39,43.13369994
2018/06/26,ARUNACHAL PRADESH,TAWANG,3.4,-,28.85,26.47526998
2018/06/26,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,9.3,-,56.23,36.38096363
2018/06/26,ARUNACHAL PRADESH,DIBANG VALLEY,6.03,-,33.26,30.02541388
2018/06/26,ARUNACHAL PRADESH,PAPUM PARE,3,-,23.29,37.46563134
2018/06/26,ARUNACHAL PRADESH,LOWER SUBANSIRI,3.07,-,29.81,39.09883621
2018/06/26,ARUNACHAL PRADESH,WEST KAMENG,2.43,-,19.83,31.01916704
2018/06/26,ARUNACHAL PRADESH,EAST SIANG,7.41,-,40.6,40.54818227
