Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2020/01/31,CHANDIGARH,CHANDIGARH,0.1,15.29,0.78,25.01967217
2020/01/30,CHANDIGARH,CHANDIGARH,0.18,15.8,1.35,25.85495842
2020/01/29,CHANDIGARH,CHANDIGARH,0.34,16.44,2.57,26.90091206
2020/01/28,CHANDIGARH,CHANDIGARH,0.19,16.05,1.43,26.27094837
2020/01/27,CHANDIGARH,CHANDIGARH,0,12.93,0,21.16325605
2020/01/26,CHANDIGARH,CHANDIGARH,0,13.13,0,21.48097744
2020/01/25,CHANDIGARH,CHANDIGARH,0,13.39,0,21.91490097
2020/01/24,CHANDIGARH,CHANDIGARH,0,13.68,0,22.38946011
2020/01/23,CHANDIGARH,CHANDIGARH,0,13.96,0,22.8412471
2020/01/22,CHANDIGARH,CHANDIGARH,0,14.3,0,23.4029977
2020/01/21,CHANDIGARH,CHANDIGARH,0,14.61,0,23.90176159
2020/01/20,CHANDIGARH,CHANDIGARH,0,14.86,0,24.31032338
2020/01/19,CHANDIGARH,CHANDIGARH,0,15.11,0,24.71982575
2020/01/18,CHANDIGARH,CHANDIGARH,0.03,15.51,0.2,25.37502811
2020/01/17,CHANDIGARH,CHANDIGARH,0.09,15.98,0.66,26.1510847
2020/01/16,CHANDIGARH,CHANDIGARH,0.18,16.58,1.38,27.12564384
2020/01/15,CHANDIGARH,CHANDIGARH,0.36,17.28,2.73,28.27365546
2020/01/14,CHANDIGARH,CHANDIGARH,0.48,17.64,3.58,28.87399182
2020/01/13,CHANDIGARH,CHANDIGARH,1.82,19.48,12.59,31.88252904
2020/01/12,CHANDIGARH,CHANDIGARH,0.11,16.03,0.87,26.23405617
2020/01/11,CHANDIGARH,CHANDIGARH,0.03,15.57,0.22,25.48559442
2020/01/10,CHANDIGARH,CHANDIGARH,0.1,16,0.75,26.18332034
2020/01/09,CHANDIGARH,CHANDIGARH,0.23,16.6,1.76,27.16389703
2020/01/08,CHANDIGARH,CHANDIGARH,0.5,17.23,3.65,28.19130489
2020/01/07,CHANDIGARH,CHANDIGARH,0.87,18.11,6.31,29.63545998
2020/01/06,CHANDIGARH,CHANDIGARH,12.66,21.17,83.05,34.65106052
2020/01/05,CHANDIGARH,CHANDIGARH,10.11,16.73,66.23,27.37975637
2020/01/04,CHANDIGARH,CHANDIGARH,10.18,17.01,66.74,27.83548985
2020/01/03,CHANDIGARH,CHANDIGARH,10.23,17.22,67.1,28.17188797
2020/01/02,CHANDIGARH,CHANDIGARH,10.13,16.81,66.43,27.51080579
