Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2020/01/31,DELHI,WEST,0,6.35,0,10.14367314
2020/01/31,DELHI,CENTRAL,0,0.98,0,12.64057409
2020/01/31,DELHI,NORTH WEST,0,31.54,0,13.88011918
2020/01/31,DELHI,SOUTH,0.03,15.87,0.25,12.20270988
2020/01/31,DELHI,NEW DELHI,0,2.45,0,12.4309495
2020/01/31,DELHI,NORTH,0,4.77,0,13.47410877
2020/01/31,DELHI,SOUTH WEST,0,31.31,0,14.05689073
2020/01/31,DELHI,EAST,0,3.58,0,10.70867577
2020/01/31,DELHI,NORTH EAST,0,3.72,0,11.59329399
2020/01/30,DELHI,WEST,0,6.57,0,10.50115601
2020/01/30,DELHI,CENTRAL,0,1.01,0,12.99043971
2020/01/30,DELHI,NORTH WEST,0,32.29,0,14.20941797
2020/01/30,DELHI,SOUTH,0.03,16.21,0.3,12.467645
2020/01/30,DELHI,NEW DELHI,0,2.52,0,12.7655083
2020/01/30,DELHI,NORTH,0,4.89,0,13.80974714
2020/01/30,DELHI,SOUTH WEST,0,32.02,0,14.37485288
2020/01/30,DELHI,EAST,0,3.7,0,11.04554418
2020/01/30,DELHI,NORTH EAST,0,3.83,0,11.93598401
2020/01/29,DELHI,WEST,0,6.79,0,10.84225479
2020/01/29,DELHI,CENTRAL,0,1.04,0,13.3854132
2020/01/29,DELHI,NORTH WEST,0,33.03,0,14.53537449
2020/01/29,DELHI,SOUTH,0.03,16.57,0.34,12.74478902
2020/01/29,DELHI,NEW DELHI,0,2.59,0,13.10651938
2020/01/29,DELHI,NORTH,0,5.03,0,14.2049451
2020/01/29,DELHI,SOUTH WEST,0,32.77,0,14.71286446
2020/01/29,DELHI,EAST,0,3.81,0,11.39606618
2020/01/29,DELHI,NORTH EAST,0,3.95,0,12.30904217
2020/01/28,DELHI,WEST,0,5.99,0,9.565032367
2020/01/28,DELHI,CENTRAL,0,0.76,0,9.848206001
2020/01/28,DELHI,NORTH WEST,0,29.62,0,13.03316939
2020/01/28,DELHI,SOUTH,0,12.79,0,9.833812293
2020/01/28,DELHI,NEW DELHI,0,1.99,0,10.06173284
2020/01/28,DELHI,NORTH,0,4.07,0,11.48169415
2020/01/28,DELHI,SOUTH WEST,0,29.33,0,13.16835982
2020/01/28,DELHI,EAST,0,2.66,0,7.936607802
2020/01/28,DELHI,NORTH EAST,0,2.88,0,8.979199768
2020/01/27,DELHI,WEST,0,5.81,0,9.286105944
2020/01/27,DELHI,CENTRAL,0,0.76,0,9.836403802
2020/01/27,DELHI,NORTH WEST,0,29.73,0,13.08361358
2020/01/27,DELHI,SOUTH,0,10.98,0,8.446045021
2020/01/27,DELHI,NEW DELHI,0,1.93,0,9.802724123
2020/01/27,DELHI,NORTH,0,4.1,0,11.58387217
2020/01/27,DELHI,SOUTH WEST,0,26.09,0,11.71541322
2020/01/27,DELHI,EAST,0,2.61,0,7.78656136
2020/01/27,DELHI,NORTH EAST,0,2.91,0,9.06941818
2020/01/26,DELHI,WEST,0,5.6,0,8.946523184
2020/01/26,DELHI,CENTRAL,0,0.78,0,10.07096396
2020/01/26,DELHI,NORTH WEST,0,29.55,0,13.00278481
2020/01/26,DELHI,SOUTH,0,11.19,0,8.603026558
2020/01/26,DELHI,NEW DELHI,0,1.98,0,10.02537753
2020/01/26,DELHI,NORTH,0,4.19,0,11.82911972
2020/01/26,DELHI,SOUTH WEST,0,23.49,0,10.54548174
2020/01/26,DELHI,EAST,0,2.68,0,7.998402073
2020/01/26,DELHI,NORTH EAST,0,2.99,0,9.313883135
2020/01/25,DELHI,WEST,0,5.78,0,9.226899504
2020/01/25,DELHI,CENTRAL,0,0.8,0,10.34470762
2020/01/25,DELHI,NORTH WEST,0,30.19,0,13.28616293
2020/01/25,DELHI,SOUTH,0,11.4,0,8.766961769
2020/01/25,DELHI,NEW DELHI,0,2.03,0,10.28171473
2020/01/25,DELHI,NORTH,0,4.3,0,12.14276538
2020/01/25,DELHI,SOUTH WEST,0,23.75,0,10.66477506
2020/01/25,DELHI,EAST,0,2.76,0,8.258956559
2020/01/25,DELHI,NORTH EAST,0,3.07,0,9.585150305
2020/01/24,DELHI,WEST,0,5.94,0,9.494152733
2020/01/24,DELHI,CENTRAL,0,0.82,0,10.61369355
2020/01/24,DELHI,NORTH WEST,0,30.83,0,13.56777436
2020/01/24,DELHI,SOUTH,0,11.6,0,8.923176794
2020/01/24,DELHI,NEW DELHI,0,2.07,0,10.51117161
2020/01/24,DELHI,NORTH,0,4.41,0,12.44247092
2020/01/24,DELHI,SOUTH WEST,0,24.23,0,10.87747195
2020/01/24,DELHI,EAST,0,2.84,0,8.49648315
2020/01/24,DELHI,NORTH EAST,0,3.16,0,9.869334185
2020/01/23,DELHI,WEST,0,6.13,0,9.78856008
2020/01/23,DELHI,CENTRAL,0,0.84,0,10.87457781
