Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2020/01/06,LAKSHDWEEP,LAKSHADWEEP,4.65,86.05,39.32,24.25233483
2020/01/05,LAKSHDWEEP,LAKSHADWEEP,4.66,89.27,39.37,25.16081072
2020/01/04,LAKSHDWEEP,LAKSHADWEEP,4.68,92.62,39.55,26.10248901
2020/01/03,LAKSHDWEEP,LAKSHADWEEP,4.69,96.2,39.62,27.11179594
2020/01/02,LAKSHDWEEP,LAKSHADWEEP,4.7,97.83,39.71,27.57144488
2020/01/01,LAKSHDWEEP,LAKSHADWEEP,4.71,101.7,39.87,28.66358237
2020/05/19,LAKSHDWEEP,LAKSHADWEEP,0,57.83,0,16.3
2020/05/18,LAKSHDWEEP,LAKSHADWEEP,0,1.06,0,0.3
2020/07/31,LAKSHDWEEP,LAKSHADWEEP,5.23,150.01,44.36,42.27978656
2020/07/30,LAKSHDWEEP,LAKSHADWEEP,5.23,150.04,44.43,42.2859399
2020/07/29,LAKSHDWEEP,LAKSHADWEEP,5.23,149.83,44.35,42.22668682
2020/07/28,LAKSHDWEEP,LAKSHADWEEP,5.25,150.33,44.54,42.36894768
2020/07/27,LAKSHDWEEP,LAKSHADWEEP,4.95,141.8,41.84,39.96435978
2020/08/31,LAKSHDWEEP,LAKSHADWEEP,4.81,98.71,40.84,27.82090702
2020/08/30,LAKSHDWEEP,LAKSHADWEEP,4.82,99.15,40.9,27.94380711
2020/08/29,LAKSHDWEEP,LAKSHADWEEP,4.82,103.08,40.95,29.05237713
2020/08/28,LAKSHDWEEP,LAKSHADWEEP,4.83,101.36,40.97,28.56750206
2020/08/27,LAKSHDWEEP,LAKSHADWEEP,4.83,105.84,41,29.82965811
2020/08/26,LAKSHDWEEP,LAKSHADWEEP,4.83,109.52,41.04,30.8659587
2020/08/25,LAKSHDWEEP,LAKSHADWEEP,4.84,110.37,41.06,31.10694272
2020/08/24,LAKSHDWEEP,LAKSHADWEEP,4.84,114.86,41.07,32.37279544
2020/08/23,LAKSHDWEEP,LAKSHADWEEP,4.84,117.47,41.07,33.1082039
2020/08/22,LAKSHDWEEP,LAKSHADWEEP,4.84,122.69,41.07,34.57867194
2020/08/21,LAKSHDWEEP,LAKSHADWEEP,4.85,127.6,41.15,35.96337485
2020/08/20,LAKSHDWEEP,LAKSHADWEEP,4.84,123.98,41.12,34.94375013
2020/08/19,LAKSHDWEEP,LAKSHADWEEP,4.85,125.01,41.19,35.23169865
2020/08/18,LAKSHDWEEP,LAKSHADWEEP,4.87,129.31,41.3,36.44505698
2020/08/17,LAKSHDWEEP,LAKSHADWEEP,4.9,134.78,41.56,37.98682243
2020/08/16,LAKSHDWEEP,LAKSHADWEEP,4.94,139.07,41.83,39.19489598
2020/08/15,LAKSHDWEEP,LAKSHADWEEP,4.91,129.86,41.54,36.60044032
2020/08/14,LAKSHDWEEP,LAKSHADWEEP,4.9,130.97,41.52,36.913089
2020/08/13,LAKSHDWEEP,LAKSHADWEEP,4.91,133.55,41.62,37.63897006
2020/08/12,LAKSHDWEEP,LAKSHADWEEP,4.96,139.08,41.9,39.1975112
2020/08/11,LAKSHDWEEP,LAKSHADWEEP,5.04,144.07,42.65,40.60530653
2020/08/10,LAKSHDWEEP,LAKSHADWEEP,5.23,149.65,44.37,42.17709339
2020/08/09,LAKSHDWEEP,LAKSHADWEEP,5.2,149.58,44.05,42.15710856
2020/08/08,LAKSHDWEEP,LAKSHADWEEP,5.24,150.24,44.45,42.34427354
2020/08/07,LAKSHDWEEP,LAKSHADWEEP,5.25,150.39,44.54,42.38456548
2020/08/06,LAKSHDWEEP,LAKSHADWEEP,4.99,143.3,42.13,40.38757669
2020/08/05,LAKSHDWEEP,LAKSHADWEEP,5.01,146,42.33,41.14733734
2020/08/04,LAKSHDWEEP,LAKSHADWEEP,5.01,146.85,42.26,41.38864461
2020/08/03,LAKSHDWEEP,LAKSHADWEEP,5.09,146.06,43.15,41.16558476
2020/08/02,LAKSHDWEEP,LAKSHADWEEP,5.23,149.97,44.36,42.26672834
2020/08/01,LAKSHDWEEP,LAKSHADWEEP,5.23,149.86,44.35,42.23545069
2020/09/23,LAKSHDWEEP,LAKSHADWEEP,4.98,139.19,42.14,39.22921058
2020/09/22,LAKSHDWEEP,LAKSHADWEEP,5.07,143.1,42.91,40.33182922
2020/09/21,LAKSHDWEEP,LAKSHADWEEP,5.22,147.74,44.3,41.63885095
2020/09/20,LAKSHDWEEP,LAKSHADWEEP,5.24,149.89,44.45,42.24386126
2020/09/19,LAKSHDWEEP,LAKSHADWEEP,5.25,150.16,44.57,42.3204669
2020/09/18,LAKSHDWEEP,LAKSHADWEEP,4.93,143.71,41.72,40.50367278
2020/09/17,LAKSHDWEEP,LAKSHADWEEP,4.92,140.96,41.61,39.72855317
2020/09/16,LAKSHDWEEP,LAKSHADWEEP,4.96,142.64,41.92,40.200121
2020/09/15,LAKSHDWEEP,LAKSHADWEEP,5.04,146.99,42.56,41.42783573
2020/09/14,LAKSHDWEEP,LAKSHADWEEP,5.15,148.06,43.7,41.72764573
