Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2020/01/31,MADHYA PRADESH,JHABUA,0,285.02,0,16.2794732
2020/01/31,MADHYA PRADESH,SEONI,0.04,1088.39,0.4,24.39424295
2020/01/31,MADHYA PRADESH,MORENA,0.01,612.21,0.03,24.0698271
2020/01/31,MADHYA PRADESH,REWA,0.04,801.88,0.4,24.9543202
2020/01/31,MADHYA PRADESH,SEHORE,0,734.48,0,21.94803434
2020/01/31,MADHYA PRADESH,DATIA,0.01,210.42,0.03,21.88106035
2020/01/31,MADHYA PRADESH,UMARIA,0.03,454.75,0.38,19.45956976
2020/01/31,MADHYA PRADESH,VIDISHA,0,959.75,0,25.79042814
2020/01/31,MADHYA PRADESH,BARWANI,0,562.13,0,20.27374125
2020/01/31,MADHYA PRADESH,HOSHANGABAD,0,658.72,0,19.26018785
2020/01/31,MADHYA PRADESH,CHHINDWARA,0.05,1421.32,0.47,23.61642515
2020/01/31,MADHYA PRADESH,ALIRAJPUR,0,222.46,0,13.06354966
2020/01/31,MADHYA PRADESH,CHHATARPUR,0,780.25,0,17.6564182
2020/01/31,MADHYA PRADESH,TIKAMGARH,0.01,513.01,0.07,19.87338997
2020/01/31,MADHYA PRADESH,SHAHDOL,0.16,491.6,1.35,16.97684788
2020/01/31,MADHYA PRADESH,BETUL,0,1025.05,0,19.96909139
2020/01/31,MADHYA PRADESH,EAST NIMAR,0,691.92,0,18.21813183
2020/01/31,MADHYA PRADESH,PANNA,0.05,767.87,0.56,21.24325986
2020/01/31,MADHYA PRADESH,GWALIOR,0,573.71,0,21.55718089
2020/01/31,MADHYA PRADESH,BHIND,0.03,617.35,0.24,27.08304051
2020/01/31,MADHYA PRADESH,RAJGARH,0,819.4,0,26.25991517
2020/01/31,MADHYA PRADESH,MANDLA,0.27,792.74,2.59,20.61560113
2020/01/31,MADHYA PRADESH,KATNI,0,561.47,0.02,21.77710564
2020/01/31,MADHYA PRADESH,DEWAS,0,761.57,0,21.45740922
2020/01/31,MADHYA PRADESH,DAMOH,0.01,960.9,0.13,25.66331979
2020/01/31,MADHYA PRADESH,SINGRAULI,0,622.76,0.02,21.15692028
2020/01/31,MADHYA PRADESH,MANDSAUR,0,787.15,0,27.39804739
2020/01/31,MADHYA PRADESH,ASHOKNAGAR,0,592.46,0,24.60934814
2020/01/31,MADHYA PRADESH,BHOPAL,0,298.58,0,21.52172335
2020/01/31,MADHYA PRADESH,NARSIMHAPUR,0,667.98,0,25.48871038
2020/01/31,MADHYA PRADESH,INDORE,0,445.06,0,22.3096686
2020/01/31,MADHYA PRADESH,BALAGHAT,0.12,1218.78,1.2,25.85924662
2020/01/31,MADHYA PRADESH,SIDHI,0,415.08,0,17.06743408
2020/01/31,MADHYA PRADESH,GUNA,0,683.63,0,21.29608443
2020/01/31,MADHYA PRADESH,BURHANPUR,0,350.81,0,21.47283287
2020/01/31,MADHYA PRADESH,ANUPPUR,0.34,466.94,2.45,24.23383539
2020/01/31,MADHYA PRADESH,SATNA,0.01,825.9,0.1,21.62618473
2020/01/31,MADHYA PRADESH,DINDORI,0.16,780.6,1.49,26.86392305
2020/01/31,MADHYA PRADESH,RATLAM,0,579.59,0,23.58069161
2020/01/31,MADHYA PRADESH,SHAJAPUR,0,850.68,0,26.51189075
2020/01/31,MADHYA PRADESH,JABALPUR,0,623.61,0,23.97011672
2020/01/31,MADHYA PRADESH,WEST NIMAR,0,928.61,0,22.59863437
2020/01/31,MADHYA PRADESH,SHEOPUR,0.01,631.31,0.03,18.95344678
2020/01/31,MADHYA PRADESH,SAGAR,0,1203.94,0.03,23.05487349
2020/01/31,MADHYA PRADESH,DHAR,0,882.14,0,21.23477911
2020/01/31,MADHYA PRADESH,NEEMUCH,0,362.83,0,17.11749835
2020/01/31,MADHYA PRADESH,HARDA,0,383.12,0,22.65431486
2020/01/31,MADHYA PRADESH,UJJAIN,0,863.71,0,27.83309271
2020/01/31,MADHYA PRADESH,RAISEN,0,1038.68,0,23.99396558
2020/01/31,MADHYA PRADESH,SHIVPURI,0,1170.3,0.01,21.92893435
2020/01/30,MADHYA PRADESH,JHABUA,0,285.75,0,16.32115634
2020/01/30,MADHYA PRADESH,SEONI,0.04,1095.75,0.41,24.55922904
2020/01/30,MADHYA PRADESH,MORENA,0.01,617.46,0.03,24.27616062
