Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2020/01/31,MANIPUR,CHANDEL,0,463.84,0,28.60571955
2020/01/31,MANIPUR,CHURACHANDPUR,0,494.68,0,21.21365577
2020/01/31,MANIPUR,TAMENGLONG,0.02,446.23,0.12,20.88819354
2020/01/31,MANIPUR,IMPHAL WEST,0,31.36,0,20.48643521
2020/01/31,MANIPUR,IMPHAL EAST,0,150.79,0,32.15612796
2020/01/31,MANIPUR,SENAPATI,0,511.12,0,28.80352376
2020/01/31,MANIPUR,THOUBAL,0,110.9,0,30.51673446
2020/01/31,MANIPUR,UKHRUL,0,672.51,0,29.62561913
2020/01/31,MANIPUR,BISHNUPUR,0,62.43,0,25.51430338
2020/01/30,MANIPUR,CHANDEL,0,463.86,0,28.60676028
2020/01/30,MANIPUR,CHURACHANDPUR,0,497.3,0,21.32575552
2020/01/30,MANIPUR,TAMENGLONG,0.02,447,0.13,20.9243644
2020/01/30,MANIPUR,IMPHAL WEST,0,31.57,0,20.624177
2020/01/30,MANIPUR,IMPHAL EAST,0,146.56,0,31.25354497
2020/01/30,MANIPUR,SENAPATI,0,508.62,0,28.66245394
2020/01/30,MANIPUR,THOUBAL,0,108.56,0,29.87436912
2020/01/30,MANIPUR,UKHRUL,0.13,689.12,0.48,30.35741265
2020/01/30,MANIPUR,BISHNUPUR,0,61.35,0,25.07222544
2020/01/29,MANIPUR,CHANDEL,0,466.15,0,28.74765163
2020/01/29,MANIPUR,CHURACHANDPUR,0,500.75,0,21.47386331
2020/01/29,MANIPUR,TAMENGLONG,0.02,440.29,0.13,20.61017752
2020/01/29,MANIPUR,IMPHAL WEST,0,31.75,0,20.74296258
2020/01/29,MANIPUR,IMPHAL EAST,0,147.78,0,31.5137432
2020/01/29,MANIPUR,SENAPATI,0,490.2,0,27.62490697
2020/01/29,MANIPUR,THOUBAL,0,109.64,0,30.17137555
2020/01/29,MANIPUR,UKHRUL,0,620.2,0,27.32133795
2020/01/29,MANIPUR,BISHNUPUR,0,62.23,0,25.43328358
2020/01/28,MANIPUR,CHANDEL,0,462,0,28.49196782
2020/01/28,MANIPUR,CHURACHANDPUR,0,500.98,0,21.48364898
2020/01/28,MANIPUR,TAMENGLONG,0.02,439.93,0.13,20.59335685
2020/01/28,MANIPUR,IMPHAL WEST,0,31.76,0,20.74703662
2020/01/28,MANIPUR,IMPHAL EAST,0,147.93,0,31.54623834
2020/01/28,MANIPUR,SENAPATI,0,488.81,0,27.54609299
2020/01/28,MANIPUR,THOUBAL,0,109.56,0,30.14791543
2020/01/28,MANIPUR,UKHRUL,0,614.64,0,27.07661564
2020/01/28,MANIPUR,BISHNUPUR,0,62.53,0,25.55392326
2020/01/27,MANIPUR,CHANDEL,0,464.21,0,28.62818458
2020/01/27,MANIPUR,CHURACHANDPUR,0,504.78,0,21.64664934
2020/01/27,MANIPUR,TAMENGLONG,0.02,442.73,0.14,20.72440049
2020/01/27,MANIPUR,IMPHAL WEST,0,31.96,0,20.88165113
2020/01/27,MANIPUR,IMPHAL EAST,0,149,0,31.77352526
2020/01/27,MANIPUR,SENAPATI,0,491.13,0,27.6771333
2020/01/27,MANIPUR,THOUBAL,0,110.46,0,30.39604859
2020/01/27,MANIPUR,UKHRUL,0,618.16,0,27.23172695
2020/01/27,MANIPUR,BISHNUPUR,0,63.25,0,25.85055313
2020/01/26,MANIPUR,CHANDEL,0,466.27,0,28.7555498
2020/01/26,MANIPUR,CHURACHANDPUR,0,508.26,0,21.79577296
