Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2020/01/31,MIZORAM,AIZAWL,0,445.88,0,23.45960833
2020/01/31,MIZORAM,CHAMPHAI,0,439.28,0,25.73999667
2020/01/31,MIZORAM,SAIHA,0,274,0,27.24679761
2020/01/31,MIZORAM,LUNGLEI,0,663.83,0,28.84942476
2020/01/31,MIZORAM,MAMIT,0,436.97,0,28.27478604
2020/01/31,MIZORAM,LAWANGTLAI,0,294.9,0,28.97493546
2020/01/31,MIZORAM,SERCHHIP,0,149.22,0,25.4415922
2020/01/31,MIZORAM,KOLASIB,0,199.75,0,29.11504287
2020/01/30,MIZORAM,AIZAWL,0,448.52,0,23.59846134
2020/01/30,MIZORAM,CHAMPHAI,0,441.98,0,25.89831164
2020/01/30,MIZORAM,SAIHA,0,275.68,0,27.4137211
2020/01/30,MIZORAM,LUNGLEI,0,666.4,0,28.96118085
2020/01/30,MIZORAM,MAMIT,0,438.41,0,28.36820237
2020/01/30,MIZORAM,LAWANGTLAI,0,296.63,0,29.14454233
2020/01/30,MIZORAM,SERCHHIP,0,150.01,0,25.57574715
2020/01/30,MIZORAM,KOLASIB,0,200.76,0,29.26244171
2020/01/29,MIZORAM,AIZAWL,0,451.06,0,23.73206886
2020/01/29,MIZORAM,CHAMPHAI,0,444.6,0,26.0512993
2020/01/29,MIZORAM,SAIHA,0,277.62,0,27.60713572
2020/01/29,MIZORAM,LUNGLEI,0,670.03,0,29.11900296
2020/01/29,MIZORAM,MAMIT,0,440.3,0,28.4905889
2020/01/29,MIZORAM,LAWANGTLAI,0,297.15,0,29.19573843
2020/01/29,MIZORAM,SERCHHIP,0,150.88,0,25.72415335
2020/01/29,MIZORAM,KOLASIB,0,201.45,0,29.36316051
2020/01/28,MIZORAM,AIZAWL,0,448.82,0,23.61426962
2020/01/28,MIZORAM,CHAMPHAI,0,441.68,0,25.88052648
2020/01/28,MIZORAM,SAIHA,0,279.5,0,27.79386652
2020/01/28,MIZORAM,LUNGLEI,0,665.8,0,28.93530446
2020/01/28,MIZORAM,MAMIT,0,439.9,0,28.46491577
2020/01/28,MIZORAM,LAWANGTLAI,0,300.06,0,29.4819063
2020/01/28,MIZORAM,SERCHHIP,0,147.08,0,25.07549237
2020/01/28,MIZORAM,KOLASIB,0,204.61,0,29.8240703
2020/01/27,MIZORAM,AIZAWL,0,449.62,0,23.65657148
2020/01/27,MIZORAM,CHAMPHAI,0,445.57,0,26.10862099
2020/01/27,MIZORAM,SAIHA,0,280.83,0,27.92561807
2020/01/27,MIZORAM,LUNGLEI,0,667.86,0,29.02486128
2020/01/27,MIZORAM,MAMIT,0,439.43,0,28.4345089
2020/01/27,MIZORAM,LAWANGTLAI,0,299.98,0,29.4736073
2020/01/27,MIZORAM,SERCHHIP,0,147.93,0,25.22035011
2020/01/27,MIZORAM,KOLASIB,0,201.55,0,29.37832971
2020/01/26,MIZORAM,AIZAWL,0,452.03,0,23.78291675
2020/01/26,MIZORAM,CHAMPHAI,0,448.29,0,26.26769507
2020/01/26,MIZORAM,SAIHA,0,282.28,0,28.0704642
2020/01/26,MIZORAM,LUNGLEI,0,670.81,0,29.15305007
2020/01/26,MIZORAM,MAMIT,0,441.25,0,28.55222956
2020/01/26,MIZORAM,LAWANGTLAI,0,301.31,0,29.60431654
2020/01/26,MIZORAM,SERCHHIP,0,148.63,0,25.34077893
2020/01/26,MIZORAM,KOLASIB,0,202.2,0,29.47258973
2020/01/25,MIZORAM,AIZAWL,0,455.21,0,23.95041918
2020/01/25,MIZORAM,CHAMPHAI,0,450.37,0,26.38957568
2020/01/25,MIZORAM,SAIHA,0,283.52,0,28.19365804
2020/01/25,MIZORAM,LUNGLEI,0,673.47,0,29.26829713
2020/01/25,MIZORAM,MAMIT,0,444.16,0,28.74025232
2020/01/25,MIZORAM,LAWANGTLAI,0,302.48,0,29.71891648
2020/01/25,MIZORAM,SERCHHIP,0,149.34,0,25.46120287
2020/01/25,MIZORAM,KOLASIB,0,203.36,0,29.64144972
2020/01/24,MIZORAM,AIZAWL,0,457.62,0,24.07745636
2020/01/24,MIZORAM,CHAMPHAI,0,451.62,0,26.46267658
2020/01/24,MIZORAM,SAIHA,0,284.59,0,28.30012984
2020/01/24,MIZORAM,LUNGLEI,0,676.97,0,29.42064002
2020/01/24,MIZORAM,MAMIT,0,447.26,0,28.9406512
2020/01/24,MIZORAM,LAWANGTLAI,0,304.45,0,29.91344229
2020/01/24,MIZORAM,SERCHHIP,0,149.84,0,25.54621123
2020/01/24,MIZORAM,KOLASIB,0,204.63,0,29.82644203
2020/01/23,MIZORAM,AIZAWL,0,459.64,0,24.18357043
2020/01/23,MIZORAM,CHAMPHAI,0,454.25,0,26.61693657
2020/01/23,MIZORAM,SAIHA,0,286.11,0,28.4508126
2020/01/23,MIZORAM,LUNGLEI,0,679.18,0,29.51672758
2020/01/23,MIZORAM,MAMIT,0,449.21,0,29.0671144
2020/01/23,MIZORAM,LAWANGTLAI,0,305.92,0,30.05786958
2020/01/23,MIZORAM,SERCHHIP,0,150.52,0,25.66233618
2020/01/23,MIZORAM,KOLASIB,0,205.1,0,29.89495271
2020/01/22,MIZORAM,AIZAWL,0,467.61,0,24.60302679
2020/01/22,MIZORAM,CHAMPHAI,0,460.75,0,26.99785906
2020/01/22,MIZORAM,SAIHA,0,290.1,0,28.84795269
2020/01/22,MIZORAM,LUNGLEI,0,689.66,0,29.97204915
2020/01/22,MIZORAM,MAMIT,0,456.04,0,29.50895156
2020/01/22,MIZORAM,LAWANGTLAI,0,309.72,0,30.43028999
2020/01/22,MIZORAM,SERCHHIP,0,155.18,0,26.45730175
2020/01/22,MIZORAM,KOLASIB,0,209.14,0,30.48344666
2020/01/21,MIZORAM,AIZAWL,0,469.95,0,24.72586609
2020/01/21,MIZORAM,CHAMPHAI,0,464.02,0,27.18934802
2020/01/21,MIZORAM,SAIHA,0,292.01,0,29.03806193
2020/01/21,MIZORAM,LUNGLEI,0,692.29,0,30.08655574
2020/01/21,MIZORAM,MAMIT,0,458.04,0,29.63852027
2020/01/21,MIZORAM,LAWANGTLAI,0,311.51,0,30.60644497
2020/01/21,MIZORAM,SERCHHIP,0,155.97,0,26.59138295
2020/01/21,MIZORAM,KOLASIB,0,209.88,0,30.59243588
2020/01/20,MIZORAM,AIZAWL,0,472.28,0,24.84838732
2020/01/20,MIZORAM,CHAMPHAI,0,467.41,0,27.3878947
2020/01/20,MIZORAM,SAIHA,0,293.8,0,29.21553871
2020/01/20,MIZORAM,LUNGLEI,0,694.99,0,30.20362138
2020/01/20,MIZORAM,MAMIT,0,459.96,0,29.7625135
2020/01/20,MIZORAM,LAWANGTLAI,0,313,0,30.75285922
2020/01/20,MIZORAM,SERCHHIP,0,156.73,0,26.7220652
2020/01/20,MIZORAM,KOLASIB,0,210.56,0,30.69069982
2020/01/19,MIZORAM,AIZAWL,0,475.71,0,25.02907225
