Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2020/01/31,ODISHA,CUTTACK,0,307.93,0,15.28554032
2020/01/31,ODISHA,KANDHAMAL,0,759.99,0,18.4645431
2020/01/31,ODISHA,ANUGUL,0,505,0,15.55287456
2020/01/31,ODISHA,MAYURBHANJ,0,1253.94,0,23.58761693
2020/01/31,ODISHA,GANJAM,0,1076.3,0,24.78539061
2020/01/31,ODISHA,KENDRAPARA,0,214.07,0,16.91632107
2020/01/31,ODISHA,KORAPUT,0,833.24,0,18.96530386
2020/01/31,ODISHA,PURI,0,261.22,0,14.36436461
2020/01/31,ODISHA,MALKANGIRI,0,547.1,0,18.27685676
2020/01/31,ODISHA,JAGATSINGHAPUR,0,172.43,0,19.39259279
2020/01/31,ODISHA,NAYAGARH,0,385.8,0,19.39559718
2020/01/31,ODISHA,BALANGIR,0,720.33,0,21.47420599
2020/01/31,ODISHA,DHENKANAL,0,457.6,0,20.0398874
2020/01/31,ODISHA,JAJAPUR,0,254.1,0,17.17992388
2020/01/31,ODISHA,GAJAPATI,0,530.34,0,25.48656842
2020/01/31,ODISHA,DEBAGARH,0,208,0,14.50924765
2020/01/31,ODISHA,SUNDARGARH,0,853.38,0,17.22351706
2020/01/31,ODISHA,RAYAGADA,0,938.71,0,24.86771969
2020/01/31,ODISHA,SAMBALPUR,0,610.7,0,17.79255259
2020/01/31,ODISHA,BAUDA,0,229.78,0,14.42817498
2020/01/31,ODISHA,SUBARNAPUR,0,233.15,0,19.37268589
2020/01/31,ODISHA,KENDUJHAR,0,988.76,0,23.34124488
2020/01/31,ODISHA,KALAHANDI,0,871.68,0,21.55815049
2020/01/31,ODISHA,JHARSUGUDA,0,193.59,0,17.94195568
2020/01/31,ODISHA,NUAPADA,0,302.59,0,15.32062622
2020/01/31,ODISHA,BALESHWAR,0,407.69,0,20.61310882
2020/01/31,ODISHA,BHADRAK,0,215.31,0,17.00502814
2020/01/31,ODISHA,BARGARH,0,639.13,0,21.6079416
2020/01/31,ODISHA,NABARANGAPUR,0,546.58,0,20.13904613
2020/01/31,ODISHA,KHORDHA,0,239.36,0,17.02125894
2020/01/30,ODISHA,CUTTACK,0,309.63,0,15.36983377
2020/01/30,ODISHA,KANDHAMAL,0,763.11,0,18.5403195
2020/01/30,ODISHA,ANUGUL,0,507.74,0,15.6372911
2020/01/30,ODISHA,MAYURBHANJ,0,1261.75,0.01,23.73454253
2020/01/30,ODISHA,GANJAM,0,1083.06,0,24.940926
2020/01/30,ODISHA,KENDRAPARA,0,211.97,0,16.75057552
2020/01/30,ODISHA,KORAPUT,0,838.75,0,19.09080322
2020/01/30,ODISHA,PURI,0,263.02,0,14.46298714
2020/01/30,ODISHA,MALKANGIRI,0,549.69,0,18.36340274
