Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
6/30/2018,ANDAMAN & NICOBAR,NICOBAR,7.32,-,62.31,37.49252034
6/30/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.63,-,67.43,42.45326691
6/30/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,6.38,-,58.66,40.09867535
6/29/2018,ANDAMAN & NICOBAR,NICOBAR,6.83,-,58.03,33.35786723
6/29/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.66,-,67.63,42.50895539
6/29/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,6.03,-,55.3,39.51227828
6/28/2018,ANDAMAN & NICOBAR,NICOBAR,7,-,59.33,34.49453629
6/28/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.56,-,66.73,42.33965693
6/28/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,5.76,-,52.79,38.77367007
6/27/2018,ANDAMAN & NICOBAR,NICOBAR,7.14,-,60.37,35.56879804
6/27/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.69,-,67.93,42.7962813
6/27/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,5.42,-,49.51,37.54921793
6/26/2018,ANDAMAN & NICOBAR,NICOBAR,7.2,-,60.73,36.48580809
6/26/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.69,-,67.92,42.79092609
6/26/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,5.82,-,53.48,38.77568023
6/25/2018,ANDAMAN & NICOBAR,NICOBAR,6.63,-,56.76,31.65390537
6/25/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.65,-,67.61,42.60636092
6/25/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,5.43,-,49.7,37.1073481
6/24/2018,ANDAMAN & NICOBAR,NICOBAR,6.68,-,57.36,31.99736753
6/24/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,6.87,-,60.11,40.21172339
6/24/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,4.83,-,44,33.91125361
6/23/2018,ANDAMAN & NICOBAR,NICOBAR,6.8,-,58.38,33.02254307
6/23/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,6.64,-,57.9,39.05188984
6/23/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,4.89,-,44.51,34.4633064
6/22/2018,ANDAMAN & NICOBAR,NICOBAR,6.9,-,59.36,33.75434971
6/22/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,6.7,-,58.42,39.1818241
6/22/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,5.07,-,46.27,35.59328569
6/21/2018,ANDAMAN & NICOBAR,NICOBAR,7.1,-,61.03,34.98108901
6/21/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.01,-,61.43,40.32427581
6/21/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,5.22,-,47.64,36.3806919
6/20/2018,ANDAMAN & NICOBAR,NICOBAR,7.31,-,62.68,36.27617899
6/20/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.38,-,64.97,41.77400616
6/20/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,5.57,-,50.9,38.18161865
6/19/2018,ANDAMAN & NICOBAR,NICOBAR,7.39,-,63.3,37.13757485
6/19/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.72,-,68.23,42.86744835
6/19/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,6.66,-,61.52,40.86577122
6/18/2018,ANDAMAN & NICOBAR,NICOBAR,7.54,-,64.47,38.18268465
6/18/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.7,-,68.08,42.83273771
6/18/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,5.51,-,50.81,38.10596347
6/17/2018,ANDAMAN & NICOBAR,NICOBAR,7.29,-,62.09,36.98132443
6/17/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.73,-,68.39,42.89683805
6/17/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,5.76,-,53.39,39.09071049
6/16/2018,ANDAMAN & NICOBAR,NICOBAR,6.62,-,56.51,31.13063689
6/16/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.75,-,68.55,42.94268289
6/16/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,4.79,-,44.43,36.54082007
6/15/2018,ANDAMAN & NICOBAR,NICOBAR,6.54,-,56.38,30.23066055
6/15/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,6.88,-,60.13,40.22010372
6/15/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,4.52,-,41.86,35.57666067
6/14/2018,ANDAMAN & NICOBAR,NICOBAR,6.64,-,57.39,31.22281539
6/14/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,6.8,-,59.42,39.80209704
6/14/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,4.2,-,38.87,33.42270231
6/13/2018,ANDAMAN & NICOBAR,NICOBAR,6.75,-,58.44,32.26565869
6/13/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.06,-,61.89,40.71472241
6/13/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,4.27,-,39.5,34.13171766
6/12/2018,ANDAMAN & NICOBAR,NICOBAR,6.91,-,59.71,33.41002466
6/12/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.03,-,61.58,40.5388854
6/12/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,4.2,-,38.97,33.29637034
6/11/2018,ANDAMAN & NICOBAR,NICOBAR,7.03,-,60.8,34.52233497
6/11/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.21,-,63.36,41.35563886
6/11/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,4.23,-,39.1,33.48494959
6/10/2018,ANDAMAN & NICOBAR,NICOBAR,7.17,-,61.85,35.71988442
6/10/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.35,-,64.72,41.7277942
6/10/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,4.34,-,40.17,34.69685066
6/9/2018,ANDAMAN & NICOBAR,NICOBAR,7.06,-,61.01,34.84308538
6/9/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.34,-,64.6,41.62038092
6/9/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,4.5,-,41.58,35.50326091
6/8/2018,ANDAMAN & NICOBAR,NICOBAR,7.09,-,61.06,34.93364872
6/8/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.69,-,68,42.78269987
6/8/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,5.67,-,52.79,39.19782007
6/7/2018,ANDAMAN & NICOBAR,NICOBAR,7.08,-,61.08,35.27939994
6/7/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.66,-,67.72,42.75206114
6/7/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,5.2,-,48.79,38.53976461
6/6/2018,ANDAMAN & NICOBAR,NICOBAR,7.16,-,61.65,35.9486546
6/6/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.28,-,63.99,41.48565903
6/6/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,4.03,-,37.6,33.1834599
6/5/2018,ANDAMAN & NICOBAR,NICOBAR,7.3,-,62.75,37.25959031
6/5/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.44,-,65.56,42.0729619
6/5/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,3.92,-,36.78,32.81251548
6/4/2018,ANDAMAN & NICOBAR,NICOBAR,7.16,-,61.59,36.2837626
6/4/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.18,-,63.03,41.32963006
6/4/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,3.66,-,34.42,31.88168624
6/3/2018,ANDAMAN & NICOBAR,NICOBAR,6.75,-,58.66,33.52979896
6/3/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,6.94,-,60.95,41.21964409
6/3/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,3.48,-,32.75,32.0052478
6/2/2018,ANDAMAN & NICOBAR,NICOBAR,6.74,-,58.47,33.34426828
6/2/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,6.79,-,59.67,41.16252627
6/2/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,3.54,-,33.36,32.96875154
6/1/2018,ANDAMAN & NICOBAR,NICOBAR,6.85,-,59.27,34.49402927
6/1/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,6.44,-,56.51,40.07536801
6/1/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,3.31,-,31.33,32.43559982
7/31/2018,ANDAMAN & NICOBAR,NICOBAR,5.58,-,45.92,31.14876122
7/31/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,6.59,-,57.37,39.55957384
7/31/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,4.83,-,43.86,34.28687642
7/30/2018,ANDAMAN & NICOBAR,NICOBAR,5.69,-,46.8,32.163262
7/30/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,6.66,-,58.03,39.75385785
7/30/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,4.65,-,42.15,33.18872096
7/29/2018,ANDAMAN & NICOBAR,NICOBAR,5.74,-,47.15,32.91370754
7/29/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,6.53,-,56.83,39.05479465
7/29/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,4.7,-,42.61,33.543655
7/28/2018,ANDAMAN & NICOBAR,NICOBAR,5.62,-,46.11,31.41228542
7/28/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,6.18,-,53.45,36.98314624
7/28/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,4.42,-,39.93,28.64169929
7/27/2018,ANDAMAN & NICOBAR,NICOBAR,5.62,-,46.09,31.17001046
7/27/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,6.13,-,52.99,36.41286092
7/27/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,4.46,-,40.26,29.4771988
7/26/2018,ANDAMAN & NICOBAR,NICOBAR,5.7,-,46.78,31.88793953
7/26/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,6.31,-,54.69,37.26224484
7/26/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,4.5,-,40.63,30.40229888
7/25/2018,ANDAMAN & NICOBAR,NICOBAR,5.8,-,47.52,32.41780288
7/25/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,6.62,-,57.69,38.71731315
7/25/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,4.58,-,41.43,31.65068231
7/24/2018,ANDAMAN & NICOBAR,NICOBAR,5.86,-,48.02,32.5200386
7/24/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,6.94,-,60.74,40.02848457
7/24/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,4.69,-,42.46,32.90778807
7/23/2018,ANDAMAN & NICOBAR,NICOBAR,5.94,-,48.72,32.95573018
7/23/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,6.69,-,58.37,39.21486291
