Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2020/01/31,HARYANA,KAITHAL,0,311.34,0,26.30269199
2020/01/31,HARYANA,ROHTAK,0,112.75,0,12.77307081
2020/01/31,HARYANA,GURGAON,0.24,117.51,2.27,18.53939254
2020/01/31,HARYANA,MAHENDRAGARH,0,89.41,0,9.048720407
2020/01/31,HARYANA,PALWAL,0,112.34,0,16.58315658
2020/01/31,HARYANA,SIRSA,0.05,336.51,0.44,15.43383293
2020/01/31,HARYANA,AMBALA,0,188.38,0,24.15464626
2020/01/31,HARYANA,FARIDABAD,0,70.33,0.05,16.32587172
2020/01/31,HARYANA,REWARI,0.46,89.1,4.83,11.65970314
2020/01/31,HARYANA,PANIPAT,0.01,129.89,0.07,20.61150694
2020/01/31,HARYANA,PANCHKULA,0,117.25,0.02,26.7480477
2020/01/31,HARYANA,KARNAL,0,318.63,0,23.46713501
2020/01/31,HARYANA,FATEHABAD,0,222.78,0,18.02060499
2020/01/31,HARYANA,JHAJJAR,0,126.43,0,12.72629336
2020/01/31,HARYANA,KURUKSHETRA,0,209.76,0,25.94289197
2020/01/31,HARYANA,HISAR,0,369.33,0,17.1181297
2020/01/31,HARYANA,BHIWANI,0.53,346.05,5.44,14.5934451
2020/01/31,HARYANA,YAMUNANAGAR,0,210.32,0.03,23.47724117
2020/01/31,HARYANA,JIND,0,355.86,0,25.56136876
2020/01/31,HARYANA,SONIPAT,0,198.19,0,17.89114379
2020/01/31,HARYANA,MEWAT,0.05,93.21,0.52,12.41409996
2020/01/30,HARYANA,KAITHAL,0,319.35,0,26.97980254
2020/01/30,HARYANA,ROHTAK,0,113.82,0,12.89349418
2020/01/30,HARYANA,GURGAON,0.26,119.68,2.56,18.88262346
2020/01/30,HARYANA,MAHENDRAGARH,0,90.45,0,9.154620329
2020/01/30,HARYANA,PALWAL,0,113.41,0,16.74103564
2020/01/30,HARYANA,SIRSA,0.07,341.94,0.53,15.68272457
2020/01/30,HARYANA,AMBALA,0,191.74,0,24.58582876
2020/01/30,HARYANA,FARIDABAD,0,71.27,0.06,16.54540885
2020/01/30,HARYANA,REWARI,0.51,91.31,5.31,11.94793402
2020/01/30,HARYANA,PANIPAT,0.01,131.92,0.1,20.93280361
2020/01/30,HARYANA,PANCHKULA,0,121.15,0.04,27.63678012
2020/01/30,HARYANA,KARNAL,0,324.59,0,23.90602421
2020/01/30,HARYANA,FATEHABAD,0,225.38,0,18.2309344
2020/01/30,HARYANA,JHAJJAR,0,127.75,0,12.85902269
2020/01/30,HARYANA,KURUKSHETRA,0,215.15,0,26.60942371
2020/01/30,HARYANA,HISAR,0,374.97,0,17.37959092
2020/01/30,HARYANA,BHIWANI,0.58,352.93,6.01,14.88374665
2020/01/30,HARYANA,YAMUNANAGAR,0,213.53,0.04,23.83586282
2020/01/30,HARYANA,JIND,0,365.51,0,26.25436928
2020/01/30,HARYANA,SONIPAT,0,200.83,0,18.12885491
2020/01/30,HARYANA,MEWAT,0.05,93.96,0.59,12.51502782
2020/01/29,HARYANA,KAITHAL,0,330.89,0,27.95473044
2020/01/29,HARYANA,ROHTAK,0,114.94,0,13.02093677
2020/01/29,HARYANA,GURGAON,0.31,122.19,2.94,19.27838801
2020/01/29,HARYANA,MAHENDRAGARH,0,91.57,0,9.267005167
2020/01/29,HARYANA,PALWAL,0,114.48,0,16.89990415
2020/01/29,HARYANA,SIRSA,0.08,347.45,0.63,15.93532768
