date,state_name,districtname,average_soilmoisture_level_(at_15cm),average_soilmoisture_volume_(at_15cm),aggregate_soilmoisture_percentage_(at_15cm),volume_soilmoisture_percentage_(at_15cm),Year,Month,Day
2018/06/30,HARYANA,KAITHAL,0.07,-,0.51,28.0767908,2018.0,Jun,30.0
2018/06/30,HARYANA,ROHTAK,0.11,-,0.78,28.63294604,2018.0,Jun,30.0
2018/06/30,HARYANA,GURGAON,1.78,-,16.87,26.26981517,2018.0,Jun,30.0
2018/06/30,HARYANA,MAHENDRAGARH,4.03,-,38.16,24.72323412,2018.0,Jun,30.0
2018/06/30,HARYANA,PALWAL,2.33,-,18.7,29.46058786,2018.0,Jun,30.0
2018/06/30,HARYANA,SIRSA,2.0,-,15.82,26.29079098,2018.0,Jun,30.0
2018/06/30,HARYANA,AMBALA,0.0,-,0.0,25.74927616,2018.0,Jun,30.0
2018/06/30,HARYANA,FARIDABAD,0.76,-,6.85,27.56353896,2018.0,Jun,30.0
2018/06/30,HARYANA,REWARI,2.48,-,24.98,21.81582446,2018.0,Jun,30.0
2018/06/30,HARYANA,PANIPAT,0.01,-,0.06,20.29477009,2018.0,Jun,30.0
2018/06/30,HARYANA,PANCHKULA,0.05,-,0.33,22.96175807,2018.0,Jun,30.0
2018/06/30,HARYANA,KARNAL,0.0,-,0.04,18.53381118,2018.0,Jun,30.0
2018/06/30,HARYANA,FATEHABAD,1.3,-,8.39,27.64091109,2018.0,Jun,30.0
2018/06/30,HARYANA,JHAJJAR,0.34,-,3.28,27.08561933,2018.0,Jun,30.0
2018/06/30,HARYANA,KURUKSHETRA,0.0,-,0.0,26.68877666,2018.0,Jun,30.0
2018/06/30,HARYANA,HISAR,1.53,-,11.82,27.11931346,2018.0,Jun,30.0
2018/06/30,HARYANA,BHIWANI,4.97,-,49.02,24.21254838,2018.0,Jun,30.0
2018/06/30,HARYANA,YAMUNANAGAR,0.0,-,0.03,23.77343873,2018.0,Jun,30.0
2018/06/30,HARYANA,JIND,0.07,-,0.44,26.69562077,2018.0,Jun,30.0
2018/06/30,HARYANA,SONIPAT,0.16,-,1.22,23.85241849,2018.0,Jun,30.0
2018/06/30,HARYANA,MEWAT,2.71,-,26.35,26.76244302,2018.0,Jun,30.0
2018/06/29,HARYANA,KAITHAL,0.78,-,5.17,31.18070351,2018.0,Jun,29.0
2018/06/29,HARYANA,ROHTAK,0.28,-,1.97,30.24906112,2018.0,Jun,29.0
2018/06/29,HARYANA,GURGAON,1.85,-,17.31,28.00595038,2018.0,Jun,29.0
2018/06/29,HARYANA,MAHENDRAGARH,4.88,-,43.95,27.94334384,2018.0,Jun,29.0
2018/06/29,HARYANA,PALWAL,2.52,-,19.96,31.65004716,2018.0,Jun,29.0
2018/06/29,HARYANA,SIRSA,2.58,-,19.53,29.07756106,2018.0,Jun,29.0
2018/06/29,HARYANA,AMBALA,0.09,-,0.55,26.80283401,2018.0,Jun,29.0
2018/06/29,HARYANA,FARIDABAD,0.88,-,7.77,28.92723914,2018.0,Jun,29.0
2018/06/29,HARYANA,REWARI,2.63,-,26.28,23.47089679,2018.0,Jun,29.0
2018/06/29,HARYANA,PANIPAT,0.01,-,0.14,21.21707912,2018.0,Jun,29.0
2018/06/29,HARYANA,PANCHKULA,0.06,-,0.47,23.84931987,2018.0,Jun,29.0
2018/06/29,HARYANA,KARNAL,0.01,-,0.1,19.30316654,2018.0,Jun,29.0
2018/06/29,HARYANA,FATEHABAD,1.52,-,9.83,29.82892984,2018.0,Jun,29.0
