date,state_name,districtname,average_soilmoisture_level_(at_15cm),average_soilmoisture_volume_(at_15cm),aggregate_soilmoisture_percentage_(at_15cm),volume_soilmoisture_percentage_(at_15cm),Year,Month,Day
2018/06/30,HIMACHAL PRADESH,KULLU,2.95,-,23.98,25.92597267,2018.0,Jun,30.0
2018/06/30,HIMACHAL PRADESH,HAMIRPUR,3.99,-,28.97,27.75377214,2018.0,Jun,30.0
2018/06/30,HIMACHAL PRADESH,KANGRA,4.99,-,39.8,28.37210846,2018.0,Jun,30.0
2018/06/30,HIMACHAL PRADESH,CHAMBA,4.29,-,34.73,27.36295235,2018.0,Jun,30.0
2018/06/30,HIMACHAL PRADESH,UNA,6.03,-,41.5,27.75513573,2018.0,Jun,30.0
2018/06/30,HIMACHAL PRADESH,SHIMLA,1.35,-,12.92,28.68241057,2018.0,Jun,30.0
2018/06/30,HIMACHAL PRADESH,MANDI,4.23,-,31.7,28.82069657,2018.0,Jun,30.0
2018/06/30,HIMACHAL PRADESH,KINNAUR,1.75,-,12.08,24.45297682,2018.0,Jun,30.0
2018/06/30,HIMACHAL PRADESH,BILASPUR,5.8,-,44.55,27.42282964,2018.0,Jun,30.0
2018/06/30,HIMACHAL PRADESH,SOLAN,1.17,-,9.12,29.87230252,2018.0,Jun,30.0
2018/06/30,HIMACHAL PRADESH,SIRMAUR,0.0,-,0.02,27.77234867,2018.0,Jun,30.0
2018/06/30,HIMACHAL PRADESH,LAHUL & SPITI,0.67,-,4.24,19.35850265,2018.0,Jun,30.0
2018/06/29,HIMACHAL PRADESH,KULLU,3.24,-,26.07,27.0097722,2018.0,Jun,29.0
2018/06/29,HIMACHAL PRADESH,HAMIRPUR,4.19,-,30.35,29.37434438,2018.0,Jun,29.0
2018/06/29,HIMACHAL PRADESH,KANGRA,5.48,-,43.49,30.2558013,2018.0,Jun,29.0
2018/06/29,HIMACHAL PRADESH,CHAMBA,5.04,-,39.73,29.17110485,2018.0,Jun,29.0
2018/06/29,HIMACHAL PRADESH,UNA,6.52,-,44.81,29.92776698,2018.0,Jun,29.0
2018/06/29,HIMACHAL PRADESH,SHIMLA,1.46,-,13.75,29.20068624,2018.0,Jun,29.0
2018/06/29,HIMACHAL PRADESH,MANDI,4.72,-,34.95,30.88462348,2018.0,Jun,29.0
2018/06/29,HIMACHAL PRADESH,KINNAUR,1.8,-,12.47,25.1082462,2018.0,Jun,29.0
2018/06/29,HIMACHAL PRADESH,BILASPUR,6.18,-,47.26,29.9848633,2018.0,Jun,29.0
2018/06/29,HIMACHAL PRADESH,SOLAN,1.26,-,9.79,31.35925535,2018.0,Jun,29.0
