date,state_name,districtname,average_soilmoisture_level_(at_15cm),average_soilmoisture_volume_(at_15cm),aggregate_soilmoisture_percentage_(at_15cm),volume_soilmoisture_percentage_(at_15cm),Year,Month,Day
2018/06/30,JAMMU & KASHMIR,KULGAM,13.86,-,81.81,39.44483719,2018.0,Jun,30.0
2018/06/30,JAMMU & KASHMIR,BADGAM,10.88,-,64.87,37.27813517,2018.0,Jun,30.0
2018/06/30,JAMMU & KASHMIR,PULWAMA,5.93,-,39.63,33.88184237,2018.0,Jun,30.0
2018/06/30,JAMMU & KASHMIR,RAMBAN,6.27,-,38.66,30.99023475,2018.0,Jun,30.0
2018/06/30,JAMMU & KASHMIR,JAMMU,1.45,-,9.56,28.45713723,2018.0,Jun,30.0
2018/06/30,JAMMU & KASHMIR,SHUPIYAN,12.35,-,75.93,40.95310367,2018.0,Jun,30.0
2018/06/30,JAMMU & KASHMIR,SRINAGAR,3.13,-,26.29,28.66195007,2018.0,Jun,30.0
2018/06/30,JAMMU & KASHMIR,BARAMULA,3.15,-,18.05,29.45983811,2018.0,Jun,30.0
2018/06/30,JAMMU & KASHMIR,KISHTWAR,1.76,-,10.73,27.80990184,2018.0,Jun,30.0
2018/06/30,JAMMU & KASHMIR,ANANTNAG,5.56,-,33.47,33.31294568,2018.0,Jun,30.0
2018/06/30,JAMMU & KASHMIR,GANDERBAL,1.85,-,11.36,29.23574055,2018.0,Jun,30.0
2018/06/30,JAMMU & KASHMIR,REASI,4.95,-,28.94,31.67236929,2018.0,Jun,30.0
2018/06/30,JAMMU & KASHMIR,KATHUA,1.41,-,10.27,28.70007018,2018.0,Jun,30.0
2018/06/30,JAMMU & KASHMIR,KARGIL,0.68,-,4.58,24.13261731,2018.0,Jun,30.0
2018/06/30,JAMMU & KASHMIR,BANDIPORE,0.9,-,5.0,29.87622024,2018.0,Jun,30.0
2018/06/30,JAMMU & KASHMIR,UDHAMPUR,1.75,-,10.84,30.77571477,2018.0,Jun,30.0
2018/06/30,JAMMU & KASHMIR,J&K District 1,0.58,-,4.29,19.48062245,2018.0,Jun,30.0
2018/06/30,JAMMU & KASHMIR,KUPWARA,0.48,-,3.59,27.66388752,2018.0,Jun,30.0
2018/06/30,JAMMU & KASHMIR,PUNCH,1.36,-,8.42,28.05380772,2018.0,Jun,30.0
2018/06/30,JAMMU & KASHMIR,DODA,5.72,-,34.87,29.82016048,2018.0,Jun,30.0
2018/06/30,JAMMU & KASHMIR,Leh (ladakh),1.42,-,10.44,19.17701451,2018.0,Jun,30.0
2018/06/29,JAMMU & KASHMIR,KULGAM,14.81,-,88.09,41.34168272,2018.0,Jun,29.0
2018/06/29,JAMMU & KASHMIR,BADGAM,11.88,-,71.27,39.80585817,2018.0,Jun,29.0
2018/06/29,JAMMU & KASHMIR,PULWAMA,7.66,-,50.48,37.91711065,2018.0,Jun,29.0
2018/06/29,JAMMU & KASHMIR,RAMBAN,10.1,-,62.16,36.00411258,2018.0,Jun,29.0
2018/06/29,JAMMU & KASHMIR,JAMMU,2.69,-,17.48,32.68149908,2018.0,Jun,29.0
2018/06/29,JAMMU & KASHMIR,SHUPIYAN,13.03,-,80.24,42.47774452,2018.0,Jun,29.0
2018/06/29,JAMMU & KASHMIR,SRINAGAR,4.61,-,35.67,33.41697244,2018.0,Jun,29.0
2018/06/29,JAMMU & KASHMIR,BARAMULA,3.8,-,21.85,32.28943595,2018.0,Jun,29.0
2018/06/29,JAMMU & KASHMIR,KISHTWAR,2.8,-,17.05,29.91064619,2018.0,Jun,29.0
2018/06/29,JAMMU & KASHMIR,ANANTNAG,7.24,-,43.52,36.54434586,2018.0,Jun,29.0
2018/06/29,JAMMU & KASHMIR,GANDERBAL,3.28,-,19.44,32.78048882,2018.0,Jun,29.0
2018/06/29,JAMMU & KASHMIR,REASI,7.26,-,43.5,36.32389082,2018.0,Jun,29.0
2018/06/29,JAMMU & KASHMIR,KATHUA,2.27,-,16.9,31.69934544,2018.0,Jun,29.0
2018/06/29,JAMMU & KASHMIR,KARGIL,0.96,-,6.25,25.24669427,2018.0,Jun,29.0
2018/06/29,JAMMU & KASHMIR,BANDIPORE,1.74,-,9.73,31.90213509,2018.0,Jun,29.0
2018/06/29,JAMMU & KASHMIR,UDHAMPUR,3.35,-,20.92,35.26825949,2018.0,Jun,29.0
2018/06/29,JAMMU & KASHMIR,J&K District 1,0.69,-,4.99,19.98842369,2018.0,Jun,29.0
2018/06/29,JAMMU & KASHMIR,KUPWARA,0.51,-,3.77,29.39181295,2018.0,Jun,29.0
2018/06/29,JAMMU & KASHMIR,PUNCH,2.04,-,12.72,30.5088603,2018.0,Jun,29.0
2018/06/29,JAMMU & KASHMIR,DODA,8.18,-,49.92,33.40939918,2018.0,Jun,29.0
2018/06/29,JAMMU & KASHMIR,Leh (ladakh),1.5,-,10.9,19.73688267,2018.0,Jun,29.0
2018/06/28,JAMMU & KASHMIR,KULGAM,12.75,-,75.59,38.98645442,2018.0,Jun,28.0
2018/06/28,JAMMU & KASHMIR,BADGAM,7.11,-,41.18,34.28083637,2018.0,Jun,28.0
2018/06/28,JAMMU & KASHMIR,PULWAMA,5.03,-,33.62,36.11243126,2018.0,Jun,28.0
2018/06/28,JAMMU & KASHMIR,RAMBAN,8.92,-,54.84,36.9320206,2018.0,Jun,28.0
2018/06/28,JAMMU & KASHMIR,JAMMU,0.81,-,5.26,21.32017357,2018.0,Jun,28.0
2018/06/28,JAMMU & KASHMIR,SHUPIYAN,11.39,-,69.8,40.39780105,2018.0,Jun,28.0
2018/06/28,JAMMU & KASHMIR,SRINAGAR,1.85,-,15.8,26.85249927,2018.0,Jun,28.0
2018/06/28,JAMMU & KASHMIR,BARAMULA,2.4,-,13.7,26.66377206,2018.0,Jun,28.0
2018/06/28,JAMMU & KASHMIR,KISHTWAR,3.43,-,21.02,31.3345374,2018.0,Jun,28.0
2018/06/28,JAMMU & KASHMIR,ANANTNAG,5.75,-,34.83,35.48643274,2018.0,Jun,28.0
2018/06/28,JAMMU & KASHMIR,GANDERBAL,1.59,-,9.67,29.83886702,2018.0,Jun,28.0
2018/06/28,JAMMU & KASHMIR,REASI,5.69,-,33.92,34.81777118,2018.0,Jun,28.0
