date,state_name,districtname,average_soilmoisture_level_(at_15cm),average_soilmoisture_volume_(at_15cm),aggregate_soilmoisture_percentage_(at_15cm),volume_soilmoisture_percentage_(at_15cm),Year,Month,Day
2018/06/30,KARNATAKA,CHIKMAGALUR,4.45,-,35.06,40.41145104,2018,Jun,30
2018/06/30,KARNATAKA,CHITRADURGA,2.34,-,17.95,30.73117823,2018,Jun,30
2018/06/30,KARNATAKA,MANDYA,2.4,-,18.33,31.85445979,2018,Jun,30
2018/06/30,KARNATAKA,BELLARY,3.27,-,29.11,27.55115997,2018,Jun,30
2018/06/30,KARNATAKA,MYSORE,7.1,-,58.43,40.26403757,2018,Jun,30
2018/06/30,KARNATAKA,CHAMRAJNAGAR,3.88,-,30.8,34.44451167,2018,Jun,30
2018/06/30,KARNATAKA,SHIMOGA,7.32,-,55.83,41.98714052,2018,Jun,30
2018/06/30,KARNATAKA,KODAGU,6.42,-,54.23,43.4632182,2018,Jun,30
2018/06/30,KARNATAKA,TUMKUR,1.16,-,8.96,31.32027241,2018,Jun,30
2018/06/30,KARNATAKA,BELGAUM,6.58,-,56.3,37.66114096,2018,Jun,30
2018/06/30,KARNATAKA,GADAG,7.63,-,55.48,33.65383277,2018,Jun,30
2018/06/30,KARNATAKA,RAICHUR,5.37,-,42.99,32.89889748,2018,Jun,30
2018/06/30,KARNATAKA,UDUPI,2.42,-,28.88,41.02410419,2018,Jun,30
2018/06/30,KARNATAKA,UTTARA KANNADA,6.21,-,51.07,42.46548462,2018,Jun,30
2018/06/30,KARNATAKA,BANGALORE RURAL,5.02,-,39.38,33.14162815,2018,Jun,30
2018/06/30,KARNATAKA,HASSAN,2.53,-,21.69,39.52494265,2018,Jun,30
2018/06/30,KARNATAKA,BAGALKOT,6.65,-,53.54,35.99981375,2018,Jun,30
2018/06/30,KARNATAKA,HAVERI,3.86,-,31.97,36.62345793,2018,Jun,30
2018/06/30,KARNATAKA,BIJAPUR,6.32,-,53.05,39.54195283,2018,Jun,30
2018/06/30,KARNATAKA,DAVANAGERE,5.15,-,39.75,35.17323828,2018,Jun,30
2018/06/30,KARNATAKA,CHIKKABALLAPURA,2.03,-,15.57,28.63812677,2018,Jun,30
2018/06/30,KARNATAKA,KOLAR,2.43,-,17.21,26.63590939,2018,Jun,30
2018/06/30,KARNATAKA,DHARWAD,8.32,-,64.95,40.33631414,2018,Jun,30
2018/06/30,KARNATAKA,BIDAR,5.74,-,50.22,39.62532311,2018,Jun,30
2018/06/30,KARNATAKA,RAMANAGARA,1.06,-,8.67,28.91150636,2018,Jun,30
2018/06/30,KARNATAKA,KOPPAL,5.08,-,39.23,31.74026456,2018,Jun,30
2018/06/30,KARNATAKA,GULBARGA,6.25,-,53.09,41.96549667,2018,Jun,30
2018/06/30,KARNATAKA,BANGALORE,5.44,-,43.6,34.29550838,2018,Jun,30
2018/06/30,KARNATAKA,YADGIR,3.68,-,30.36,36.21877397,2018,Jun,30
2018/06/30,KARNATAKA,DAKSHINA KANNADA,0.92,-,8.71,40.39632087,2018,Jun,30
2018/06/29,KARNATAKA,CHIKMAGALUR,4.54,-,35.81,41.8207995,2018,Jun,29
2018/06/29,KARNATAKA,CHITRADURGA,2.49,-,19.1,31.7482532,2018,Jun,29
2018/06/29,KARNATAKA,MANDYA,2.45,-,18.67,33.2659256,2018,Jun,29
2018/06/29,KARNATAKA,BELLARY,3.38,-,30.07,28.52850845,2018,Jun,29
2018/06/29,KARNATAKA,MYSORE,7.14,-,58.75,40.93386804,2018,Jun,29
2018/06/29,KARNATAKA,CHAMRAJNAGAR,3.95,-,31.38,35.07330372,2018,Jun,29
2018/06/29,KARNATAKA,SHIMOGA,7.42,-,56.45,42.92141585,2018,Jun,29
2018/06/29,KARNATAKA,KODAGU,6.45,-,54.52,43.99006348,2018,Jun,29
2018/06/29,KARNATAKA,TUMKUR,1.21,-,9.35,32.23191725,2018,Jun,29
2018/06/29,KARNATAKA,BELGAUM,6.9,-,59.23,39.47818541,2018,Jun,29
2018/06/29,KARNATAKA,GADAG,7.84,-,57.02,35.29890294,2018,Jun,29
2018/06/29,KARNATAKA,RAICHUR,5.53,-,44.2,33.25248652,2018,Jun,29
2018/06/29,KARNATAKA,UDUPI,2.43,-,29.17,41.90061562,2018,Jun,29
2018/06/29,KARNATAKA,UTTARA KANNADA,6.25,-,51.39,43.73133923,2018,Jun,29
2018/06/29,KARNATAKA,BANGALORE RURAL,5.25,-,41.19,34.12617772,2018,Jun,29
2018/06/29,KARNATAKA,HASSAN,2.56,-,21.96,41.44907487,2018,Jun,29
2018/06/29,KARNATAKA,BAGALKOT,6.59,-,53.29,36.17131157,2018,Jun,29
2018/06/29,KARNATAKA,HAVERI,3.97,-,32.94,38.03420779,2018,Jun,29
2018/06/29,KARNATAKA,BIJAPUR,5.85,-,49.11,38.30613805,2018,Jun,29
2018/06/29,KARNATAKA,DAVANAGERE,5.41,-,41.8,36.1796538,2018,Jun,29
2018/06/29,KARNATAKA,CHIKKABALLAPURA,2.12,-,16.35,29.5626187,2018,Jun,29
2018/06/29,KARNATAKA,KOLAR,2.57,-,18.3,26.96599595,2018,Jun,29
2018/06/29,KARNATAKA,DHARWAD,8.44,-,65.86,42.16792086,2018,Jun,29
2018/06/29,KARNATAKA,BIDAR,5.99,-,52.53,41.15805496,2018,Jun,29
2018/06/29,KARNATAKA,RAMANAGARA,1.13,-,9.27,30.04626727,2018,Jun,29
2018/06/29,KARNATAKA,KOPPAL,5.15,-,39.73,33.39375234,2018,Jun,29
2018/06/29,KARNATAKA,GULBARGA,5.81,-,49.28,40.96938826,2018,Jun,29
2018/06/29,KARNATAKA,BANGALORE,5.56,-,44.57,35.65650542,2018,Jun,29
2018/06/29,KARNATAKA,YADGIR,3.74,-,30.85,37.24210131,2018,Jun,29
2018/06/29,KARNATAKA,DAKSHINA KANNADA,0.92,-,8.72,41.56938705,2018,Jun,29
2018/06/28,KARNATAKA,CHIKMAGALUR,4.49,-,35.45,41.77296597,2018,Jun,28
2018/06/28,KARNATAKA,CHITRADURGA,2.61,-,20.01,31.42076818,2018,Jun,28
2018/06/28,KARNATAKA,MANDYA,2.44,-,18.6,31.70490925,2018,Jun,28
2018/06/28,KARNATAKA,BELLARY,3.4,-,30.34,28.5496282,2018,Jun,28
2018/06/28,KARNATAKA,MYSORE,7.12,-,58.58,40.49147062,2018,Jun,28
2018/06/28,KARNATAKA,CHAMRAJNAGAR,3.91,-,31.01,34.72420673,2018,Jun,28
2018/06/28,KARNATAKA,SHIMOGA,7.47,-,56.79,43.66944366,2018,Jun,28
2018/06/28,KARNATAKA,KODAGU,6.45,-,54.54,44.01664783,2018,Jun,28
2018/06/28,KARNATAKA,TUMKUR,1.21,-,9.31,31.09293794,2018,Jun,28
2018/06/28,KARNATAKA,BELGAUM,6.68,-,57.27,38.71185508,2018,Jun,28
2018/06/28,KARNATAKA,GADAG,7.77,-,56.54,35.82302295,2018,Jun,28
2018/06/28,KARNATAKA,RAICHUR,5.58,-,44.59,33.34180195,2018,Jun,28
2018/06/28,KARNATAKA,UDUPI,2.43,-,29.18,41.92519856,2018,Jun,28
2018/06/28,KARNATAKA,UTTARA KANNADA,6.12,-,50.42,43.9402663,2018,Jun,28
2018/06/28,KARNATAKA,BANGALORE RURAL,5.34,-,41.97,34.60467637,2018,Jun,28
2018/06/28,KARNATAKA,HASSAN,2.5,-,21.34,39.46405966,2018,Jun,28
2018/06/28,KARNATAKA,BAGALKOT,6.35,-,51.18,33.81831419,2018,Jun,28
2018/06/28,KARNATAKA,HAVERI,3.9,-,32.29,38.99045899,2018,Jun,28
2018/06/28,KARNATAKA,BIJAPUR,5.7,-,47.83,36.16339372,2018,Jun,28
2018/06/28,KARNATAKA,DAVANAGERE,5.53,-,42.69,37.10332908,2018,Jun,28
2018/06/28,KARNATAKA,CHIKKABALLAPURA,2.21,-,17.01,30.63229858,2018,Jun,28
2018/06/28,KARNATAKA,KOLAR,2.7,-,19.34,28.2916707,2018,Jun,28
2018/06/28,KARNATAKA,DHARWAD,8.39,-,65.52,43.35243461,2018,Jun,28
2018/06/28,KARNATAKA,BIDAR,5.95,-,52.25,41.78332414,2018,Jun,28
2018/06/28,KARNATAKA,RAMANAGARA,1.15,-,9.46,31.12428028,2018,Jun,28
2018/06/28,KARNATAKA,KOPPAL,5.07,-,39.17,32.49649147,2018,Jun,28
2018/06/28,KARNATAKA,GULBARGA,5.65,-,48.07,39.41819115,2018,Jun,28
2018/06/28,KARNATAKA,BANGALORE,5.57,-,44.71,36.76025686,2018,Jun,28
2018/06/28,KARNATAKA,YADGIR,3.71,-,30.62,36.33667752,2018,Jun,28
2018/06/28,KARNATAKA,DAKSHINA KANNADA,0.92,-,8.72,41.59617271,2018,Jun,28
2018/06/27,KARNATAKA,CHIKMAGALUR,4.13,-,32.63,40.56259469,2018,Jun,27
2018/06/27,KARNATAKA,CHITRADURGA,2.67,-,20.52,30.80282353,2018,Jun,27
2018/06/27,KARNATAKA,MANDYA,2.46,-,18.77,31.78996566,2018,Jun,27
2018/06/27,KARNATAKA,BELLARY,3.42,-,30.44,27.45995561,2018,Jun,27
2018/06/27,KARNATAKA,MYSORE,7.13,-,58.66,40.92868535,2018,Jun,27
2018/06/27,KARNATAKA,CHAMRAJNAGAR,3.95,-,31.35,35.13068987,2018,Jun,27
2018/06/27,KARNATAKA,SHIMOGA,7.08,-,53.99,42.88867643,2018,Jun,27
2018/06/27,KARNATAKA,KODAGU,6.45,-,54.53,44.07269832,2018,Jun,27
2018/06/27,KARNATAKA,TUMKUR,1.22,-,9.31,29.73847337,2018,Jun,27
2018/06/27,KARNATAKA,BELGAUM,6.57,-,56.32,37.78053789,2018,Jun,27
2018/06/27,KARNATAKA,GADAG,7.63,-,55.48,34.09163037,2018,Jun,27
2018/06/27,KARNATAKA,RAICHUR,5.57,-,44.59,32.49448803,2018,Jun,27
2018/06/27,KARNATAKA,UDUPI,2.43,-,29.18,41.90951202,2018,Jun,27
2018/06/27,KARNATAKA,UTTARA KANNADA,5.56,-,45.9,43.56848929,2018,Jun,27
2018/06/27,KARNATAKA,BANGALORE RURAL,5.31,-,41.73,34.39990687,2018,Jun,27
2018/06/27,KARNATAKA,HASSAN,2.46,-,20.86,37.5594356,2018,Jun,27
2018/06/27,KARNATAKA,BAGALKOT,6.33,-,51.01,32.46255618,2018,Jun,27
2018/06/27,KARNATAKA,HAVERI,3.64,-,29.84,35.93814675,2018,Jun,27
2018/06/27,KARNATAKA,BIJAPUR,5.69,-,47.76,36.12166202,2018,Jun,27
2018/06/27,KARNATAKA,DAVANAGERE,5.44,-,42.14,35.30432121,2018,Jun,27
2018/06/27,KARNATAKA,CHIKKABALLAPURA,2.2,-,16.92,31.10430746,2018,Jun,27
2018/06/27,KARNATAKA,KOLAR,2.73,-,19.59,27.80322106,2018,Jun,27
2018/06/27,KARNATAKA,DHARWAD,8.11,-,63.23,42.21495969,2018,Jun,27
2018/06/27,KARNATAKA,BIDAR,5.81,-,51.0,41.23162562,2018,Jun,27
2018/06/27,KARNATAKA,RAMANAGARA,1.15,-,9.41,30.98906345,2018,Jun,27
2018/06/27,KARNATAKA,KOPPAL,5.03,-,38.83,31.21634259,2018,Jun,27
2018/06/27,KARNATAKA,GULBARGA,5.69,-,48.4,39.77187171,2018,Jun,27
2018/06/27,KARNATAKA,BANGALORE,5.56,-,44.62,35.78589723,2018,Jun,27
2018/06/27,KARNATAKA,YADGIR,3.7,-,30.56,35.67686296,2018,Jun,27
2018/06/27,KARNATAKA,DAKSHINA KANNADA,0.92,-,8.72,41.58057635,2018,Jun,27
2018/06/26,KARNATAKA,CHIKMAGALUR,3.64,-,29.0,38.82574315,2018,Jun,26
2018/06/26,KARNATAKA,CHITRADURGA,2.78,-,21.38,30.32548118,2018,Jun,26
2018/06/26,KARNATAKA,MANDYA,2.43,-,18.55,32.16380792,2018,Jun,26
2018/06/26,KARNATAKA,BELLARY,3.48,-,30.97,26.15831464,2018,Jun,26
2018/06/26,KARNATAKA,MYSORE,6.96,-,57.21,41.2063411,2018,Jun,26
2018/06/26,KARNATAKA,CHAMRAJNAGAR,3.92,-,30.99,36.12018547,2018,Jun,26
2018/06/26,KARNATAKA,SHIMOGA,6.51,-,49.72,40.64455969,2018,Jun,26
2018/06/26,KARNATAKA,KODAGU,6.44,-,54.37,43.99556617,2018,Jun,26
2018/06/26,KARNATAKA,TUMKUR,1.26,-,9.68,27.86389751,2018,Jun,26
2018/06/26,KARNATAKA,BELGAUM,6.59,-,56.62,38.17635661,2018,Jun,26
2018/06/26,KARNATAKA,GADAG,7.74,-,56.22,31.93186087,2018,Jun,26
2018/06/26,KARNATAKA,RAICHUR,5.61,-,44.84,30.10552215,2018,Jun,26
2018/06/26,KARNATAKA,UDUPI,2.43,-,29.18,41.90259867,2018,Jun,26
2018/06/26,KARNATAKA,UTTARA KANNADA,5.07,-,42.0,42.64225016,2018,Jun,26
2018/06/26,KARNATAKA,BANGALORE RURAL,5.44,-,42.75,33.26673003,2018,Jun,26
2018/06/26,KARNATAKA,HASSAN,2.45,-,20.76,36.65620786,2018,Jun,26
2018/06/26,KARNATAKA,BAGALKOT,6.36,-,51.28,32.45382863,2018,Jun,26
2018/06/26,KARNATAKA,HAVERI,3.72,-,30.55,34.31758374,2018,Jun,26
2018/06/26,KARNATAKA,BIJAPUR,5.78,-,48.55,37.046703,2018,Jun,26
2018/06/26,KARNATAKA,DAVANAGERE,5.57,-,43.16,34.73809873,2018,Jun,26
2018/06/26,KARNATAKA,CHIKKABALLAPURA,2.2,-,16.91,29.38926839,2018,Jun,26
2018/06/26,KARNATAKA,KOLAR,2.82,-,20.29,28.01630948,2018,Jun,26
2018/06/26,KARNATAKA,DHARWAD,8.05,-,62.83,38.5161881,2018,Jun,26
2018/06/26,KARNATAKA,BIDAR,5.7,-,50.09,40.92413548,2018,Jun,26
2018/06/26,KARNATAKA,RAMANAGARA,1.15,-,9.43,30.6338331,2018,Jun,26
2018/06/26,KARNATAKA,KOPPAL,5.06,-,39.14,28.05895832,2018,Jun,26
2018/06/26,KARNATAKA,GULBARGA,5.67,-,48.15,40.0978893,2018,Jun,26
2018/06/26,KARNATAKA,BANGALORE,5.64,-,45.27,35.462527,2018,Jun,26
2018/06/26,KARNATAKA,YADGIR,3.74,-,30.87,35.93464338,2018,Jun,26
2018/06/26,KARNATAKA,DAKSHINA KANNADA,0.92,-,8.72,41.58738692,2018,Jun,26
2018/06/25,KARNATAKA,CHIKMAGALUR,3.52,-,28.02,38.45431478,2018,Jun,25
2018/06/25,KARNATAKA,CHITRADURGA,2.97,-,22.89,30.78342618,2018,Jun,25
2018/06/25,KARNATAKA,MANDYA,2.45,-,18.73,27.80185488,2018,Jun,25
2018/06/25,KARNATAKA,BELLARY,3.62,-,32.25,26.83675038,2018,Jun,25
2018/06/25,KARNATAKA,MYSORE,6.61,-,54.14,36.96768581,2018,Jun,25
2018/06/25,KARNATAKA,CHAMRAJNAGAR,3.82,-,30.33,35.23206,2018,Jun,25
2018/06/25,KARNATAKA,SHIMOGA,6.41,-,48.91,40.75885199,2018,Jun,25
2018/06/25,KARNATAKA,KODAGU,6.24,-,52.7,41.53487915,2018,Jun,25
2018/06/25,KARNATAKA,TUMKUR,1.36,-,10.41,28.55254883,2018,Jun,25
2018/06/25,KARNATAKA,BELGAUM,6.44,-,55.26,38.33381462,2018,Jun,25
2018/06/25,KARNATAKA,GADAG,7.95,-,57.85,33.01084884,2018,Jun,25
2018/06/25,KARNATAKA,RAICHUR,5.79,-,46.29,30.44990056,2018,Jun,25
2018/06/25,KARNATAKA,UDUPI,2.42,-,29.13,41.8769431,2018,Jun,25
2018/06/25,KARNATAKA,UTTARA KANNADA,4.86,-,40.38,42.98813526,2018,Jun,25
2018/06/25,KARNATAKA,BANGALORE RURAL,5.63,-,44.33,34.37360785,2018,Jun,25
