date,state_name,districtname,average_soilmoisture_level_(at_15cm),average_soilmoisture_volume_(at_15cm),aggregate_soilmoisture_percentage_(at_15cm),volume_soilmoisture_percentage_(at_15cm),Year,Month,Day
2018/06/30,LAKSHDWEEP,LAKSHADWEEP,5.23,-,44.37,42.24074295,2018.0,Jun,30.0
2018/06/29,LAKSHDWEEP,LAKSHADWEEP,5.22,-,44.35,42.28022701,2018.0,Jun,29.0
2018/06/28,LAKSHDWEEP,LAKSHADWEEP,5.21,-,44.23,41.50368499,2018.0,Jun,28.0
2018/06/27,LAKSHDWEEP,LAKSHADWEEP,4.96,-,41.9,39.44618206,2018.0,Jun,27.0
2018/06/26,LAKSHDWEEP,LAKSHADWEEP,4.99,-,42.1,40.09943627,2018.0,Jun,26.0
2018/06/25,LAKSHDWEEP,LAKSHADWEEP,4.99,-,42.14,41.0632601,2018.0,Jun,25.0
2018/06/24,LAKSHDWEEP,LAKSHADWEEP,5.04,-,42.55,40.73368712,2018.0,Jun,24.0
2018/06/23,LAKSHDWEEP,LAKSHADWEEP,5.19,-,44.02,41.7830069,2018.0,Jun,23.0
2018/06/22,LAKSHDWEEP,LAKSHADWEEP,5.13,-,43.34,41.69764765,2018.0,Jun,22.0
2018/06/21,LAKSHDWEEP,LAKSHADWEEP,5.12,-,43.24,41.68709647,2018.0,Jun,21.0
2018/06/20,LAKSHDWEEP,LAKSHADWEEP,5.22,-,44.26,41.99745344,2018.0,Jun,20.0
2018/06/19,LAKSHDWEEP,LAKSHADWEEP,5.1,-,43.06,41.60870801,2018.0,Jun,19.0
2018/06/18,LAKSHDWEEP,LAKSHADWEEP,5.0,-,42.59,39.11358862,2018.0,Jun,18.0
2018/06/17,LAKSHDWEEP,LAKSHADWEEP,5.08,-,43.38,39.97734725,2018.0,Jun,17.0
2018/06/16,LAKSHDWEEP,LAKSHADWEEP,5.07,-,43.31,38.91473772,2018.0,Jun,16.0
2018/06/15,LAKSHDWEEP,LAKSHADWEEP,5.06,-,43.24,39.96068101,2018.0,Jun,15.0
2018/06/14,LAKSHDWEEP,LAKSHADWEEP,5.1,-,43.51,40.44062098,2018.0,Jun,14.0
2018/06/13,LAKSHDWEEP,LAKSHADWEEP,5.06,-,43.03,40.60206649,2018.0,Jun,13.0
2018/06/12,LAKSHDWEEP,LAKSHADWEEP,4.94,-,41.83,38.30829016,2018.0,Jun,12.0
2018/06/11,LAKSHDWEEP,LAKSHADWEEP,4.98,-,42.13,38.85854458,2018.0,Jun,11.0
2018/06/10,LAKSHDWEEP,LAKSHADWEEP,5.02,-,42.39,39.90847081,2018.0,Jun,10.0
2018/06/09,LAKSHDWEEP,LAKSHADWEEP,5.09,-,42.99,41.26234646,2018.0,Jun,9.0
2018/06/08,LAKSHDWEEP,LAKSHADWEEP,5.18,-,43.89,41.86906166,2018.0,Jun,8.0
2018/06/07,LAKSHDWEEP,LAKSHADWEEP,5.23,-,44.43,42.13107852,2018.0,Jun,7.0
2018/06/06,LAKSHDWEEP,LAKSHADWEEP,5.23,-,44.43,42.28310224,2018.0,Jun,6.0
2018/06/05,LAKSHDWEEP,LAKSHADWEEP,5.12,-,43.34,41.73311425,2018.0,Jun,5.0
2018/06/04,LAKSHDWEEP,LAKSHADWEEP,5.09,-,43.01,41.81900568,2018.0,Jun,4.0
2018/06/03,LAKSHDWEEP,LAKSHADWEEP,5.14,-,43.49,41.74398163,2018.0,Jun,3.0
2018/06/02,LAKSHDWEEP,LAKSHADWEEP,5.21,-,44.2,41.74190869,2018.0,Jun,2.0
2018/06/01,LAKSHDWEEP,LAKSHADWEEP,5.22,-,44.33,42.1555557,2018.0,Jun,1.0
2018/07/31,LAKSHDWEEP,LAKSHADWEEP,4.81,-,40.85,27.52500071,2018.0,Jul,31.0
2018/07/30,LAKSHDWEEP,LAKSHADWEEP,4.82,-,40.9,26.98170055,2018.0,Jul,30.0
2018/07/29,LAKSHDWEEP,LAKSHADWEEP,4.82,-,40.91,27.70769645,2018.0,Jul,29.0
2018/07/28,LAKSHDWEEP,LAKSHADWEEP,4.82,-,40.95,28.68562937,2018.0,Jul,28.0
2018/07/27,LAKSHDWEEP,LAKSHADWEEP,4.83,-,40.99,29.66594848,2018.0,Jul,27.0
2018/07/26,LAKSHDWEEP,LAKSHADWEEP,4.83,-,41.03,30.86339778,2018.0,Jul,26.0
2018/07/25,LAKSHDWEEP,LAKSHADWEEP,4.83,-,41.04,31.26651502,2018.0,Jul,25.0
2018/07/24,LAKSHDWEEP,LAKSHADWEEP,4.84,-,41.07,32.39606705,2018.0,Jul,24.0
2018/07/23,LAKSHDWEEP,LAKSHADWEEP,4.85,-,41.18,33.76059662,2018.0,Jul,23.0
2018/07/22,LAKSHDWEEP,LAKSHADWEEP,4.86,-,41.27,35.05075554,2018.0,Jul,22.0
2018/07/21,LAKSHDWEEP,LAKSHADWEEP,4.87,-,41.34,36.14475284,2018.0,Jul,21.0
2018/07/20,LAKSHDWEEP,LAKSHADWEEP,4.89,-,41.5,36.81230409,2018.0,Jul,20.0
2018/07/19,LAKSHDWEEP,LAKSHADWEEP,4.91,-,41.7,37.83123888,2018.0,Jul,19.0
2018/07/18,LAKSHDWEEP,LAKSHADWEEP,4.93,-,41.94,38.3198953,2018.0,Jul,18.0
2018/07/17,LAKSHDWEEP,LAKSHADWEEP,4.99,-,42.54,38.79155054,2018.0,Jul,17.0
2018/07/16,LAKSHDWEEP,LAKSHADWEEP,5.09,-,43.53,39.511474,2018.0,Jul,16.0
2018/07/15,LAKSHDWEEP,LAKSHADWEEP,5.02,-,42.77,39.53315526,2018.0,Jul,15.0
2018/07/14,LAKSHDWEEP,LAKSHADWEEP,5.09,-,43.53,39.42200446,2018.0,Jul,14.0
2018/07/13,LAKSHDWEEP,LAKSHADWEEP,4.94,-,41.83,39.17953632,2018.0,Jul,13.0
2018/07/12,LAKSHDWEEP,LAKSHADWEEP,4.94,-,41.85,39.87679994,2018.0,Jul,12.0
2018/07/11,LAKSHDWEEP,LAKSHADWEEP,4.98,-,42.16,40.51639867,2018.0,Jul,11.0
2018/07/10,LAKSHDWEEP,LAKSHADWEEP,5.01,-,42.45,40.97963762,2018.0,Jul,10.0
2018/07/09,LAKSHDWEEP,LAKSHADWEEP,5.0,-,42.3,40.39019189,2018.0,Jul,9.0
2018/07/08,LAKSHDWEEP,LAKSHADWEEP,4.98,-,42.18,39.48395736,2018.0,Jul,8.0
2018/07/07,LAKSHDWEEP,LAKSHADWEEP,4.89,-,41.43,37.69826562,2018.0,Jul,7.0
2018/07/06,LAKSHDWEEP,LAKSHADWEEP,4.89,-,41.48,37.57094365,2018.0,Jul,6.0
2018/07/05,LAKSHDWEEP,LAKSHADWEEP,4.92,-,41.68,38.06384288,2018.0,Jul,5.0
2018/07/04,LAKSHDWEEP,LAKSHADWEEP,4.98,-,42.08,39.42569095,2018.0,Jul,4.0
2018/07/03,LAKSHDWEEP,LAKSHADWEEP,5.01,-,42.27,40.38720979,2018.0,Jul,3.0
2018/07/02,LAKSHDWEEP,LAKSHADWEEP,5.13,-,43.41,41.96762922,2018.0,Jul,2.0
2018/07/01,LAKSHDWEEP,LAKSHADWEEP,5.22,-,44.33,42.2151966,2018.0,Jul,1.0
2018/08/31,LAKSHDWEEP,LAKSHADWEEP,4.77,-,40.52,32.33794979,2018.0,Aug,31.0
2018/08/30,LAKSHDWEEP,LAKSHADWEEP,4.8,-,40.75,33.50823805,2018.0,Aug,30.0
2018/08/29,LAKSHDWEEP,LAKSHADWEEP,4.82,-,40.97,34.25350944,2018.0,Aug,29.0
2018/08/28,LAKSHDWEEP,LAKSHADWEEP,4.83,-,41.01,35.0448125,2018.0,Aug,28.0
2018/08/27,LAKSHDWEEP,LAKSHADWEEP,4.81,-,40.89,30.51324069,2018.0,Aug,27.0
2018/08/26,LAKSHDWEEP,LAKSHADWEEP,4.82,-,40.98,29.91747923,2018.0,Aug,26.0
2018/08/25,LAKSHDWEEP,LAKSHADWEEP,4.83,-,41.05,27.70350393,2018.0,Aug,25.0
2018/08/24,LAKSHDWEEP,LAKSHADWEEP,4.78,-,40.59,28.26146669,2018.0,Aug,24.0
2018/08/23,LAKSHDWEEP,LAKSHADWEEP,4.79,-,40.66,29.31942263,2018.0,Aug,23.0
2018/08/22,LAKSHDWEEP,LAKSHADWEEP,4.8,-,40.72,30.50215598,2018.0,Aug,22.0
2018/08/21,LAKSHDWEEP,LAKSHADWEEP,4.82,-,40.9,31.29985928,2018.0,Aug,21.0
2018/08/20,LAKSHDWEEP,LAKSHADWEEP,4.84,-,41.15,32.24669012,2018.0,Aug,20.0
2018/08/19,LAKSHDWEEP,LAKSHADWEEP,4.84,-,41.15,33.0839555,2018.0,Aug,19.0
2018/08/18,LAKSHDWEEP,LAKSHADWEEP,4.84,-,41.15,33.63965082,2018.0,Aug,18.0
2018/08/17,LAKSHDWEEP,LAKSHADWEEP,4.85,-,41.18,32.75046405,2018.0,Aug,17.0
2018/08/16,LAKSHDWEEP,LAKSHADWEEP,4.84,-,41.12,33.48862865,2018.0,Aug,16.0
