date,state_name,districtname,average_soilmoisture_level_(at_15cm),average_soilmoisture_volume_(at_15cm),aggregate_soilmoisture_percentage_(at_15cm),volume_soilmoisture_percentage_(at_15cm),Year,Month,Day
2018/06/30,MADHYA PRADESH,JHABUA,0.12,-,1.13,34.24244455,2018,Jun,30
2018/06/30,MADHYA PRADESH,SEONI,3.51,-,33.34,36.32561585,2018,Jun,30
2018/06/30,MADHYA PRADESH,MORENA,0.25,-,1.44,38.36597939,2018,Jun,30
2018/06/30,MADHYA PRADESH,REWA,0.01,-,0.1,30.08869498,2018,Jun,30
2018/06/30,MADHYA PRADESH,SEHORE,0.27,-,2.82,36.42136322,2018,Jun,30
2018/06/30,MADHYA PRADESH,DATIA,0.23,-,1.39,35.98623482,2018,Jun,30
2018/06/30,MADHYA PRADESH,UMARIA,1.2,-,12.41,30.14222429,2018,Jun,30
2018/06/30,MADHYA PRADESH,VIDISHA,0.01,-,0.03,41.0843418,2018,Jun,30
2018/06/30,MADHYA PRADESH,BARWANI,1.82,-,16.48,37.41555494,2018,Jun,30
2018/06/30,MADHYA PRADESH,HOSHANGABAD,1.17,-,11.22,38.78024962,2018,Jun,30
2018/06/30,MADHYA PRADESH,CHHINDWARA,3.77,-,35.44,36.57202915,2018,Jun,30
2018/06/30,MADHYA PRADESH,ALIRAJPUR,0.52,-,3.99,31.43855337,2018,Jun,30
2018/06/30,MADHYA PRADESH,CHHATARPUR,0.19,-,1.79,28.36526601,2018,Jun,30
2018/06/30,MADHYA PRADESH,TIKAMGARH,0.7,-,4.16,31.4163658,2018,Jun,30
2018/06/30,MADHYA PRADESH,SHAHDOL,3.1,-,29.49,27.26003609,2018,Jun,30
2018/06/30,MADHYA PRADESH,BETUL,4.04,-,37.21,35.95671879,2018,Jun,30
2018/06/30,MADHYA PRADESH,EAST NIMAR,0.7,-,6.96,38.59679742,2018,Jun,30
2018/06/30,MADHYA PRADESH,PANNA,0.23,-,2.35,32.61702943,2018,Jun,30
2018/06/30,MADHYA PRADESH,GWALIOR,0.02,-,0.09,37.87453051,2018,Jun,30
2018/06/30,MADHYA PRADESH,BHIND,0.11,-,0.95,37.58438977,2018,Jun,30
2018/06/30,MADHYA PRADESH,RAJGARH,0.06,-,0.61,41.54389502,2018,Jun,30
2018/06/30,MADHYA PRADESH,MANDLA,3.19,-,29.98,34.71031911,2018,Jun,30
2018/06/30,MADHYA PRADESH,KATNI,0.25,-,2.18,31.85712895,2018,Jun,30
2018/06/30,MADHYA PRADESH,DEWAS,0.17,-,1.7,37.79836465,2018,Jun,30
2018/06/30,MADHYA PRADESH,DAMOH,0.27,-,2.74,35.53166372,2018,Jun,30
2018/06/30,MADHYA PRADESH,SINGRAULI,0.87,-,7.75,30.65475394,2018,Jun,30
2018/06/30,MADHYA PRADESH,MANDSAUR,0.01,-,0.08,39.44326572,2018,Jun,30
2018/06/30,MADHYA PRADESH,ASHOKNAGAR,0.0,-,0.0,39.80630821,2018,Jun,30
2018/06/30,MADHYA PRADESH,BHOPAL,0.16,-,2.5,38.78977656,2018,Jun,30
2018/06/30,MADHYA PRADESH,NARSIMHAPUR,0.73,-,7.34,39.8010771,2018,Jun,30
2018/06/30,MADHYA PRADESH,INDORE,0.0,-,0.0,39.09514717,2018,Jun,30
2018/06/30,MADHYA PRADESH,BALAGHAT,2.47,-,23.54,33.00850528,2018,Jun,30
2018/06/30,MADHYA PRADESH,SIDHI,0.51,-,4.8,29.91238797,2018,Jun,30
2018/06/30,MADHYA PRADESH,GUNA,0.08,-,0.44,37.88547058,2018,Jun,30
2018/06/30,MADHYA PRADESH,BURHANPUR,0.64,-,5.82,39.04821719,2018,Jun,30
2018/06/30,MADHYA PRADESH,ANUPPUR,4.11,-,35.73,31.01060843,2018,Jun,30
2018/06/30,MADHYA PRADESH,SATNA,0.9,-,7.97,31.21920016,2018,Jun,30
2018/06/30,MADHYA PRADESH,DINDORI,2.87,-,26.31,36.83758929,2018,Jun,30
2018/06/30,MADHYA PRADESH,RATLAM,0.04,-,0.35,40.64518778,2018,Jun,30
2018/06/30,MADHYA PRADESH,SHAJAPUR,0.12,-,1.28,40.54488012,2018,Jun,30
2018/06/30,MADHYA PRADESH,JABALPUR,0.52,-,4.98,38.00073782,2018,Jun,30
2018/06/30,MADHYA PRADESH,WEST NIMAR,0.14,-,1.33,39.45653758,2018,Jun,30
2018/06/30,MADHYA PRADESH,SHEOPUR,1.97,-,9.8,32.88818936,2018,Jun,30
2018/06/30,MADHYA PRADESH,SAGAR,0.49,-,4.25,37.52899934,2018,Jun,30
2018/06/30,MADHYA PRADESH,DHAR,0.35,-,1.5,38.94384292,2018,Jun,30
2018/06/30,MADHYA PRADESH,NEEMUCH,0.0,-,0.01,33.04436128,2018,Jun,30
2018/06/30,MADHYA PRADESH,HARDA,0.9,-,8.56,39.99748926,2018,Jun,30
2018/06/30,MADHYA PRADESH,UJJAIN,0.0,-,0.0,40.66970226,2018,Jun,30
