date,state_name,districtname,average_soilmoisture_level_(at_15cm),average_soilmoisture_volume_(at_15cm),aggregate_soilmoisture_percentage_(at_15cm),volume_soilmoisture_percentage_(at_15cm),Year,Month,Day
2018/06/30,MAHARASHTRA,WASHIM,0.16,-,1.12,41.45206208,2018.0,Jun,30.0
2018/06/30,MAHARASHTRA,SATARA,5.44,-,43.41,34.10573634,2018.0,Jun,30.0
2018/06/30,MAHARASHTRA,PUNE,2.46,-,16.41,35.67910148,2018.0,Jun,30.0
2018/06/30,MAHARASHTRA,PARBHANI,0.17,-,1.1,38.02057468,2018.0,Jun,30.0
2018/06/30,MAHARASHTRA,JALNA,0.55,-,3.33,35.00787647,2018.0,Jun,30.0
2018/06/30,MAHARASHTRA,GONDIYA,0.45,-,3.84,37.00546666,2018.0,Jun,30.0
2018/06/30,MAHARASHTRA,MUMBAI,0.0,-,0.0,44.984512,2018.0,Jun,30.0
2018/06/30,MAHARASHTRA,NASHIK,1.5,-,10.05,31.42123232,2018.0,Jun,30.0
2018/06/30,MAHARASHTRA,GARHCHIROLI,1.98,-,15.22,34.8124412,2018.0,Jun,30.0
2018/06/30,MAHARASHTRA,RATNAGIRI,7.57,-,48.56,38.58166755,2018.0,Jun,30.0
2018/06/30,MAHARASHTRA,OSMANABAD,2.25,-,23.06,36.64915721,2018.0,Jun,30.0
2018/06/30,MAHARASHTRA,BID,1.49,-,13.51,35.04730551,2018.0,Jun,30.0
2018/06/30,MAHARASHTRA,LATUR,4.92,-,45.61,38.06840375,2018.0,Jun,30.0
2018/06/30,MAHARASHTRA,YAVATMAL,0.51,-,3.91,39.18920287,2018.0,Jun,30.0
2018/06/30,MAHARASHTRA,BHANDARA,2.82,-,25.24,38.2391493,2018.0,Jun,30.0
2018/06/30,MAHARASHTRA,MUMBAI SUBURBAN,0.85,-,8.24,43.4991526,2018.0,Jun,30.0
2018/06/30,MAHARASHTRA,NANDURBAR,0.77,-,4.77,35.10107677,2018.0,Jun,30.0
2018/06/30,MAHARASHTRA,NAGPUR,2.33,-,24.97,39.33520624,2018.0,Jun,30.0
2018/06/30,MAHARASHTRA,CHANDRAPUR,1.39,-,10.79,39.0177397,2018.0,Jun,30.0
2018/06/30,MAHARASHTRA,JALGAON,1.35,-,9.12,38.64896959,2018.0,Jun,30.0
2018/06/30,MAHARASHTRA,HINGOLI,0.86,-,5.88,38.97473377,2018.0,Jun,30.0
2018/06/30,MAHARASHTRA,AKOLA,0.96,-,7.03,41.30609215,2018.0,Jun,30.0
2018/06/30,MAHARASHTRA,AURANGABAD,0.43,-,2.88,35.00917478,2018.0,Jun,30.0
2018/06/30,MAHARASHTRA,DHULE,1.23,-,8.81,37.94801858,2018.0,Jun,30.0
