date,state_name,districtname,average_soilmoisture_level_(at_15cm),average_soilmoisture_volume_(at_15cm),aggregate_soilmoisture_percentage_(at_15cm),volume_soilmoisture_percentage_(at_15cm),Year,Month,Day
2018/06/30,MANIPUR,CHANDEL,2.24,-,12.25,37.41989217,2018.0,Jun,30.0
2018/06/30,MANIPUR,CHURACHANDPUR,0.6,-,4.21,36.06914296,2018.0,Jun,30.0
2018/06/30,MANIPUR,TAMENGLONG,1.68,-,12.12,34.66163219,2018.0,Jun,30.0
2018/06/30,MANIPUR,IMPHAL WEST,1.88,-,19.64,40.21514461,2018.0,Jun,30.0
2018/06/30,MANIPUR,IMPHAL EAST,0.31,-,1.65,40.11785642,2018.0,Jun,30.0
2018/06/30,MANIPUR,SENAPATI,6.48,-,32.8,39.09941153,2018.0,Jun,30.0
2018/06/30,MANIPUR,THOUBAL,0.07,-,0.84,39.82534289,2018.0,Jun,30.0
2018/06/30,MANIPUR,UKHRUL,8.55,-,36.8,41.09242216,2018.0,Jun,30.0
2018/06/30,MANIPUR,BISHNUPUR,0.0,-,0.0,38.08627956,2018.0,Jun,30.0
2018/06/29,MANIPUR,CHANDEL,2.33,-,12.69,38.77840963,2018.0,Jun,29.0
2018/06/29,MANIPUR,CHURACHANDPUR,0.66,-,4.73,37.10898824,2018.0,Jun,29.0
2018/06/29,MANIPUR,TAMENGLONG,1.74,-,12.58,34.78629019,2018.0,Jun,29.0
2018/06/29,MANIPUR,IMPHAL WEST,1.77,-,17.94,39.12754055,2018.0,Jun,29.0
2018/06/29,MANIPUR,IMPHAL EAST,0.3,-,1.57,39.71861742,2018.0,Jun,29.0
2018/06/29,MANIPUR,SENAPATI,6.69,-,34.04,39.72837267,2018.0,Jun,29.0
2018/06/29,MANIPUR,THOUBAL,0.05,-,0.69,39.90983319,2018.0,Jun,29.0
2018/06/29,MANIPUR,UKHRUL,8.5,-,36.62,40.84192184,2018.0,Jun,29.0
2018/06/29,MANIPUR,BISHNUPUR,0.0,-,0.0,37.93351317,2018.0,Jun,29.0
2018/06/28,MANIPUR,CHANDEL,2.22,-,12.0,38.21716744,2018.0,Jun,28.0
2018/06/28,MANIPUR,CHURACHANDPUR,0.74,-,5.39,38.64898652,2018.0,Jun,28.0
2018/06/28,MANIPUR,TAMENGLONG,1.85,-,13.94,36.40718888,2018.0,Jun,28.0
