date,state_name,districtname,average_soilmoisture_level_(at_15cm),average_soilmoisture_volume_(at_15cm),aggregate_soilmoisture_percentage_(at_15cm),volume_soilmoisture_percentage_(at_15cm),Year,Month,Day
2018/06/30,NAGALAND,DIMAPUR,2.3,-,15.04,30.41346469,2018.0,Jun,30.0
2018/06/30,NAGALAND,MON,1.67,-,13.76,43.06476236,2018.0,Jun,30.0
2018/06/30,NAGALAND,MOKOKCHUNG,4.48,-,31.77,38.26926945,2018.0,Jun,30.0
2018/06/30,NAGALAND,KOHIMA,3.57,-,26.07,38.89674715,2018.0,Jun,30.0
2018/06/30,NAGALAND,LONGLENG,2.27,-,18.71,42.14155324,2018.0,Jun,30.0
2018/06/30,NAGALAND,TUENSANG,1.05,-,8.74,41.34147284,2018.0,Jun,30.0
2018/06/30,NAGALAND,WOKHA,3.72,-,25.87,37.28050022,2018.0,Jun,30.0
2018/06/30,NAGALAND,ZUNHEBOTO,1.32,-,9.72,40.74427599,2018.0,Jun,30.0
2018/06/30,NAGALAND,PHEK,2.01,-,14.13,41.85985433,2018.0,Jun,30.0
2018/06/30,NAGALAND,KIPHIRE,0.82,-,6.19,43.5835614,2018.0,Jun,30.0
2018/06/30,NAGALAND,PEREN,4.13,-,28.51,37.06853537,2018.0,Jun,30.0
2018/06/29,NAGALAND,DIMAPUR,2.44,-,15.95,31.21022703,2018.0,Jun,29.0
2018/06/29,NAGALAND,MON,1.87,-,15.34,44.72205202,2018.0,Jun,29.0
2018/06/29,NAGALAND,MOKOKCHUNG,4.6,-,32.64,38.83772436,2018.0,Jun,29.0
2018/06/29,NAGALAND,KOHIMA,3.74,-,27.29,39.57345739,2018.0,Jun,29.0
2018/06/29,NAGALAND,LONGLENG,2.41,-,19.87,43.67279853,2018.0,Jun,29.0
2018/06/29,NAGALAND,TUENSANG,1.07,-,8.93,42.46949279,2018.0,Jun,29.0
2018/06/29,NAGALAND,WOKHA,3.82,-,26.55,38.2191194,2018.0,Jun,29.0
2018/06/29,NAGALAND,ZUNHEBOTO,1.45,-,10.73,41.92138953,2018.0,Jun,29.0
2018/06/29,NAGALAND,PHEK,2.13,-,15.03,42.53458391,2018.0,Jun,29.0
2018/06/29,NAGALAND,KIPHIRE,0.85,-,6.42,44.01292868,2018.0,Jun,29.0
2018/06/29,NAGALAND,PEREN,4.35,-,30.11,38.19377833,2018.0,Jun,29.0
2018/06/28,NAGALAND,DIMAPUR,2.69,-,17.64,32.40224873,2018.0,Jun,28.0
2018/06/28,NAGALAND,MON,1.9,-,15.59,44.86431279,2018.0,Jun,28.0
2018/06/28,NAGALAND,MOKOKCHUNG,4.86,-,34.49,39.99222178,2018.0,Jun,28.0
2018/06/28,NAGALAND,KOHIMA,3.92,-,28.58,40.0856888,2018.0,Jun,28.0
2018/06/28,NAGALAND,LONGLENG,2.41,-,19.87,44.06958357,2018.0,Jun,28.0
2018/06/28,NAGALAND,TUENSANG,1.08,-,9.0,42.89788772,2018.0,Jun,28.0
2018/06/28,NAGALAND,WOKHA,3.82,-,26.47,38.34418338,2018.0,Jun,28.0
2018/06/28,NAGALAND,ZUNHEBOTO,1.48,-,10.94,42.208979,2018.0,Jun,28.0
2018/06/28,NAGALAND,PHEK,2.12,-,15.01,42.49644253,2018.0,Jun,28.0
2018/06/28,NAGALAND,KIPHIRE,0.86,-,6.51,44.00274895,2018.0,Jun,28.0
2018/06/28,NAGALAND,PEREN,4.72,-,32.69,39.97587921,2018.0,Jun,28.0
2018/06/27,NAGALAND,DIMAPUR,3.01,-,19.69,34.32049172,2018.0,Jun,27.0
2018/06/27,NAGALAND,MON,1.9,-,15.57,44.92628029,2018.0,Jun,27.0
2018/06/27,NAGALAND,MOKOKCHUNG,5.06,-,35.71,40.95806738,2018.0,Jun,27.0
2018/06/27,NAGALAND,KOHIMA,4.09,-,29.81,40.8238358,2018.0,Jun,27.0
2018/06/27,NAGALAND,LONGLENG,2.44,-,20.05,44.68523484,2018.0,Jun,27.0
2018/06/27,NAGALAND,TUENSANG,1.12,-,9.36,43.97797651,2018.0,Jun,27.0
2018/06/27,NAGALAND,WOKHA,4.16,-,28.85,40.01017386,2018.0,Jun,27.0
2018/06/27,NAGALAND,ZUNHEBOTO,1.49,-,11.03,42.28687172,2018.0,Jun,27.0
2018/06/27,NAGALAND,PHEK,2.16,-,15.24,42.97016641,2018.0,Jun,27.0
2018/06/27,NAGALAND,KIPHIRE,0.87,-,6.56,44.42473875,2018.0,Jun,27.0
2018/06/27,NAGALAND,PEREN,5.06,-,35.0,41.73688513,2018.0,Jun,27.0
2018/06/26,NAGALAND,DIMAPUR,4.1,-,26.76,37.81434302,2018.0,Jun,26.0
2018/06/26,NAGALAND,MON,1.9,-,15.58,44.94083384,2018.0,Jun,26.0
2018/06/26,NAGALAND,MOKOKCHUNG,4.87,-,34.38,41.10994394,2018.0,Jun,26.0
2018/06/26,NAGALAND,KOHIMA,4.22,-,30.7,41.67260375,2018.0,Jun,26.0
2018/06/26,NAGALAND,LONGLENG,2.44,-,20.11,44.70760558,2018.0,Jun,26.0
2018/06/26,NAGALAND,TUENSANG,1.12,-,9.36,43.97843491,2018.0,Jun,26.0
2018/06/26,NAGALAND,WOKHA,3.59,-,24.86,39.81455879,2018.0,Jun,26.0
2018/06/26,NAGALAND,ZUNHEBOTO,1.45,-,10.78,42.32258178,2018.0,Jun,26.0
2018/06/26,NAGALAND,PHEK,2.15,-,15.21,43.06855663,2018.0,Jun,26.0
2018/06/26,NAGALAND,KIPHIRE,0.87,-,6.56,44.51272571,2018.0,Jun,26.0
2018/06/26,NAGALAND,PEREN,5.23,-,36.16,43.24709263,2018.0,Jun,26.0
2018/06/25,NAGALAND,DIMAPUR,1.98,-,12.68,33.7333297,2018.0,Jun,25.0
2018/06/25,NAGALAND,MON,1.9,-,15.52,44.90164529,2018.0,Jun,25.0
2018/06/25,NAGALAND,MOKOKCHUNG,3.89,-,27.55,39.11587287,2018.0,Jun,25.0
2018/06/25,NAGALAND,KOHIMA,3.61,-,26.44,40.46608787,2018.0,Jun,25.0
2018/06/25,NAGALAND,LONGLENG,2.43,-,20.02,44.5955228,2018.0,Jun,25.0
2018/06/25,NAGALAND,TUENSANG,1.0,-,8.26,43.7028102,2018.0,Jun,25.0
2018/06/25,NAGALAND,WOKHA,2.37,-,16.43,37.68683367,2018.0,Jun,25.0
2018/06/25,NAGALAND,ZUNHEBOTO,1.29,-,9.55,41.90339711,2018.0,Jun,25.0
2018/06/25,NAGALAND,PHEK,2.08,-,14.66,43.03129009,2018.0,Jun,25.0
2018/06/25,NAGALAND,KIPHIRE,0.87,-,6.54,44.51699629,2018.0,Jun,25.0
2018/06/25,NAGALAND,PEREN,3.52,-,24.1,34.82490481,2018.0,Jun,25.0
2018/06/24,NAGALAND,DIMAPUR,1.41,-,8.92,29.93533143,2018.0,Jun,24.0
2018/06/24,NAGALAND,MON,1.48,-,11.84,42.24985592,2018.0,Jun,24.0
2018/06/24,NAGALAND,MOKOKCHUNG,2.62,-,18.71,36.12548597,2018.0,Jun,24.0
2018/06/24,NAGALAND,KOHIMA,2.67,-,19.58,37.09354699,2018.0,Jun,24.0
2018/06/24,NAGALAND,LONGLENG,2.09,-,17.13,42.84044811,2018.0,Jun,24.0
2018/06/24,NAGALAND,TUENSANG,0.65,-,5.45,40.40591287,2018.0,Jun,24.0
2018/06/24,NAGALAND,WOKHA,1.28,-,8.85,32.20425475,2018.0,Jun,24.0
2018/06/24,NAGALAND,ZUNHEBOTO,0.76,-,5.52,37.61622421,2018.0,Jun,24.0
2018/06/24,NAGALAND,PHEK,1.75,-,12.34,42.37107253,2018.0,Jun,24.0
2018/06/24,NAGALAND,KIPHIRE,0.84,-,6.34,44.32359986,2018.0,Jun,24.0
2018/06/24,NAGALAND,PEREN,3.4,-,23.38,34.65898035,2018.0,Jun,24.0
2018/06/23,NAGALAND,DIMAPUR,1.31,-,8.33,28.79602038,2018.0,Jun,23.0
2018/06/23,NAGALAND,MON,1.15,-,9.23,38.31041426,2018.0,Jun,23.0
2018/06/23,NAGALAND,MOKOKCHUNG,2.21,-,15.79,31.10165065,2018.0,Jun,23.0
2018/06/23,NAGALAND,KOHIMA,2.36,-,17.39,34.23377951,2018.0,Jun,23.0
2018/06/23,NAGALAND,LONGLENG,1.63,-,13.43,37.83774642,2018.0,Jun,23.0
2018/06/23,NAGALAND,TUENSANG,0.57,-,4.71,36.25688043,2018.0,Jun,23.0
2018/06/23,NAGALAND,WOKHA,1.31,-,9.1,31.09275448,2018.0,Jun,23.0
2018/06/23,NAGALAND,ZUNHEBOTO,0.7,-,5.07,34.64761773,2018.0,Jun,23.0
2018/06/23,NAGALAND,PHEK,1.55,-,10.77,39.29872604,2018.0,Jun,23.0
2018/06/23,NAGALAND,KIPHIRE,0.67,-,5.13,40.9857696,2018.0,Jun,23.0
2018/06/23,NAGALAND,PEREN,3.3,-,22.74,34.22556323,2018.0,Jun,23.0
2018/06/22,NAGALAND,DIMAPUR,1.41,-,8.96,29.2310312,2018.0,Jun,22.0
2018/06/22,NAGALAND,MON,1.23,-,9.97,38.85566386,2018.0,Jun,22.0
2018/06/22,NAGALAND,MOKOKCHUNG,2.32,-,16.63,31.78591994,2018.0,Jun,22.0
2018/06/22,NAGALAND,KOHIMA,2.43,-,17.94,34.80563539,2018.0,Jun,22.0
2018/06/22,NAGALAND,LONGLENG,1.66,-,13.65,38.53342691,2018.0,Jun,22.0
2018/06/22,NAGALAND,TUENSANG,0.56,-,4.6,36.8523503,2018.0,Jun,22.0
2018/06/22,NAGALAND,WOKHA,1.36,-,9.47,31.62337283,2018.0,Jun,22.0
2018/06/22,NAGALAND,ZUNHEBOTO,0.69,-,5.08,34.26153454,2018.0,Jun,22.0
2018/06/22,NAGALAND,PHEK,1.5,-,10.37,38.71216265,2018.0,Jun,22.0
2018/06/22,NAGALAND,KIPHIRE,0.64,-,4.91,40.24013793,2018.0,Jun,22.0
2018/06/22,NAGALAND,PEREN,3.45,-,23.78,34.68742923,2018.0,Jun,22.0
2018/06/21,NAGALAND,DIMAPUR,1.54,-,9.79,30.54911543,2018.0,Jun,21.0
2018/06/21,NAGALAND,MON,1.19,-,9.62,38.44939813,2018.0,Jun,21.0
2018/06/21,NAGALAND,MOKOKCHUNG,2.41,-,17.29,31.61800535,2018.0,Jun,21.0
2018/06/21,NAGALAND,KOHIMA,2.45,-,18.04,35.13137811,2018.0,Jun,21.0
2018/06/21,NAGALAND,LONGLENG,1.71,-,14.12,36.81685051,2018.0,Jun,21.0
2018/06/21,NAGALAND,TUENSANG,0.61,-,5.06,35.35709896,2018.0,Jun,21.0
2018/06/21,NAGALAND,WOKHA,1.45,-,10.1,31.71943779,2018.0,Jun,21.0
2018/06/21,NAGALAND,ZUNHEBOTO,0.72,-,5.26,34.47515402,2018.0,Jun,21.0
2018/06/21,NAGALAND,PHEK,1.49,-,10.27,38.48183013,2018.0,Jun,21.0
2018/06/21,NAGALAND,KIPHIRE,0.65,-,4.98,38.84679319,2018.0,Jun,21.0
2018/06/21,NAGALAND,PEREN,3.56,-,24.45,35.0825866,2018.0,Jun,21.0
2018/06/20,NAGALAND,DIMAPUR,1.33,-,8.48,27.48366197,2018.0,Jun,20.0
2018/06/20,NAGALAND,MON,1.07,-,8.77,37.01057995,2018.0,Jun,20.0
2018/06/20,NAGALAND,MOKOKCHUNG,2.52,-,18.03,31.85686184,2018.0,Jun,20.0
2018/06/20,NAGALAND,KOHIMA,2.34,-,17.31,33.78302039,2018.0,Jun,20.0
2018/06/20,NAGALAND,LONGLENG,1.72,-,14.25,36.91964665,2018.0,Jun,20.0
2018/06/20,NAGALAND,TUENSANG,0.67,-,5.59,35.82717767,2018.0,Jun,20.0
2018/06/20,NAGALAND,WOKHA,1.64,-,11.36,32.81027633,2018.0,Jun,20.0
2018/06/20,NAGALAND,ZUNHEBOTO,0.76,-,5.57,34.48227691,2018.0,Jun,20.0
2018/06/20,NAGALAND,PHEK,1.45,-,10.0,39.28116555,2018.0,Jun,20.0
2018/06/20,NAGALAND,KIPHIRE,0.66,-,5.07,39.84262628,2018.0,Jun,20.0
2018/06/20,NAGALAND,PEREN,3.31,-,22.98,34.13078142,2018.0,Jun,20.0
2018/06/19,NAGALAND,DIMAPUR,1.42,-,9.05,27.95908518,2018.0,Jun,19.0
2018/06/19,NAGALAND,MON,1.14,-,9.36,37.51931948,2018.0,Jun,19.0
2018/06/19,NAGALAND,MOKOKCHUNG,2.66,-,19.01,32.33229574,2018.0,Jun,19.0
2018/06/19,NAGALAND,KOHIMA,2.4,-,17.8,34.14504217,2018.0,Jun,19.0
2018/06/19,NAGALAND,LONGLENG,1.79,-,14.82,37.73430141,2018.0,Jun,19.0
2018/06/19,NAGALAND,TUENSANG,0.71,-,5.94,35.6915507,2018.0,Jun,19.0
2018/06/19,NAGALAND,WOKHA,1.67,-,11.6,33.38355888,2018.0,Jun,19.0
2018/06/19,NAGALAND,ZUNHEBOTO,0.77,-,5.66,34.73768125,2018.0,Jun,19.0
2018/06/19,NAGALAND,PHEK,1.23,-,8.43,36.22731734,2018.0,Jun,19.0
2018/06/19,NAGALAND,KIPHIRE,0.66,-,5.04,37.98582621,2018.0,Jun,19.0
2018/06/19,NAGALAND,PEREN,3.51,-,24.33,35.04669029,2018.0,Jun,19.0
2018/06/18,NAGALAND,DIMAPUR,1.59,-,10.16,28.9672228,2018.0,Jun,18.0
2018/06/18,NAGALAND,MON,1.3,-,10.65,39.21913729,2018.0,Jun,18.0
2018/06/18,NAGALAND,MOKOKCHUNG,2.98,-,21.28,33.8460998,2018.0,Jun,18.0
2018/06/18,NAGALAND,KOHIMA,2.66,-,19.68,35.47551629,2018.0,Jun,18.0
2018/06/18,NAGALAND,LONGLENG,1.98,-,16.39,39.49831331,2018.0,Jun,18.0
2018/06/18,NAGALAND,TUENSANG,0.75,-,6.29,36.88154442,2018.0,Jun,18.0
2018/06/18,NAGALAND,WOKHA,1.79,-,12.41,33.17645142,2018.0,Jun,18.0
2018/06/18,NAGALAND,ZUNHEBOTO,0.83,-,6.12,36.21308869,2018.0,Jun,18.0
2018/06/18,NAGALAND,PHEK,1.31,-,8.98,37.07512148,2018.0,Jun,18.0
2018/06/18,NAGALAND,KIPHIRE,0.67,-,5.14,39.07592598,2018.0,Jun,18.0
2018/06/18,NAGALAND,PEREN,3.85,-,26.71,36.50413051,2018.0,Jun,18.0
2018/06/17,NAGALAND,DIMAPUR,1.81,-,11.57,30.32515681,2018.0,Jun,17.0
2018/06/17,NAGALAND,MON,1.5,-,12.32,41.25152744,2018.0,Jun,17.0
2018/06/17,NAGALAND,MOKOKCHUNG,3.3,-,23.52,35.46869267,2018.0,Jun,17.0
2018/06/17,NAGALAND,KOHIMA,3.02,-,22.2,37.14592243,2018.0,Jun,17.0
2018/06/17,NAGALAND,LONGLENG,2.17,-,17.92,41.41619634,2018.0,Jun,17.0
2018/06/17,NAGALAND,TUENSANG,0.78,-,6.5,38.5856987,2018.0,Jun,17.0
2018/06/17,NAGALAND,WOKHA,2.09,-,14.53,34.42561788,2018.0,Jun,17.0
2018/06/17,NAGALAND,ZUNHEBOTO,0.94,-,6.94,38.08193409,2018.0,Jun,17.0
2018/06/17,NAGALAND,PHEK,1.45,-,9.99,38.50949396,2018.0,Jun,17.0
2018/06/17,NAGALAND,KIPHIRE,0.71,-,5.41,40.42017995,2018.0,Jun,17.0
2018/06/17,NAGALAND,PEREN,4.31,-,29.9,38.43515498,2018.0,Jun,17.0
2018/06/16,NAGALAND,DIMAPUR,1.99,-,12.73,31.80573724,2018.0,Jun,16.0
2018/06/16,NAGALAND,MON,1.58,-,13.01,42.26468866,2018.0,Jun,16.0
2018/06/16,NAGALAND,MOKOKCHUNG,3.54,-,25.17,36.52490566,2018.0,Jun,16.0
2018/06/16,NAGALAND,KOHIMA,3.41,-,24.98,38.73572665,2018.0,Jun,16.0
2018/06/16,NAGALAND,LONGLENG,2.21,-,18.26,42.4347884,2018.0,Jun,16.0
2018/06/16,NAGALAND,TUENSANG,0.83,-,6.89,40.63125248,2018.0,Jun,16.0
2018/06/16,NAGALAND,WOKHA,2.45,-,17.06,35.50971795,2018.0,Jun,16.0
2018/06/16,NAGALAND,ZUNHEBOTO,1.11,-,8.22,39.9079672,2018.0,Jun,16.0
2018/06/16,NAGALAND,PHEK,1.6,-,11.11,39.94407957,2018.0,Jun,16.0
2018/06/16,NAGALAND,KIPHIRE,0.77,-,5.85,41.88506022,2018.0,Jun,16.0
2018/06/16,NAGALAND,PEREN,4.69,-,32.49,40.28221134,2018.0,Jun,16.0
2018/06/15,NAGALAND,DIMAPUR,2.25,-,14.39,33.80646567,2018.0,Jun,15.0
2018/06/15,NAGALAND,MON,1.85,-,15.17,44.72399476,2018.0,Jun,15.0
2018/06/15,NAGALAND,MOKOKCHUNG,4.0,-,28.41,38.68527174,2018.0,Jun,15.0
2018/06/15,NAGALAND,KOHIMA,3.79,-,27.73,40.19966087,2018.0,Jun,15.0
2018/06/15,NAGALAND,LONGLENG,2.42,-,19.95,44.58164008,2018.0,Jun,15.0
2018/06/15,NAGALAND,TUENSANG,0.9,-,7.47,42.77384155,2018.0,Jun,15.0
2018/06/15,NAGALAND,WOKHA,2.69,-,18.82,37.03075269,2018.0,Jun,15.0
2018/06/15,NAGALAND,ZUNHEBOTO,1.28,-,9.45,41.74783091,2018.0,Jun,15.0
2018/06/15,NAGALAND,PHEK,1.76,-,12.43,41.78465893,2018.0,Jun,15.0
2018/06/15,NAGALAND,KIPHIRE,0.85,-,6.36,43.79721978,2018.0,Jun,15.0
2018/06/15,NAGALAND,PEREN,5.02,-,34.82,42.14292608,2018.0,Jun,15.0
2018/06/14,NAGALAND,DIMAPUR,2.49,-,15.94,34.67212019,2018.0,Jun,14.0
2018/06/14,NAGALAND,MON,1.87,-,15.39,44.88876259,2018.0,Jun,14.0
2018/06/14,NAGALAND,MOKOKCHUNG,3.9,-,27.7,38.60954185,2018.0,Jun,14.0
2018/06/14,NAGALAND,KOHIMA,3.97,-,29.02,40.63605132,2018.0,Jun,14.0
2018/06/14,NAGALAND,LONGLENG,2.41,-,19.89,44.56488763,2018.0,Jun,14.0
2018/06/14,NAGALAND,TUENSANG,0.91,-,7.52,43.19074695,2018.0,Jun,14.0
2018/06/14,NAGALAND,WOKHA,2.75,-,19.21,37.65933312,2018.0,Jun,14.0
2018/06/14,NAGALAND,ZUNHEBOTO,1.28,-,9.5,41.82711457,2018.0,Jun,14.0
