date,state_name,districtname,average_soilmoisture_level_(at_15cm),average_soilmoisture_volume_(at_15cm),aggregate_soilmoisture_percentage_(at_15cm),volume_soilmoisture_percentage_(at_15cm),Year,Month,Day
2018/06/30,PONDICHERRY,MAHE,8.79,-,72.53,43.9218314,2018.0,Jun,30.0
2018/06/30,PONDICHERRY,PUDUCHERRY,0.06,-,0.5,30.88934458,2018.0,Jun,30.0
2018/06/30,PONDICHERRY,KARAIKAL,0.3,-,2.36,17.95358275,2018.0,Jun,30.0
2018/06/30,PONDICHERRY,YANAM,2.3,-,21.51,41.06103111,2018.0,Jun,30.0
2018/06/29,PONDICHERRY,MAHE,8.79,-,72.53,45.34621523,2018.0,Jun,29.0
2018/06/29,PONDICHERRY,PUDUCHERRY,0.07,-,0.51,31.9586967,2018.0,Jun,29.0
2018/06/29,PONDICHERRY,KARAIKAL,0.31,-,2.39,17.64654398,2018.0,Jun,29.0
2018/06/29,PONDICHERRY,YANAM,2.28,-,21.34,41.78278913,2018.0,Jun,29.0
2018/06/28,PONDICHERRY,MAHE,8.79,-,72.53,45.42913778,2018.0,Jun,28.0
2018/06/28,PONDICHERRY,PUDUCHERRY,0.08,-,0.64,34.07655115,2018.0,Jun,28.0
2018/06/28,PONDICHERRY,KARAIKAL,0.31,-,2.44,15.96554311,2018.0,Jun,28.0
2018/06/28,PONDICHERRY,YANAM,2.34,-,21.89,45.80297973,2018.0,Jun,28.0
2018/06/27,PONDICHERRY,MAHE,8.79,-,72.53,45.47059905,2018.0,Jun,27.0
2018/06/27,PONDICHERRY,PUDUCHERRY,0.06,-,0.49,32.72787163,2018.0,Jun,27.0
2018/06/27,PONDICHERRY,KARAIKAL,0.32,-,2.47,16.03693871,2018.0,Jun,27.0
2018/06/27,PONDICHERRY,YANAM,0.94,-,8.98,34.52720299,2018.0,Jun,27.0
2018/06/26,PONDICHERRY,MAHE,8.79,-,72.53,45.51206033,2018.0,Jun,26.0
2018/06/26,PONDICHERRY,PUDUCHERRY,0.06,-,0.49,26.94022659,2018.0,Jun,26.0
2018/06/26,PONDICHERRY,KARAIKAL,0.32,-,2.52,16.22749421,2018.0,Jun,26.0
2018/06/26,PONDICHERRY,YANAM,0.94,-,8.98,28.38299593,2018.0,Jun,26.0
2018/06/25,PONDICHERRY,MAHE,8.79,-,72.53,45.34621523,2018.0,Jun,25.0
2018/06/25,PONDICHERRY,PUDUCHERRY,0.06,-,0.52,26.57404579,2018.0,Jun,25.0
2018/06/25,PONDICHERRY,KARAIKAL,0.33,-,2.55,15.90528451,2018.0,Jun,25.0
2018/06/25,PONDICHERRY,YANAM,0.95,-,9.03,29.74663828,2018.0,Jun,25.0
2018/06/24,PONDICHERRY,MAHE,8.79,-,72.53,45.24621523,2018.0,Jun,24.0
2018/06/24,PONDICHERRY,PUDUCHERRY,0.06,-,0.52,20.88347338,2018.0,Jun,24.0
2018/06/24,PONDICHERRY,KARAIKAL,0.33,-,2.55,16.05912669,2018.0,Jun,24.0
2018/06/24,PONDICHERRY,YANAM,0.97,-,9.15,31.39816056,2018.0,Jun,24.0
2018/06/23,PONDICHERRY,MAHE,8.79,-,72.53,45.2876765,2018.0,Jun,23.0
2018/06/23,PONDICHERRY,PUDUCHERRY,0.07,-,0.53,19.94941914,2018.0,Jun,23.0
2018/06/23,PONDICHERRY,KARAIKAL,0.34,-,2.63,16.35352321,2018.0,Jun,23.0
2018/06/23,PONDICHERRY,YANAM,0.97,-,9.15,31.32473282,2018.0,Jun,23.0
2018/06/22,PONDICHERRY,MAHE,8.79,-,72.53,45.24621523,2018.0,Jun,22.0
2018/06/22,PONDICHERRY,PUDUCHERRY,0.07,-,0.53,19.80238576,2018.0,Jun,22.0
2018/06/22,PONDICHERRY,KARAIKAL,0.34,-,2.63,16.59214309,2018.0,Jun,22.0
2018/06/22,PONDICHERRY,YANAM,0.97,-,9.21,25.96847688,2018.0,Jun,22.0
2018/06/21,PONDICHERRY,MAHE,8.79,-,72.53,45.3876765,2018.0,Jun,21.0
2018/06/21,PONDICHERRY,PUDUCHERRY,0.07,-,0.55,20.13942714,2018.0,Jun,21.0
