date,state_name,districtname,average_soilmoisture_level_(at_15cm),average_soilmoisture_volume_(at_15cm),aggregate_soilmoisture_percentage_(at_15cm),volume_soilmoisture_percentage_(at_15cm),Year,Month,Day
2018/06/30,RAJASTHAN,GANGANAGAR,0.8,-,5.24,26.42703393,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,ALWAR,0.63,-,5.64,27.49561187,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,DHAULPUR,0.22,-,2.0,29.69056679,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,RAJSAMAND,0.77,-,4.78,28.38629011,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,BUNDI,1.08,-,6.26,35.50896062,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,JAISALMER,4.55,-,46.56,22.52706235,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,PALI,0.77,-,7.46,25.62800058,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,JHALAWAR,0.46,-,4.8,39.44812719,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,BANSWARA,0.75,-,5.1,37.11229495,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,BARAN,0.24,-,1.63,38.17825821,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,BHARATPUR,0.63,-,5.9,27.84321846,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,KARAULI,1.16,-,9.89,33.30839131,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,DAUSA,1.36,-,12.78,30.56776835,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,SAWAI MADHOPUR,0.4,-,3.74,33.91814775,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,DUNGARPUR,1.25,-,7.51,32.11461826,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,HANUMANGARH,1.4,-,13.25,25.39208452,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,JODHPUR,3.82,-,35.71,25.47713459,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,BHILWARA,0.54,-,3.79,30.10365971,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,NAGAUR,6.5,-,65.91,25.14181428,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,CHURU,7.38,-,75.66,23.14097896,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,TONK,0.25,-,1.9,28.70785765,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,UDAIPUR,0.61,-,3.78,28.85152776,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,CHITTAURGARH,0.02,-,0.11,33.24093965,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,KOTA,0.49,-,2.79,40.72713634,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,SIKAR,5.22,-,55.09,24.53724633,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,BARMER,3.3,-,33.97,20.62678849,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,JALOR,1.45,-,14.74,16.10829294,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,PRATAPGARH,0.43,-,2.85,37.36443217,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,JAIPUR,1.22,-,12.22,27.36725428,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,BIKANER,4.25,-,38.07,25.94209474,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,SIROHI,0.47,-,3.77,23.87750767,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,AJMER,0.6,-,5.25,29.27105818,2018.0,Jun,30.0
2018/06/30,RAJASTHAN,JHUNJHUNUN,5.36,-,58.26,22.86321229,2018.0,Jun,30.0
2018/06/29,RAJASTHAN,GANGANAGAR,0.51,-,3.45,24.50848764,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,ALWAR,0.99,-,8.04,29.58962976,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,DHAULPUR,0.29,-,2.34,31.178806,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,RAJSAMAND,2.03,-,12.38,32.29294154,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,BUNDI,1.55,-,9.56,38.40484463,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,JAISALMER,2.49,-,26.15,17.52210102,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,PALI,1.38,-,12.43,28.39525837,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,JHALAWAR,0.59,-,5.88,42.40810222,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,BANSWARA,1.08,-,7.36,39.89293639,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,BARAN,0.36,-,2.32,40.42534733,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,BHARATPUR,0.72,-,6.52,29.24779092,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,KARAULI,1.14,-,9.26,33.89084564,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,DAUSA,1.12,-,9.87,30.74635731,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,SAWAI MADHOPUR,0.33,-,3.03,34.93763649,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,DUNGARPUR,2.56,-,16.05,36.11555415,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,HANUMANGARH,2.2,-,18.43,28.57349943,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,JODHPUR,4.12,-,36.53,28.34528379,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,BHILWARA,1.67,-,11.72,33.80977143,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,NAGAUR,7.13,-,70.94,30.14117383,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,CHURU,7.39,-,75.21,26.89200998,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,TONK,0.9,-,6.25,31.69806569,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,UDAIPUR,2.03,-,12.23,32.24470668,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,CHITTAURGARH,0.85,-,5.71,36.49363273,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,KOTA,0.56,-,3.16,43.51414418,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,SIKAR,5.34,-,54.18,28.32432511,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,BARMER,1.86,-,19.1,18.65805714,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,JALOR,1.75,-,17.35,18.65153401,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,PRATAPGARH,0.78,-,4.99,39.81845845,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,JAIPUR,1.74,-,16.05,29.67864349,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,BIKANER,4.99,-,42.31,30.95524016,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,SIROHI,1.11,-,7.82,26.52135333,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,AJMER,1.32,-,9.96,32.02276971,2018.0,Jun,29.0
2018/06/29,RAJASTHAN,JHUNJHUNUN,5.05,-,54.31,26.42200719,2018.0,Jun,29.0
2018/06/28,RAJASTHAN,GANGANAGAR,0.07,-,0.51,18.5163811,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,ALWAR,1.64,-,12.03,31.71466603,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,DHAULPUR,1.29,-,8.88,34.40209721,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,RAJSAMAND,0.88,-,5.42,31.27480695,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,BUNDI,1.65,-,10.71,39.63815153,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,JAISALMER,1.66,-,17.59,13.23993642,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,PALI,1.18,-,10.55,27.74339126,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,JHALAWAR,0.58,-,5.87,43.3442665,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,BANSWARA,1.5,-,10.19,42.46830958,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,BARAN,0.77,-,4.79,43.27708682,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,BHARATPUR,2.06,-,15.2,32.90416,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,KARAULI,1.04,-,7.91,34.48343427,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,DAUSA,1.33,-,11.43,31.87962937,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,SAWAI MADHOPUR,0.8,-,5.98,37.63673995,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,DUNGARPUR,1.93,-,12.04,35.59798726,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,HANUMANGARH,1.21,-,11.57,23.23448452,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,JODHPUR,1.82,-,17.61,22.75667873,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,BHILWARA,1.25,-,8.71,33.04253811,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,NAGAUR,4.68,-,46.35,30.17890524,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,CHURU,5.69,-,58.8,26.8167865,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,TONK,1.84,-,12.4,33.88234317,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,UDAIPUR,2.84,-,17.01,33.76614941,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,CHITTAURGARH,1.05,-,6.93,37.27143197,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,KOTA,0.39,-,2.27,44.30248461,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,SIKAR,3.89,-,39.49,28.19222999,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,BARMER,0.22,-,2.25,8.155155264,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,JALOR,0.18,-,1.87,7.453888566,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,PRATAPGARH,1.38,-,8.17,41.28499161,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,JAIPUR,1.87,-,17.25,30.36344895,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,BIKANER,2.55,-,23.72,26.01617591,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,SIROHI,0.8,-,5.48,22.29560487,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,AJMER,1.17,-,8.98,31.50833239,2018.0,Jun,28.0
2018/06/28,RAJASTHAN,JHUNJHUNUN,2.94,-,31.25,27.85954151,2018.0,Jun,28.0
2018/06/27,RAJASTHAN,GANGANAGAR,0.03,-,0.24,15.56086129,2018.0,Jun,27.0
2018/06/27,RAJASTHAN,ALWAR,2.45,-,16.66,33.40005812,2018.0,Jun,27.0
2018/06/27,RAJASTHAN,DHAULPUR,2.14,-,14.63,36.90511186,2018.0,Jun,27.0
2018/06/27,RAJASTHAN,RAJSAMAND,0.07,-,0.42,24.22839327,2018.0,Jun,27.0
2018/06/27,RAJASTHAN,BUNDI,1.32,-,8.92,38.52201208,2018.0,Jun,27.0
2018/06/27,RAJASTHAN,JAISALMER,0.99,-,10.48,7.521370724,2018.0,Jun,27.0
2018/06/27,RAJASTHAN,PALI,0.38,-,3.7,20.58670757,2018.0,Jun,27.0
2018/06/27,RAJASTHAN,JHALAWAR,0.38,-,3.94,41.6758614,2018.0,Jun,27.0
2018/06/27,RAJASTHAN,BANSWARA,0.47,-,3.18,40.12330289,2018.0,Jun,27.0
2018/06/27,RAJASTHAN,BARAN,0.24,-,1.45,42.13388369,2018.0,Jun,27.0
