date,state_name,districtname,average_soilmoisture_level_(at_15cm),average_soilmoisture_volume_(at_15cm),aggregate_soilmoisture_percentage_(at_15cm),volume_soilmoisture_percentage_(at_15cm),Year,Month,Day
2018/06/30,UTTARAKHAND,HARDWAR,0.13,-,1.23,20.35426444,2018.0,Jun,30.0
2018/06/30,UTTARAKHAND,NAINITAL,1.68,-,12.56,33.58935311,2018.0,Jun,30.0
2018/06/30,UTTARAKHAND,ALMORA,0.31,-,4.01,29.0154293,2018.0,Jun,30.0
2018/06/30,UTTARAKHAND,PITHORAGARH,5.22,-,29.21,30.26486119,2018.0,Jun,30.0
2018/06/30,UTTARAKHAND,CHAMOLI,3.12,-,20.77,28.6961829,2018.0,Jun,30.0
2018/06/30,UTTARAKHAND,DEHRADUN,0.28,-,1.78,33.31380239,2018.0,Jun,30.0
2018/06/30,UTTARAKHAND,GARHWAL,0.52,-,5.3,27.78876076,2018.0,Jun,30.0
2018/06/30,UTTARAKHAND,UDHAM SINGH NAGAR,0.73,-,5.03,26.39056507,2018.0,Jun,30.0
2018/06/30,UTTARAKHAND,BAGESHWAR,1.89,-,16.31,30.3584439,2018.0,Jun,30.0
2018/06/30,UTTARAKHAND,RUDRAPRAYAG,2.19,-,15.44,28.54727222,2018.0,Jun,30.0
2018/06/30,UTTARAKHAND,UTTARKASHI,3.76,-,26.56,27.93169979,2018.0,Jun,30.0
2018/06/30,UTTARAKHAND,TEHRI GARHWAL,1.11,-,7.64,31.42231515,2018.0,Jun,30.0
2018/06/30,UTTARAKHAND,CHAMPAWAT,0.28,-,1.76,30.70472863,2018.0,Jun,30.0
2018/06/29,UTTARAKHAND,HARDWAR,0.1,-,0.91,19.48683088,2018.0,Jun,29.0
2018/06/29,UTTARAKHAND,NAINITAL,0.07,-,0.6,26.0541089,2018.0,Jun,29.0
2018/06/29,UTTARAKHAND,ALMORA,0.29,-,3.87,28.94417134,2018.0,Jun,29.0
2018/06/29,UTTARAKHAND,PITHORAGARH,5.25,-,29.46,30.29056277,2018.0,Jun,29.0
2018/06/29,UTTARAKHAND,CHAMOLI,3.0,-,20.06,29.06753988,2018.0,Jun,29.0
2018/06/29,UTTARAKHAND,DEHRADUN,0.36,-,2.28,34.15450811,2018.0,Jun,29.0
2018/06/29,UTTARAKHAND,GARHWAL,0.44,-,4.71,26.96495144,2018.0,Jun,29.0
2018/06/29,UTTARAKHAND,UDHAM SINGH NAGAR,0.41,-,2.98,21.55398487,2018.0,Jun,29.0
2018/06/29,UTTARAKHAND,BAGESHWAR,2.0,-,17.07,31.33141594,2018.0,Jun,29.0
2018/06/29,UTTARAKHAND,RUDRAPRAYAG,2.52,-,17.29,29.2077045,2018.0,Jun,29.0
2018/06/29,UTTARAKHAND,UTTARKASHI,3.77,-,26.69,28.36336725,2018.0,Jun,29.0
2018/06/29,UTTARAKHAND,TEHRI GARHWAL,1.28,-,8.58,32.71830118,2018.0,Jun,29.0
2018/06/29,UTTARAKHAND,CHAMPAWAT,0.01,-,0.07,29.09505931,2018.0,Jun,29.0
2018/06/28,UTTARAKHAND,HARDWAR,0.39,-,2.93,21.17996835,2018.0,Jun,28.0
