date,state_name,districtname,average_soilmoisture_level_(at_15cm),average_soilmoisture_volume_(at_15cm),aggregate_soilmoisture_percentage_(at_15cm),volume_soilmoisture_percentage_(at_15cm),Year,Month,Day
2020/01/31,ANDHRA PRADESH,PRAKASAM,0.0,1816.04,0.0,19.71491437,2020,Jan,31
2020/01/31,ANDHRA PRADESH,VIZIANAGARAM,0.0,805.46,0.0,28.0509567,2020,Jan,31
2020/01/31,ANDHRA PRADESH,WEST GODAVARI,0.0,901.5,0.0,22.44372679,2020,Jan,31
2020/01/31,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0.0,1452.48,0.0,21.14840169,2020,Jan,31
2020/01/31,ANDHRA PRADESH,ANANTAPUR,0.0,1731.85,0.0,17.21834439,2020,Jan,31
2020/01/31,ANDHRA PRADESH,KURNOOL,0.0,1805.4,0.0,19.47183744,2020,Jan,31
2020/01/31,ANDHRA PRADESH,KRISHNA,0.0,892.69,0.0,20.1452903,2020,Jan,31
2020/01/31,ANDHRA PRADESH,SRIKAKULAM,0.0,786.55,0.0,24.21610373,2020,Jan,31
2020/01/31,ANDHRA PRADESH,Y.S.R.,0.0,1329.8,0.0,16.76967938,2020,Jan,31
2020/01/31,ANDHRA PRADESH,CHITTOOR,0.0,1644.18,0.0,20.58725784,2020,Jan,31
2020/01/31,ANDHRA PRADESH,EAST GODAVARI,0.0,1153.9,0.0,20.60633146,2020,Jan,31
2020/01/31,ANDHRA PRADESH,GUNTUR,0.0,1122.47,0.0,18.94231236,2020,Jan,31
2020/01/31,ANDHRA PRADESH,VISAKHAPATNAM,0.0,1465.39,0.01,24.88763403,2020,Jan,31
2020/01/30,ANDHRA PRADESH,PRAKASAM,0.0,1824.26,0.0,19.8041702,2020,Jan,30
2020/01/30,ANDHRA PRADESH,VIZIANAGARAM,0.0,789.94,0.0,27.51038548,2020,Jan,30
2020/01/30,ANDHRA PRADESH,WEST GODAVARI,0.0,907.67,0.0,22.5973509,2020,Jan,30
2020/01/30,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0.0,1465.51,0.0,21.33805378,2020,Jan,30
2020/01/30,ANDHRA PRADESH,ANANTAPUR,0.0,1737.58,0.0,17.27534622,2020,Jan,30
2020/01/30,ANDHRA PRADESH,KURNOOL,0.0,1811.73,0.0,19.54014164,2020,Jan,30
2020/01/30,ANDHRA PRADESH,KRISHNA,0.0,896.21,0.0,20.22479363,2020,Jan,30
2020/01/30,ANDHRA PRADESH,SRIKAKULAM,0.0,790.94,0.0,24.35153175,2020,Jan,30
2020/01/30,ANDHRA PRADESH,Y.S.R.,0.0,1336.76,0.0,16.85748884,2020,Jan,30
