date,state_name,districtname,average_soilmoisture_level_(at_15cm),average_soilmoisture_volume_(at_15cm),aggregate_soilmoisture_percentage_(at_15cm),volume_soilmoisture_percentage_(at_15cm),Year,Month,Day
2020/01/31,ASSAM,LAKHIMPUR,0.03,303.86,0.17,20.61997255,2020,Jan,31
2020/01/31,ASSAM,KARIMGANJ,0.0,173.27,0.0,18.2031928,2020,Jan,31
2020/01/31,ASSAM,SONITPUR,0.0,552.39,0.0,20.81482518,2020,Jan,31
2020/01/31,ASSAM,HAILAKANDI,0.0,141.43,0.0,20.84690648,2020,Jan,31
2020/01/31,ASSAM,KOKRAJHAR,0.0,194.74,0.0,12.01809606,2020,Jan,31
2020/01/31,ASSAM,TINSUKIA,0.0,398.24,0.0,20.52464217,2020,Jan,31
2020/01/31,ASSAM,KAMRUP METROPOLITAN,0.0,161.72,0.0,26.25928457,2020,Jan,31
2020/01/31,ASSAM,CHIRANG,0.0,117.02,0.0,13.24769017,2020,Jan,31
2020/01/31,ASSAM,JORHAT,0.0,330.17,0.0,21.57207135,2020,Jan,31
2020/01/31,ASSAM,UDALGURI,0.0,169.61,0.0,16.28318728,2020,Jan,31
2020/01/31,ASSAM,KARBI ANGLONG,0.0,1548.58,0.0,29.13852989,2020,Jan,31
2020/01/31,ASSAM,GOLAGHAT,0.0,348.86,0.0,20.315398,2020,Jan,31
2020/01/31,ASSAM,NAGAON,0.0,443.79,0.0,21.78237119,2020,Jan,31
2020/01/31,ASSAM,NALBARI,0.0,90.92,0.0,17.27375692,2020,Jan,31
2020/01/31,ASSAM,SIVASAGAR,0.0,328.8,0.0,24.43480365,2020,Jan,31
2020/01/31,ASSAM,DHEMAJI,0.03,253.61,0.3,19.03003592,2020,Jan,31
2020/01/31,ASSAM,KAMRUP,0.0,284.3,0.0,19.18004634,2020,Jan,31
2020/01/31,ASSAM,DIMA HASAO,0.03,589.43,0.19,23.5803177,2020,Jan,31
2020/01/31,ASSAM,DARRANG,0.0,111.65,0.0,13.57293917,2020,Jan,31
2020/01/31,ASSAM,DIBRUGARH,0.0,325.74,0.0,18.77038616,2020,Jan,31
2020/01/31,ASSAM,BARPETA,0.0,186.48,0.0,15.82010281,2020,Jan,31
2020/01/31,ASSAM,DHUBRI,0.0,130.08,0.0,11.10353852,2020,Jan,31
2020/01/31,ASSAM,BONGAIGAON,0.0,73.11,0.0,13.61838496,2020,Jan,31
2020/01/31,ASSAM,MARIGAON,0.0,143.46,0.0,18.19217709,2020,Jan,31
2020/01/31,ASSAM,GOALPARA,0.0,183.16,0.0,17.85988755,2020,Jan,31
2020/01/31,ASSAM,BAKSA,0.0,187.84,0.0,15.52180014,2020,Jan,31
2020/01/31,ASSAM,CACHAR,0.0,373.05,0.0,19.35143966,2020,Jan,31
2020/01/30,ASSAM,LAKHIMPUR,0.03,306.67,0.19,20.81076237,2020,Jan,30
2020/01/30,ASSAM,KARIMGANJ,0.0,174.83,0.0,18.36681419,2020,Jan,30
2020/01/30,ASSAM,SONITPUR,0.11,567.36,0.68,21.37896773,2020,Jan,30
2020/01/30,ASSAM,HAILAKANDI,0.0,142.4,0.0,20.9899072,2020,Jan,30
2020/01/30,ASSAM,KOKRAJHAR,0.0,195.41,0.0,12.05965025,2020,Jan,30
2020/01/30,ASSAM,TINSUKIA,0.0,402.91,0.03,20.76537327,2020,Jan,30
2020/01/30,ASSAM,KAMRUP METROPOLITAN,0.0,163.49,0.0,26.54594567,2020,Jan,30
2020/01/30,ASSAM,CHIRANG,0.0,117.5,0.0,13.302027,2020,Jan,30
2020/01/30,ASSAM,JORHAT,0.01,336.09,0.05,21.9592338,2020,Jan,30
2020/01/30,ASSAM,UDALGURI,0.0,170.43,0.0,16.36262788,2020,Jan,30
2020/01/30,ASSAM,KARBI ANGLONG,0.01,1570.05,0.07,29.54254364,2020,Jan,30
2020/01/30,ASSAM,GOLAGHAT,0.0,353.46,0.0,20.5832217,2020,Jan,30
2020/01/30,ASSAM,NAGAON,0.0,448.96,0.01,22.03586137,2020,Jan,30
2020/01/30,ASSAM,NALBARI,0.0,92.36,0.0,17.54703625,2020,Jan,30
2020/01/30,ASSAM,SIVASAGAR,0.26,342.39,1.72,25.44494642,2020,Jan,30
2020/01/30,ASSAM,DHEMAJI,0.03,255.65,0.31,19.18343807,2020,Jan,30
2020/01/30,ASSAM,KAMRUP,0.0,287.1,0.0,19.36907165,2020,Jan,30
2020/01/30,ASSAM,DIMA HASAO,0.03,591.88,0.2,23.67853945,2020,Jan,30
2020/01/30,ASSAM,DARRANG,0.0,112.93,0.0,13.72957229,2020,Jan,30
2020/01/30,ASSAM,DIBRUGARH,0.0,328.86,0.0,18.95058022,2020,Jan,30
2020/01/30,ASSAM,BARPETA,0.0,189.15,0.0,16.04602992,2020,Jan,30
2020/01/30,ASSAM,DHUBRI,0.0,131.48,0.0,11.22375494,2020,Jan,30
2020/01/30,ASSAM,BONGAIGAON,0.0,73.74,0.0,13.7348087,2020,Jan,30
2020/01/30,ASSAM,MARIGAON,0.0,144.7,0.0,18.34961768,2020,Jan,30
2020/01/30,ASSAM,GOALPARA,0.0,184.54,0.0,17.99417508,2020,Jan,30
2020/01/30,ASSAM,BAKSA,0.01,189.31,0.05,15.64398445,2020,Jan,30
2020/01/30,ASSAM,CACHAR,0.0,375.56,0.0,19.48146524,2020,Jan,30
2020/01/29,ASSAM,LAKHIMPUR,0.01,292.97,0.09,19.88091406,2020,Jan,29
2020/01/29,ASSAM,KARIMGANJ,0.0,176.24,0.0,18.5149062,2020,Jan,29
2020/01/29,ASSAM,SONITPUR,0.0,429.36,0.0,16.17909217,2020,Jan,29
2020/01/29,ASSAM,HAILAKANDI,0.0,143.27,0.0,21.11856143,2020,Jan,29
2020/01/29,ASSAM,KOKRAJHAR,0.0,196.32,0.0,12.11582203,2020,Jan,29
2020/01/29,ASSAM,TINSUKIA,0.0,396.22,0.0,20.42033427,2020,Jan,29
2020/01/29,ASSAM,KAMRUP METROPOLITAN,0.0,164.5,0.0,26.70988948,2020,Jan,29
2020/01/29,ASSAM,CHIRANG,0.0,117.73,0.0,13.32882776,2020,Jan,29
2020/01/29,ASSAM,JORHAT,0.0,292.63,0.0,19.11965944,2020,Jan,29
2020/01/29,ASSAM,UDALGURI,0.0,160.39,0.0,15.39781589,2020,Jan,29
2020/01/29,ASSAM,KARBI ANGLONG,0.0,1501.64,0.0,28.25525917,2020,Jan,29
2020/01/29,ASSAM,GOLAGHAT,0.0,339.3,0.0,19.75821221,2020,Jan,29
2020/01/29,ASSAM,NAGAON,0.0,432.31,0.0,21.21878437,2020,Jan,29
2020/01/29,ASSAM,NALBARI,0.0,93.35,0.0,17.73617622,2020,Jan,29
2020/01/29,ASSAM,SIVASAGAR,0.0,317.12,0.0,23.56703085,2020,Jan,29
2020/01/29,ASSAM,DHEMAJI,0.03,257.57,0.32,19.32720413,2020,Jan,29
2020/01/29,ASSAM,KAMRUP,0.0,289.28,0.0,19.51653113,2020,Jan,29
