date,state_name,districtname,average_soilmoisture_level_(at_15cm),average_soilmoisture_volume_(at_15cm),aggregate_soilmoisture_percentage_(at_15cm),volume_soilmoisture_percentage_(at_15cm),Year,Month,Day
2020/01/31,BIHAR,BEGUSARAI,0.0,132.41,0.0,13.41816197,2020,Jan,31
2020/01/31,BIHAR,KHAGARIA,0.0,91.35,0.0,12.03744283,2020,Jan,31
2020/01/31,BIHAR,GAYA,0.0,570.45,0.0,22.56785612,2020,Jan,31
2020/01/31,BIHAR,SHEOHAR,0.0,26.65,0.0,18.1243464,2020,Jan,31
2020/01/31,BIHAR,DARBHANGA,0.0,192.93,0.0,16.54643501,2020,Jan,31
2020/01/31,BIHAR,PURNIA,0.06,213.26,0.64,12.90697052,2020,Jan,31
2020/01/31,BIHAR,PASHCHIM CHAMPARAN,0.38,550.32,3.82,20.52957523,2020,Jan,31
2020/01/31,BIHAR,BANKA,0.0,273.17,0.0,17.30008491,2020,Jan,31
2020/01/31,BIHAR,LAKHISARAI,0.0,132.7,0.0,20.57857386,2020,Jan,31
2020/01/31,BIHAR,MADHEPURA,0.0,109.19,0.01,11.66871251,2020,Jan,31
2020/01/31,BIHAR,VAISHALI,0.0,194.2,0.0,19.00808149,2020,Jan,31
2020/01/31,BIHAR,SITAMARHI,0.02,266.33,0.18,22.39123345,2020,Jan,31
2020/01/31,BIHAR,SAHARSA,0.0,105.57,0.0,12.27898882,2020,Jan,31
2020/01/31,BIHAR,PURBA CHAMPARAN,0.0,404.45,0.0,19.91603472,2020,Jan,31
2020/01/31,BIHAR,MUZAFFARPUR,0.0,255.64,0.0,15.75069871,2020,Jan,31
2020/01/31,BIHAR,SAMASTIPUR,0.0,243.99,0.0,16.49496107,2020,Jan,31
2020/01/31,BIHAR,SUPAUL,0.41,122.16,4.24,9.987483965,2020,Jan,31
2020/01/31,BIHAR,NALANDA,0.09,269.66,0.66,22.68089622,2020,Jan,31
2020/01/31,BIHAR,BHAGALPUR,0.01,193.13,0.07,14.90886297,2020,Jan,31
2020/01/31,BIHAR,BUXAR,0.0,148.48,0.0,17.06001839,2020,Jan,31
2020/01/31,BIHAR,JEHANABAD,0.0,119.25,0.0,25.16012339,2020,Jan,31
2020/01/31,BIHAR,MADHUBANI,0.01,237.17,0.13,13.51949073,2020,Jan,31
2020/01/31,BIHAR,MUNGER,0.0,114.33,0.0,15.68446443,2020,Jan,31
2020/01/31,BIHAR,GOPALGANJ,0.0,194.23,0.0,18.67223976,2020,Jan,31
2020/01/31,BIHAR,SIWAN,0.0,171.18,0.0,15.09895542,2020,Jan,31
2020/01/31,BIHAR,KAIMUR (BHABUA),0.0,336.98,0.0,19.76638802,2020,Jan,31
2020/01/31,BIHAR,KISHANGANJ,0.09,128.85,0.62,13.06665152,2020,Jan,31
2020/01/31,BIHAR,JAMUI,0.0,282.77,0.0,18.21633626,2020,Jan,31
2020/01/31,BIHAR,SHEIKHPURA,0.0,91.14,0.0,28.01076522,2020,Jan,31
2020/01/31,BIHAR,NAWADA,0.0,329.39,0.0,26.05809975,2020,Jan,31
2020/01/31,BIHAR,ARWAL,0.0,85.32,0.0,25.17498179,2020,Jan,31
2020/01/31,BIHAR,BHOJPUR,0.0,212.0,0.0,17.54793442,2020,Jan,31
2020/01/31,BIHAR,ROHTAS,0.0,382.95,0.0,19.45996131,2020,Jan,31
2020/01/31,BIHAR,SARAN (CHHAPRA),0.0,201.36,0.0,14.94953331,2020,Jan,31
2020/01/31,BIHAR,KATIHAR,0.0,179.59,0.0,11.62151673,2020,Jan,31
2020/01/31,BIHAR,AURANGABAD,0.0,390.38,0.0,23.38649219,2020,Jan,31
2020/01/31,BIHAR,PATNA,0.0,354.2,0.0,21.69681644,2020,Jan,31
2020/01/31,BIHAR,ARARIA,0.0,184.25,0.01,12.8731969,2020,Jan,31
2020/01/30,BIHAR,BEGUSARAI,0.0,133.26,0.0,13.50422258,2020,Jan,30
2020/01/30,BIHAR,KHAGARIA,0.0,91.72,0.0,12.08548458,2020,Jan,30
2020/01/30,BIHAR,GAYA,0.0,573.84,0.0,22.7018365,2020,Jan,30
2020/01/30,BIHAR,SHEOHAR,0.0,27.01,0.0,18.37093513,2020,Jan,30
2020/01/30,BIHAR,DARBHANGA,0.0,194.84,0.0,16.71041433,2020,Jan,30
2020/01/30,BIHAR,PURNIA,0.06,214.42,0.65,12.97710916,2020,Jan,30
2020/01/30,BIHAR,PASHCHIM CHAMPARAN,0.39,557.79,3.9,20.80827495,2020,Jan,30
2020/01/30,BIHAR,BANKA,0.0,274.3,0.0,17.37171443,2020,Jan,30
2020/01/30,BIHAR,LAKHISARAI,0.0,133.25,0.0,20.66319839,2020,Jan,30
2020/01/30,BIHAR,MADHEPURA,0.0,109.93,0.01,11.74740251,2020,Jan,30
2020/01/30,BIHAR,VAISHALI,0.0,195.87,0.0,19.17181624,2020,Jan,30
2020/01/30,BIHAR,SITAMARHI,0.02,269.39,0.18,22.64894965,2020,Jan,30
2020/01/30,BIHAR,SAHARSA,0.0,106.46,0.0,12.38250447,2020,Jan,30
2020/01/30,BIHAR,PURBA CHAMPARAN,0.0,410.56,0.0,20.21702842,2020,Jan,30
2020/01/30,BIHAR,MUZAFFARPUR,0.0,258.26,0.0,15.91228613,2020,Jan,30
2020/01/30,BIHAR,SAMASTIPUR,0.0,246.36,0.0,16.65557435,2020,Jan,30
2020/01/30,BIHAR,SUPAUL,0.41,123.13,4.27,10.06677887,2020,Jan,30
2020/01/30,BIHAR,NALANDA,0.09,271.13,0.66,22.80495428,2020,Jan,30
2020/01/30,BIHAR,BHAGALPUR,0.01,193.94,0.07,14.97195149,2020,Jan,30
