date,state_name,districtname,average_soilmoisture_level_(at_15cm),average_soilmoisture_volume_(at_15cm),aggregate_soilmoisture_percentage_(at_15cm),volume_soilmoisture_percentage_(at_15cm),Year,Month,Day
2020/01/31,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.0,27.38,0.0,10.84787828,2020,Jan,31
2020/01/30,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.0,27.46,0.0,10.87949256,2020,Jan,30
2020/01/29,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.0,27.52,0.0,10.90397134,2020,Jan,29
2020/01/28,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.0,27.67,0.0,10.96361213,2020,Jan,28
2020/01/27,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.0,27.63,0.0,10.9463056,2020,Jan,27
2020/01/26,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.0,27.72,0.0,10.98142361,2020,Jan,26
2020/01/25,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.0,27.84,0.0,11.02962691,2020,Jan,25
2020/01/24,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.0,27.92,0.0,11.0619763,2020,Jan,24
2020/01/23,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.0,28.05,0.0,11.11248239,2020,Jan,23
2020/01/22,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.0,28.1,0.0,11.1334093,2020,Jan,22
2020/01/21,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.0,28.19,0.0,11.16992223,2020,Jan,21
2020/01/20,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.0,28.36,0.0,11.23775009,2020,Jan,20
2020/01/19,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.0,28.45,0.0,11.27253964,2020,Jan,19
2020/01/18,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.0,28.6,0.0,11.3328267,2020,Jan,18
2020/01/17,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.0,28.83,0.0,11.42389486,2020,Jan,17
2020/01/16,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.0,28.98,0.0,11.48349795,2020,Jan,16
2020/01/15,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.0,29.14,0.0,11.54755716,2020,Jan,15
2020/01/14,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.0,29.19,0.0,11.56712493,2020,Jan,14
2020/01/13,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.0,29.35,0.0,11.62809335,2020,Jan,13
2020/01/12,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.0,29.52,0.0,11.69546594,2020,Jan,12
2020/01/11,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.0,29.72,0.0,11.7751628,2020,Jan,11
2020/01/10,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.0,29.9,0.0,11.84503298,2020,Jan,10
2020/01/09,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.0,30.12,0.0,11.93233451,2020,Jan,9
2020/01/08,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.0,30.34,0.0,12.01996049,2020,Jan,8
2020/01/07,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.0,30.6,0.0,12.1227234,2020,Jan,7
2020/01/06,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.06,26.32,0.38,10.43004774,2020,Jan,6
2020/01/05,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.06,26.78,0.42,10.61133739,2020,Jan,5
2020/01/04,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.07,27.21,0.43,10.7823722,2020,Jan,4
2020/01/03,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.07,27.44,0.43,10.87402878,2020,Jan,3
2020/01/02,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.07,27.85,0.47,11.03516517,2020,Jan,2
2020/01/01,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.07,28.35,0.47,11.23096051,2020,Jan,1
2020/02/29,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.0,26.47,0.0,10.48709542,2020,Feb,29
2020/02/28,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.0,26.47,0.0,10.48709542,2020,Feb,28
2020/02/27,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.0,26.48,0.0,10.49050458,2020,Feb,27
2020/02/26,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.0,26.49,0.0,10.49392689,2020,Feb,26
2020/02/25,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.0,26.49,0.0,10.49560767,2020,Feb,25
2020/02/24,DADRA AND NAGAR HAV,DADRA & NAGAR HAVELI,0.0,26.51,0.0,10.50437493,2020,Feb,24
