date,state_name,districtname,average_soilmoisture_level_(at_15cm),average_soilmoisture_volume_(at_15cm),aggregate_soilmoisture_percentage_(at_15cm),volume_soilmoisture_percentage_(at_15cm),Year,Month,Day
2020/01/31,DAMAN & DIU,DIU,0.0,0.53,0.0,2.927455173,2020,Jan,31
2020/01/31,DAMAN & DIU,DAMAN,0.0,2.66,0.0,7.064920925,2020,Jan,31
2020/01/30,DAMAN & DIU,DIU,0.0,0.54,0.0,2.987061987,2020,Jan,30
2020/01/30,DAMAN & DIU,DAMAN,0.0,2.69,0.0,7.150827218,2020,Jan,30
2020/01/29,DAMAN & DIU,DIU,0.0,0.56,0.0,3.06109306,2020,Jan,29
2020/01/29,DAMAN & DIU,DAMAN,0.0,2.71,0.0,7.220837169,2020,Jan,29
2020/01/28,DAMAN & DIU,DIU,0.0,0.58,0.0,3.195680437,2020,Jan,28
2020/01/28,DAMAN & DIU,DAMAN,0.0,5.22,0.0,13.89127979,2020,Jan,28
2020/01/27,DAMAN & DIU,DIU,0.0,0.57,0.0,3.135124133,2020,Jan,27
2020/01/27,DAMAN & DIU,DAMAN,0.0,2.75,0.0,7.302586177,2020,Jan,27
2020/01/26,DAMAN & DIU,DIU,0.0,0.58,0.0,3.180260062,2020,Jan,26
2020/01/26,DAMAN & DIU,DAMAN,0.0,2.77,0.0,7.372596129,2020,Jan,26
2020/01/25,DAMAN & DIU,DIU,0.0,0.6,0.0,3.285002805,2020,Jan,25
2020/01/25,DAMAN & DIU,DAMAN,0.0,2.81,0.0,7.464569262,2020,Jan,25
2020/01/24,DAMAN & DIU,DIU,0.0,0.61,0.0,3.359033878,2020,Jan,24
2020/01/24,DAMAN & DIU,DAMAN,0.0,2.83,0.0,7.518288247,2020,Jan,24
2020/01/23,DAMAN & DIU,DIU,0.0,0.63,0.0,3.433064952,2020,Jan,23
2020/01/23,DAMAN & DIU,DAMAN,0.0,2.87,0.0,7.632967924,2020,Jan,23
2020/01/22,DAMAN & DIU,DIU,0.0,0.64,0.0,3.492671765,2020,Jan,22
