date,state_name,districtname,average_soilmoisture_level_(at_15cm),average_soilmoisture_volume_(at_15cm),aggregate_soilmoisture_percentage_(at_15cm),volume_soilmoisture_percentage_(at_15cm),Year,Month,Day
2020/01/31,GUJARAT,GANDHINAGAR,0.0,107.46,0.02,9.870921853,2020,Jan,31
2020/01/31,GUJARAT,NARMADA,0.0,290.58,0.0,20.17219742,2020,Jan,31
2020/01/31,GUJARAT,JAMNAGAR,0.05,700.27,0.33,12.6006237,2020,Jan,31
2020/01/31,GUJARAT,VADODARA,0.0,654.24,0.0,17.07077373,2020,Jan,31
2020/01/31,GUJARAT,NAVSARI,0.0,189.79,0.0,16.69009849,2020,Jan,31
2020/01/31,GUJARAT,SURENDRANAGAR,0.01,611.86,0.07,11.43380639,2020,Jan,31
2020/01/31,GUJARAT,BHARUCH,0.0,407.56,0.0,15.13436521,2020,Jan,31
2020/01/31,GUJARAT,VALSAD,0.0,204.06,0.0,13.3042656,2020,Jan,31
2020/01/31,GUJARAT,AMRELI,0.0,713.27,0.0,17.66776976,2020,Jan,31
2020/01/31,GUJARAT,ANAND,0.0,156.42,0.0,10.52174537,2020,Jan,31
2020/01/31,GUJARAT,BHAVNAGAR,0.0,656.19,0.0,15.36413874,2020,Jan,31
2020/01/31,GUJARAT,KHEDA,0.0,228.05,0.0,11.20079186,2020,Jan,31
2020/01/31,GUJARAT,PATAN,0.0,246.64,0.0,8.572041568,2020,Jan,31
2020/01/31,GUJARAT,THE DANGS,0.0,97.17,0.0,10.78512364,2020,Jan,31
2020/01/31,GUJARAT,TAPI,0.0,229.5,0.0,14.25057083,2020,Jan,31
2020/01/31,GUJARAT,PANCH MAHALS,0.0,387.19,0.0,14.34416478,2020,Jan,31
2020/01/31,GUJARAT,SURAT,0.0,334.94,0.0,15.1461571,2020,Jan,31
2020/01/31,GUJARAT,SABAR KANTHA,0.0,521.5,0.0,13.78765338,2020,Jan,31
2020/01/31,GUJARAT,MAHESANA,0.0,231.32,0.0,10.28872346,2020,Jan,31
2020/01/31,GUJARAT,BANAS KANTHA,0.0,523.42,0.0,9.642326417,2020,Jan,31
2020/01/31,GUJARAT,DOHAD,0.0,311.02,0.0,16.97739205,2020,Jan,31
2020/01/31,GUJARAT,AHMADABAD,0.05,474.65,0.39,11.61771555,2020,Jan,31
2020/01/31,GUJARAT,PORBANDAR,0.0,182.02,0.0,15.59517,2020,Jan,31
2020/01/31,GUJARAT,JUNAGADH,0.0,800.3,0.0,18.94155068,2020,Jan,31
2020/01/31,GUJARAT,KACHCHH,0.05,966.72,0.29,4.505176744,2020,Jan,31
2020/01/31,GUJARAT,RAJKOT,0.0,1014.84,0.0,17.77819755,2020,Jan,31
2020/01/30,GUJARAT,GANDHINAGAR,0.0,107.72,0.02,9.895598799,2020,Jan,30
2020/01/30,GUJARAT,NARMADA,0.0,291.26,0.0,20.2194076,2020,Jan,30
2020/01/30,GUJARAT,JAMNAGAR,0.05,703.56,0.33,12.65987161,2020,Jan,30
2020/01/30,GUJARAT,VADODARA,0.0,655.85,0.0,17.11298035,2020,Jan,30
2020/01/30,GUJARAT,NAVSARI,0.0,190.29,0.0,16.73429729,2020,Jan,30
2020/01/30,GUJARAT,SURENDRANAGAR,0.01,614.94,0.07,11.49131329,2020,Jan,30
2020/01/30,GUJARAT,BHARUCH,0.0,409.6,0.0,15.21017949,2020,Jan,30
2020/01/30,GUJARAT,VALSAD,0.0,204.54,0.0,13.33525766,2020,Jan,30
