date,state_name,districtname,average_soilmoisture_level_(at_15cm),average_soilmoisture_volume_(at_15cm),aggregate_soilmoisture_percentage_(at_15cm),volume_soilmoisture_percentage_(at_15cm),Year,Month,Day
2020/01/31,MEGHALAYA,WEST KHASI HILLS,0.0,707.88,0.0,26.5701187,2020,Jan,31
2020/01/31,MEGHALAYA,JAINTIA HILLS,0.0,584.03,0.0,30.18414582,2020,Jan,31
2020/01/31,MEGHALAYA,RI BHOI,0.0,384.75,0.0,31.18159913,2020,Jan,31
2020/01/31,MEGHALAYA,EAST GARO HILLS,0.0,368.56,0.0,24.66837466,2020,Jan,31
2020/01/31,MEGHALAYA,WEST GARO HILLS,0.0,431.65,0.0,25.31272044,2020,Jan,31
2020/01/31,MEGHALAYA,SOUTH GARO HILLS,0.0,227.06,0.0,23.17831865,2020,Jan,31
2020/01/31,MEGHALAYA,EAST KHASI HILLS,0.0,400.19,0.0,27.99984134,2020,Jan,31
2020/01/30,MEGHALAYA,WEST KHASI HILLS,0.0,710.42,0.0,26.66560565,2020,Jan,30
2020/01/30,MEGHALAYA,JAINTIA HILLS,0.0,586.87,0.0,30.33082067,2020,Jan,30
2020/01/30,MEGHALAYA,RI BHOI,0.0,386.72,0.0,31.34145909,2020,Jan,30
2020/01/30,MEGHALAYA,EAST GARO HILLS,0.0,370.09,0.0,24.77080456,2020,Jan,30
2020/01/30,MEGHALAYA,WEST GARO HILLS,0.0,433.12,0.0,25.39851838,2020,Jan,30
2020/01/30,MEGHALAYA,SOUTH GARO HILLS,0.0,227.88,0.0,23.26190826,2020,Jan,30
2020/01/30,MEGHALAYA,EAST KHASI HILLS,0.0,402.23,0.0,28.14242831,2020,Jan,30
2020/01/29,MEGHALAYA,WEST KHASI HILLS,0.0,712.88,0.0,26.75781675,2020,Jan,29
2020/01/29,MEGHALAYA,JAINTIA HILLS,0.0,589.01,0.0,30.44135525,2020,Jan,29
2020/01/29,MEGHALAYA,RI BHOI,0.0,388.11,0.0,31.45388454,2020,Jan,29
2020/01/29,MEGHALAYA,EAST GARO HILLS,0.0,371.5,0.0,24.86532991,2020,Jan,29
2020/01/29,MEGHALAYA,WEST GARO HILLS,0.0,434.66,0.0,25.48904841,2020,Jan,29
2020/01/29,MEGHALAYA,SOUTH GARO HILLS,0.0,228.77,0.0,23.35273631,2020,Jan,29
2020/01/29,MEGHALAYA,EAST KHASI HILLS,0.0,404.36,0.0,28.29108647,2020,Jan,29
2020/01/28,MEGHALAYA,WEST KHASI HILLS,0.0,702.24,0.0,26.35842836,2020,Jan,28
2020/01/28,MEGHALAYA,JAINTIA HILLS,0.0,583.39,0.0,30.15116115,2020,Jan,28
2020/01/28,MEGHALAYA,RI BHOI,0.0,396.37,0.0,32.12350149,2020,Jan,28
2020/01/28,MEGHALAYA,EAST GARO HILLS,0.0,373.02,0.0,24.96684249,2020,Jan,28
2020/01/28,MEGHALAYA,WEST GARO HILLS,0.0,436.47,0.0,25.59506336,2020,Jan,28
2020/01/28,MEGHALAYA,SOUTH GARO HILLS,0.0,227.68,0.0,23.24072477,2020,Jan,28
2020/01/28,MEGHALAYA,EAST KHASI HILLS,0.0,397.03,0.0,27.77862595,2020,Jan,28
2020/01/27,MEGHALAYA,WEST KHASI HILLS,0.0,700.34,0.0,26.28727782,2020,Jan,27
2020/01/27,MEGHALAYA,JAINTIA HILLS,0.0,585.46,0.0,30.25790099,2020,Jan,27
2020/01/27,MEGHALAYA,RI BHOI,0.0,393.49,0.0,31.89002206,2020,Jan,27
2020/01/27,MEGHALAYA,EAST GARO HILLS,0.0,371.35,0.0,24.85527045,2020,Jan,27
2020/01/27,MEGHALAYA,WEST GARO HILLS,0.0,436.16,0.0,25.57721667,2020,Jan,27
2020/01/27,MEGHALAYA,SOUTH GARO HILLS,0.0,226.09,0.0,23.0790325,2020,Jan,27
2020/01/27,MEGHALAYA,EAST KHASI HILLS,0.0,400.37,0.0,28.01190628,2020,Jan,27
2020/01/26,MEGHALAYA,WEST KHASI HILLS,0.0,703.38,0.0,26.40138166,2020,Jan,26
2020/01/26,MEGHALAYA,JAINTIA HILLS,0.0,588.67,0.0,30.42374913,2020,Jan,26
2020/01/26,MEGHALAYA,RI BHOI,0.0,395.52,0.0,32.05423341,2020,Jan,26
2020/01/26,MEGHALAYA,EAST GARO HILLS,0.0,373.05,0.0,24.96900578,2020,Jan,26
2020/01/26,MEGHALAYA,WEST GARO HILLS,0.0,437.69,0.0,25.66665208,2020,Jan,26
2020/01/26,MEGHALAYA,SOUTH GARO HILLS,0.0,226.93,0.0,23.16410588,2020,Jan,26
2020/01/26,MEGHALAYA,EAST KHASI HILLS,0.0,403.38,0.0,28.22283178,2020,Jan,26
2020/01/25,MEGHALAYA,WEST KHASI HILLS,0.0,706.08,0.0,26.50262363,2020,Jan,25
2020/01/25,MEGHALAYA,JAINTIA HILLS,0.0,591.3,0.0,30.56002204,2020,Jan,25
2020/01/25,MEGHALAYA,RI BHOI,0.0,398.41,0.0,32.28891046,2020,Jan,25
2020/01/25,MEGHALAYA,EAST GARO HILLS,0.0,373.26,0.0,24.98292479,2020,Jan,25
2020/01/25,MEGHALAYA,WEST GARO HILLS,0.0,438.4,0.0,25.70862597,2020,Jan,25
2020/01/25,MEGHALAYA,SOUTH GARO HILLS,0.0,226.88,0.0,23.15993342,2020,Jan,25
2020/01/25,MEGHALAYA,EAST KHASI HILLS,0.0,406.36,0.0,28.43129469,2020,Jan,25
2020/01/24,MEGHALAYA,WEST KHASI HILLS,0.0,709.18,0.0,26.61904682,2020,Jan,24
2020/01/24,MEGHALAYA,JAINTIA HILLS,0.0,593.65,0.0,30.6813245,2020,Jan,24
2020/01/24,MEGHALAYA,RI BHOI,0.0,401.02,0.0,32.49992008,2020,Jan,24
2020/01/24,MEGHALAYA,EAST GARO HILLS,0.0,374.79,0.0,25.08516468,2020,Jan,24
2020/01/24,MEGHALAYA,WEST GARO HILLS,0.0,439.83,0.0,25.7922803,2020,Jan,24
2020/01/24,MEGHALAYA,SOUTH GARO HILLS,0.0,227.77,0.0,23.25041023,2020,Jan,24
2020/01/24,MEGHALAYA,EAST KHASI HILLS,0.0,408.88,0.0,28.6076177,2020,Jan,24
2020/01/23,MEGHALAYA,WEST KHASI HILLS,0.0,711.77,0.0,26.71632526,2020,Jan,23
2020/01/23,MEGHALAYA,JAINTIA HILLS,0.0,597.46,0.0,30.87833816,2020,Jan,23
2020/01/23,MEGHALAYA,RI BHOI,0.0,403.42,0.0,32.694498,2020,Jan,23
2020/01/23,MEGHALAYA,EAST GARO HILLS,0.0,376.25,0.0,25.18282596,2020,Jan,23
2020/01/23,MEGHALAYA,WEST GARO HILLS,0.0,441.33,0.0,25.88043492,2020,Jan,23
2020/01/23,MEGHALAYA,SOUTH GARO HILLS,0.0,228.53,0.0,23.32829068,2020,Jan,23
2020/01/23,MEGHALAYA,EAST KHASI HILLS,0.0,412.19,0.0,28.83930686,2020,Jan,23
2020/01/22,MEGHALAYA,WEST KHASI HILLS,0.0,717.45,0.0,26.92962855,2020,Jan,22
2020/01/22,MEGHALAYA,JAINTIA HILLS,0.0,607.14,0.0,31.37829431,2020,Jan,22
2020/01/22,MEGHALAYA,RI BHOI,0.0,409.09,0.0,33.15431925,2020,Jan,22
2020/01/22,MEGHALAYA,EAST GARO HILLS,0.0,382.16,0.0,25.57860793,2020,Jan,22
2020/01/22,MEGHALAYA,WEST GARO HILLS,0.0,444.94,0.0,26.09189005,2020,Jan,22
2020/01/22,MEGHALAYA,SOUTH GARO HILLS,0.0,232.52,0.0,23.73562477,2020,Jan,22
2020/01/22,MEGHALAYA,EAST KHASI HILLS,0.0,418.17,0.0,29.25740773,2020,Jan,22
2020/01/21,MEGHALAYA,WEST KHASI HILLS,0.0,720.26,0.0,27.03503856,2020,Jan,21
2020/01/21,MEGHALAYA,JAINTIA HILLS,0.0,610.07,0.0,31.52992966,2020,Jan,21
2020/01/21,MEGHALAYA,RI BHOI,0.0,411.75,0.0,33.36934494,2020,Jan,21
2020/01/21,MEGHALAYA,EAST GARO HILLS,0.0,383.7,0.0,25.68146209,2020,Jan,21
2020/01/21,MEGHALAYA,WEST GARO HILLS,0.0,446.6,0.0,26.1890927,2020,Jan,21
2020/01/21,MEGHALAYA,SOUTH GARO HILLS,0.0,233.42,0.0,23.82691743,2020,Jan,21
2020/01/21,MEGHALAYA,EAST KHASI HILLS,0.0,421.27,0.0,29.4741404,2020,Jan,21
2020/01/20,MEGHALAYA,WEST KHASI HILLS,0.0,723.05,0.0,27.13968672,2020,Jan,20
2020/01/20,MEGHALAYA,JAINTIA HILLS,0.0,613.32,0.0,31.69788317,2020,Jan,20
2020/01/20,MEGHALAYA,RI BHOI,0.0,414.88,0.0,33.62335967,2020,Jan,20
2020/01/20,MEGHALAYA,EAST GARO HILLS,0.0,385.35,0.0,25.79197703,2020,Jan,20
2020/01/20,MEGHALAYA,WEST GARO HILLS,0.0,442.03,0.0,25.92112961,2020,Jan,20
2020/01/20,MEGHALAYA,SOUTH GARO HILLS,0.0,234.35,0.0,23.92185628,2020,Jan,20
2020/01/20,MEGHALAYA,EAST KHASI HILLS,0.0,424.51,0.01,29.70125437,2020,Jan,20
2020/01/19,MEGHALAYA,WEST KHASI HILLS,0.0,731.12,0.0,27.44275812,2020,Jan,19
2020/01/19,MEGHALAYA,JAINTIA HILLS,0.0,619.46,0.0,32.01504683,2020,Jan,19
2020/01/19,MEGHALAYA,RI BHOI,0.0,419.34,0.01,33.9848201,2020,Jan,19
2020/01/19,MEGHALAYA,EAST GARO HILLS,0.0,387.05,0.0,25.90596492,2020,Jan,19
2020/01/19,MEGHALAYA,WEST GARO HILLS,0.0,441.78,0.0,25.9065908,2020,Jan,19
2020/01/19,MEGHALAYA,SOUTH GARO HILLS,0.0,233.4,0.0,23.82515043,2020,Jan,19
2020/01/19,MEGHALAYA,EAST KHASI HILLS,0.0,430.22,0.03,30.100769,2020,Jan,19
2020/01/18,MEGHALAYA,WEST KHASI HILLS,0.0,726.82,0.0,27.2813443,2020,Jan,18
2020/01/18,MEGHALAYA,JAINTIA HILLS,0.0,617.25,0.0,31.90112022,2020,Jan,18
2020/01/18,MEGHALAYA,RI BHOI,0.0,407.33,0.0,33.01152911,2020,Jan,18
2020/01/18,MEGHALAYA,EAST GARO HILLS,0.0,388.89,0.0,26.02867505,2020,Jan,18
2020/01/18,MEGHALAYA,WEST GARO HILLS,0.0,443.27,0.0,25.99418651,2020,Jan,18
2020/01/18,MEGHALAYA,SOUTH GARO HILLS,0.0,233.86,0.0,23.8719349,2020,Jan,18
2020/01/18,MEGHALAYA,EAST KHASI HILLS,0.0,414.9,0.0,29.02873083,2020,Jan,18
2020/01/17,MEGHALAYA,WEST KHASI HILLS,0.0,734.74,0.0,27.57863093,2020,Jan,17
2020/01/17,MEGHALAYA,JAINTIA HILLS,0.0,620.97,0.0,32.09345066,2020,Jan,17
2020/01/17,MEGHALAYA,RI BHOI,0.0,412.79,0.0,33.45409126,2020,Jan,17
2020/01/17,MEGHALAYA,EAST GARO HILLS,0.0,392.61,0.0,26.27781767,2020,Jan,17
2020/01/17,MEGHALAYA,WEST GARO HILLS,0.0,446.23,0.0,26.16765379,2020,Jan,17
2020/01/17,MEGHALAYA,SOUTH GARO HILLS,0.0,236.21,0.0,24.11192682,2020,Jan,17
2020/01/17,MEGHALAYA,EAST KHASI HILLS,0.0,418.4,0.0,29.27385002,2020,Jan,17
2020/01/16,MEGHALAYA,WEST KHASI HILLS,0.0,738.08,0.0,27.70396635,2020,Jan,16
2020/01/16,MEGHALAYA,JAINTIA HILLS,0.0,625.2,0.0,32.31162576,2020,Jan,16
2020/01/16,MEGHALAYA,RI BHOI,0.0,415.14,0.0,33.64434574,2020,Jan,16
