date,state_name,districtname,average_soilmoisture_level_(at_15cm),average_soilmoisture_volume_(at_15cm),aggregate_soilmoisture_percentage_(at_15cm),volume_soilmoisture_percentage_(at_15cm),Year,Month,Day
2020/01/31,PONDICHERRY,MAHE,0.0,0.93,0.0,17.78301027,2020,Jan,31
2020/01/31,PONDICHERRY,PUDUCHERRY,0.0,40.98,0.0,25.68239847,2020,Jan,31
2020/01/31,PONDICHERRY,KARAIKAL,0.0,18.17,0.0,22.136836,2020,Jan,31
2020/01/31,PONDICHERRY,YANAM,0.0,2.01,0.0,10.27132306,2020,Jan,31
2020/01/30,PONDICHERRY,MAHE,0.0,0.93,0.0,17.82447155,2020,Jan,30
2020/01/30,PONDICHERRY,PUDUCHERRY,0.0,41.41,0.0,25.95706978,2020,Jan,30
2020/01/30,PONDICHERRY,KARAIKAL,0.0,18.41,0.0,22.41964356,2020,Jan,30
2020/01/30,PONDICHERRY,YANAM,0.0,2.04,0.0,10.42779406,2020,Jan,30
2020/01/29,PONDICHERRY,MAHE,0.0,0.94,0.0,17.92447155,2020,Jan,29
2020/01/29,PONDICHERRY,PUDUCHERRY,0.0,41.87,0.0,26.2454535,2020,Jan,29
2020/01/29,PONDICHERRY,KARAIKAL,0.0,18.67,0.0,22.74632169,2020,Jan,29
2020/01/29,PONDICHERRY,YANAM,0.0,2.08,0.0,10.62082645,2020,Jan,29
2020/01/28,PONDICHERRY,MAHE,0.0,0.94,0.0,17.96593282,2020,Jan,28
2020/01/28,PONDICHERRY,PUDUCHERRY,0.0,42.9,0.0,26.88708519,2020,Jan,28
2020/01/28,PONDICHERRY,KARAIKAL,0.0,18.93,0.0,23.05970712,2020,Jan,28
2020/01/28,PONDICHERRY,YANAM,0.0,2.12,0.0,10.85713679,2020,Jan,28
2020/01/27,PONDICHERRY,MAHE,0.0,0.95,0.0,18.06593282,2020,Jan,27
2020/01/27,PONDICHERRY,PUDUCHERRY,0.0,42.74,0.0,26.78907927,2020,Jan,27
2020/01/27,PONDICHERRY,KARAIKAL,0.0,19.18,0.0,23.36322239,2020,Jan,27
2020/01/27,PONDICHERRY,YANAM,0.0,2.15,0.0,11.00056049,2020,Jan,27
2020/01/26,PONDICHERRY,MAHE,0.0,0.95,0.0,18.1073941,2020,Jan,26
2020/01/26,PONDICHERRY,PUDUCHERRY,0.0,43.25,0.0,27.10971183,2020,Jan,26
2020/01/26,PONDICHERRY,KARAIKAL,0.0,19.46,0.0,23.70353594,2020,Jan,26
2020/01/26,PONDICHERRY,YANAM,0.0,2.19,0.0,11.20651027,2020,Jan,26
2020/01/25,PONDICHERRY,MAHE,0.0,0.96,0.0,18.2073941,2020,Jan,25
2020/01/25,PONDICHERRY,PUDUCHERRY,0.0,43.77,0.0,27.43357778,2020,Jan,25
2020/01/25,PONDICHERRY,KARAIKAL,0.0,19.74,0.0,24.0469913,2020,Jan,25
2020/01/25,PONDICHERRY,YANAM,0.0,2.23,0.0,11.38892937,2020,Jan,25
2020/01/24,PONDICHERRY,MAHE,0.0,0.96,0.0,18.24885537,2020,Jan,24
2020/01/24,PONDICHERRY,PUDUCHERRY,0.0,44.37,0.0,27.8073849,2020,Jan,24
2020/01/24,PONDICHERRY,KARAIKAL,0.0,20.06,0.0,24.43260556,2020,Jan,24
2020/01/24,PONDICHERRY,YANAM,0.0,2.28,0.0,11.64892493,2020,Jan,24
2020/01/23,PONDICHERRY,MAHE,0.0,0.96,0.0,18.39031665,2020,Jan,23
2020/01/23,PONDICHERRY,PUDUCHERRY,0.0,44.95,0.0,28.1718701,2020,Jan,23
2020/01/23,PONDICHERRY,KARAIKAL,0.0,20.37,0.0,24.80769172,2020,Jan,23
2020/01/23,PONDICHERRY,YANAM,0.0,2.34,0.0,11.94423681,2020,Jan,23
2020/01/22,PONDICHERRY,MAHE,0.0,0.97,0.0,18.43177792,2020,Jan,22
2020/01/22,PONDICHERRY,PUDUCHERRY,0.0,45.61,0.0,28.58532423,2020,Jan,22
2020/01/22,PONDICHERRY,KARAIKAL,0.0,20.47,0.0,24.93434586,2020,Jan,22
2020/01/22,PONDICHERRY,YANAM,0.0,2.41,0.0,12.32156144,2020,Jan,22
2020/01/21,PONDICHERRY,MAHE,0.0,0.97,0.0,18.5732392,2020,Jan,21
2020/01/21,PONDICHERRY,PUDUCHERRY,0.0,46.0,0.0,28.82950797,2020,Jan,21
2020/01/21,PONDICHERRY,KARAIKAL,0.0,20.67,0.0,25.17921014,2020,Jan,21
2020/01/21,PONDICHERRY,YANAM,0.0,2.46,0.0,12.581557,2020,Jan,21
2020/01/20,PONDICHERRY,MAHE,0.0,0.98,0.0,18.71470047,2020,Jan,20
2020/01/20,PONDICHERRY,PUDUCHERRY,0.0,46.49,0.0,29.13905019,2020,Jan,20
2020/01/20,PONDICHERRY,KARAIKAL,0.0,20.6,0.0,25.09390044,2020,Jan,20
2020/01/20,PONDICHERRY,YANAM,0.0,2.5,0.0,12.77686888,2020,Jan,20
2020/01/19,PONDICHERRY,MAHE,0.0,0.99,0.0,18.81470047,2020,Jan,19
2020/01/19,PONDICHERRY,PUDUCHERRY,0.0,46.84,0.0,29.35713632,2020,Jan,19
2020/01/19,PONDICHERRY,KARAIKAL,0.0,20.7,0.0,25.21482421,2020,Jan,19
2020/01/19,PONDICHERRY,YANAM,0.0,2.54,0.0,12.96992588,2020,Jan,19
2020/01/18,PONDICHERRY,MAHE,0.0,0.99,0.0,18.95616175,2020,Jan,18
2020/01/18,PONDICHERRY,PUDUCHERRY,0.0,34.84,0.0,21.83416018,2020,Jan,18
2020/01/18,PONDICHERRY,KARAIKAL,0.0,20.46,0.0,24.92511043,2020,Jan,18
2020/01/18,PONDICHERRY,YANAM,0.0,2.6,0.0,13.26739535,2020,Jan,18
2020/01/17,PONDICHERRY,MAHE,0.0,1.0,0.0,19.08054557,2020,Jan,17
2020/01/17,PONDICHERRY,PUDUCHERRY,0.0,34.95,0.0,21.9080084,2020,Jan,17
2020/01/17,PONDICHERRY,KARAIKAL,0.0,20.67,0.0,25.18129854,2020,Jan,17
2020/01/17,PONDICHERRY,YANAM,0.0,2.6,0.0,13.29209838,2020,Jan,17
2020/01/16,PONDICHERRY,MAHE,0.0,1.01,0.0,19.22200685,2020,Jan,16
2020/01/16,PONDICHERRY,PUDUCHERRY,0.0,35.25,0.0,22.09385851,2020,Jan,16
2020/01/16,PONDICHERRY,KARAIKAL,0.0,20.96,0.0,25.52766535,2020,Jan,16
2020/01/16,PONDICHERRY,YANAM,0.0,2.66,0.0,13.56982936,2020,Jan,16
2020/01/15,PONDICHERRY,MAHE,0.0,1.02,0.0,19.42200685,2020,Jan,15
2020/01/15,PONDICHERRY,PUDUCHERRY,0.0,35.61,0.0,22.31986183,2020,Jan,15
2020/01/15,PONDICHERRY,KARAIKAL,0.0,21.31,0.0,25.95527954,2020,Jan,15
2020/01/15,PONDICHERRY,YANAM,0.0,2.71,0.0,13.85211854,2020,Jan,15
2020/01/14,PONDICHERRY,MAHE,0.0,1.03,0.0,19.56346812,2020,Jan,14
2020/01/14,PONDICHERRY,PUDUCHERRY,0.0,35.82,0.0,22.45239552,2020,Jan,14
