date,state_name,districtname,average_soilmoisture_level_(at_15cm),average_soilmoisture_volume_(at_15cm),aggregate_soilmoisture_percentage_(at_15cm),volume_soilmoisture_percentage_(at_15cm),Year,Month,Day
2020/01/31,PUNJAB,FARIDKOT,0.0,163.81,0.0,21.87190119,2020,Jan,31
2020/01/31,PUNJAB,HOSHIARPUR,0.32,397.98,3.1,22.79461841,2020,Jan,31
2020/01/31,PUNJAB,FATEHGARH SAHIB,0.03,167.17,0.3,28.33112027,2020,Jan,31
2020/01/31,PUNJAB,AMRITSAR,0.04,388.37,0.24,28.14485772,2020,Jan,31
2020/01/31,PUNJAB,MANSA,0.0,205.23,0.0,18.0287347,2020,Jan,31
2020/01/31,PUNJAB,MUKTSAR,0.03,248.29,0.26,18.49018341,2020,Jan,31
2020/01/31,PUNJAB,RUPNAGAR,0.09,170.61,0.68,23.83610297,2020,Jan,31
2020/01/31,PUNJAB,PATIALA,0.0,468.29,0.0,27.28214865,2020,Jan,31
2020/01/31,PUNJAB,SHAHID BHAGAT SINGH NAGAR,0.26,144.8,1.87,21.51432671,2020,Jan,31
2020/01/31,PUNJAB,KAPURTHALA,0.25,213.7,2.13,24.83647433,2020,Jan,31
2020/01/31,PUNJAB,BATHINDA,0.0,306.75,0.03,17.66527761,2020,Jan,31
2020/01/31,PUNJAB,LUDHIANA,0.25,426.98,2.42,23.05339464,2020,Jan,31
2020/01/31,PUNJAB,SAHIBZADA AJIT SINGH NAGAR,0.01,147.25,0.1,25.74370552,2020,Jan,31
2020/01/31,PUNJAB,TARN TARAN,0.01,331.97,0.11,26.78557854,2020,Jan,31
2020/01/31,PUNJAB,FIROZPUR,0.24,542.78,2.28,20.20637688,2020,Jan,31
2020/01/31,PUNJAB,JALANDHAR,0.06,320.87,0.58,23.79092196,2020,Jan,31
2020/01/31,PUNJAB,SANGRUR,0.02,485.71,0.2,26.18315675,2020,Jan,31
2020/01/31,PUNJAB,BARNALA,0.07,187.73,0.63,24.50364755,2020,Jan,31
2020/01/31,PUNJAB,MOGA,0.05,313.94,0.44,25.89750684,2020,Jan,31
2020/01/31,PUNJAB,GURDASPUR,0.09,445.95,0.91,23.71358395,2020,Jan,31
2020/01/30,PUNJAB,FARIDKOT,0.0,165.8,0.0,22.13665091,2020,Jan,30
2020/01/30,PUNJAB,HOSHIARPUR,0.35,404.36,3.26,23.159641,2020,Jan,30
2020/01/30,PUNJAB,FATEHGARH SAHIB,0.03,169.49,0.32,28.72280763,2020,Jan,30
2020/01/30,PUNJAB,AMRITSAR,0.05,401.23,0.29,29.07726194,2020,Jan,30
2020/01/30,PUNJAB,MANSA,0.0,208.12,0.0,18.28311788,2020,Jan,30
2020/01/30,PUNJAB,MUKTSAR,0.03,251.52,0.31,18.73090455,2020,Jan,30
2020/01/30,PUNJAB,RUPNAGAR,0.11,174.08,0.83,24.32165996,2020,Jan,30
2020/01/30,PUNJAB,PATIALA,0.0,478.55,0.0,27.87964691,2020,Jan,30
2020/01/30,PUNJAB,SHAHID BHAGAT SINGH NAGAR,0.28,147.1,2.02,21.8558083,2020,Jan,30
2020/01/30,PUNJAB,KAPURTHALA,0.32,219.84,2.65,25.55016893,2020,Jan,30
2020/01/30,PUNJAB,BATHINDA,0.0,311.35,0.04,17.92997098,2020,Jan,30
2020/01/30,PUNJAB,LUDHIANA,0.26,436.48,2.56,23.56635833,2020,Jan,30
2020/01/30,PUNJAB,SAHIBZADA AJIT SINGH NAGAR,0.03,151.19,0.27,26.43294351,2020,Jan,30
2020/01/30,PUNJAB,TARN TARAN,0.02,340.83,0.13,27.50084752,2020,Jan,30
2020/01/30,PUNJAB,FIROZPUR,0.27,552.95,2.57,20.58511857,2020,Jan,30
2020/01/30,PUNJAB,JALANDHAR,0.08,328.61,0.71,24.36512249,2020,Jan,30
2020/01/30,PUNJAB,SANGRUR,0.03,499.79,0.27,26.94180835,2020,Jan,30
2020/01/30,PUNJAB,BARNALA,0.09,191.68,0.77,25.01989207,2020,Jan,30
2020/01/30,PUNJAB,MOGA,0.06,323.15,0.56,26.65774515,2020,Jan,30
2020/01/30,PUNJAB,GURDASPUR,0.1,455.44,0.99,24.21810309,2020,Jan,30
2020/01/29,PUNJAB,FARIDKOT,0.0,167.83,0.0,22.40878405,2020,Jan,29
2020/01/29,PUNJAB,HOSHIARPUR,0.37,411.19,3.44,23.55124582,2020,Jan,29
2020/01/29,PUNJAB,FATEHGARH SAHIB,0.03,171.89,0.33,29.12994657,2020,Jan,29
2020/01/29,PUNJAB,AMRITSAR,0.05,419.96,0.34,30.43420512,2020,Jan,29
2020/01/29,PUNJAB,MANSA,0.0,211.17,0.0,18.55125156,2020,Jan,29
2020/01/29,PUNJAB,MUKTSAR,0.04,255.03,0.35,18.99157911,2020,Jan,29
2020/01/29,PUNJAB,RUPNAGAR,0.14,178.17,1.04,24.8920442,2020,Jan,29
2020/01/29,PUNJAB,PATIALA,0.0,491.58,0.0,28.63870048,2020,Jan,29
2020/01/29,PUNJAB,SHAHID BHAGAT SINGH NAGAR,0.3,149.57,2.17,22.223553,2020,Jan,29
2020/01/29,PUNJAB,KAPURTHALA,0.48,229.1,3.77,26.62695591,2020,Jan,29
2020/01/29,PUNJAB,BATHINDA,0.01,315.94,0.07,18.19406057,2020,Jan,29
2020/01/29,PUNJAB,LUDHIANA,0.28,447.65,2.71,24.16926809,2020,Jan,29
2020/01/29,PUNJAB,SAHIBZADA AJIT SINGH NAGAR,0.1,156.19,0.76,27.3079814,2020,Jan,29
2020/01/29,PUNJAB,TARN TARAN,0.02,354.46,0.18,28.60049297,2020,Jan,29
2020/01/29,PUNJAB,FIROZPUR,0.3,564.57,2.84,21.01756918,2020,Jan,29
2020/01/29,PUNJAB,JALANDHAR,0.11,339.01,0.98,25.1361325,2020,Jan,29
2020/01/29,PUNJAB,SANGRUR,0.04,519.59,0.35,28.00912557,2020,Jan,29
2020/01/29,PUNJAB,BARNALA,0.1,196.3,0.87,25.62282244,2020,Jan,29
2020/01/29,PUNJAB,MOGA,0.1,336.61,0.93,27.76757646,2020,Jan,29
2020/01/29,PUNJAB,GURDASPUR,0.11,467.35,1.07,24.85110622,2020,Jan,29
2020/01/28,PUNJAB,FARIDKOT,0.0,170.46,0.0,22.75983555,2020,Jan,28
2020/01/28,PUNJAB,HOSHIARPUR,0.92,500.74,7.39,28.67997538,2020,Jan,28
2020/01/28,PUNJAB,FATEHGARH SAHIB,0.03,181.9,0.34,30.82608262,2020,Jan,28
2020/01/28,PUNJAB,AMRITSAR,0.15,398.87,0.9,28.90573993,2020,Jan,28
2020/01/28,PUNJAB,MANSA,0.0,208.25,0.0,18.29476245,2020,Jan,28
2020/01/28,PUNJAB,MUKTSAR,0.04,257.75,0.4,19.1943289,2020,Jan,28
2020/01/28,PUNJAB,RUPNAGAR,0.23,189.29,1.7,26.44677496,2020,Jan,28
2020/01/28,PUNJAB,PATIALA,0.0,460.36,0.03,26.82006841,2020,Jan,28
