date,state_name,districtname,average_soilmoisture_level_(at_15cm),average_soilmoisture_volume_(at_15cm),aggregate_soilmoisture_percentage_(at_15cm),volume_soilmoisture_percentage_(at_15cm),Year,Month,Day
2020/01/31,SIKKIM,WEST,0.0,78.96,0.0,12.8739495,2020,Jan,31
2020/01/31,SIKKIM,EAST,0.0,68.47,0.0,14.21618833,2020,Jan,31
2020/01/31,SIKKIM,NORTH,0.0,273.25,0.04,12.53701391,2020,Jan,31
2020/01/31,SIKKIM,SOUTH,0.0,54.61,0.0,14.6206497,2020,Jan,31
2020/01/30,SIKKIM,WEST,0.0,79.15,0.0,12.90501429,2020,Jan,30
2020/01/30,SIKKIM,EAST,0.0,68.59,0.0,14.24053361,2020,Jan,30
2020/01/30,SIKKIM,NORTH,0.0,272.32,0.04,12.49411686,2020,Jan,30
2020/01/30,SIKKIM,SOUTH,0.0,54.73,0.0,14.65136184,2020,Jan,30
2020/01/29,SIKKIM,WEST,0.0,79.3,0.0,12.92918995,2020,Jan,29
2020/01/29,SIKKIM,EAST,0.0,68.72,0.0,14.26746838,2020,Jan,29
2020/01/29,SIKKIM,NORTH,0.0,272.78,0.04,12.51538665,2020,Jan,29
2020/01/29,SIKKIM,SOUTH,0.0,54.85,0.0,14.68410771,2020,Jan,29
2020/01/28,SIKKIM,WEST,0.0,79.08,0.0,12.89346206,2020,Jan,28
2020/01/28,SIKKIM,EAST,0.0,67.9,0.0,14.09723935,2020,Jan,28
2020/01/28,SIKKIM,NORTH,0.0,269.47,0.04,12.36328219,2020,Jan,28
2020/01/28,SIKKIM,SOUTH,0.0,54.51,0.0,14.59406041,2020,Jan,28
2020/01/27,SIKKIM,WEST,0.0,79.39,0.0,12.94458417,2020,Jan,27
2020/01/27,SIKKIM,EAST,0.0,68.69,0.0,14.26140905,2020,Jan,27
2020/01/27,SIKKIM,NORTH,0.01,268.51,0.05,12.31928709,2020,Jan,27
2020/01/27,SIKKIM,SOUTH,0.0,54.98,0.0,14.72022938,2020,Jan,27
2020/01/26,SIKKIM,WEST,0.0,79.58,0.0,12.97592977,2020,Jan,26
2020/01/26,SIKKIM,EAST,0.0,68.65,0.0,14.25189,2020,Jan,26
2020/01/26,SIKKIM,NORTH,0.01,267.8,0.05,12.28671722,2020,Jan,26
2020/01/26,SIKKIM,SOUTH,0.0,55.13,0.0,14.75944852,2020,Jan,26
2020/01/25,SIKKIM,WEST,0.0,80.06,0.0,13.05351745,2020,Jan,25
2020/01/25,SIKKIM,EAST,0.0,68.75,0.0,14.27323143,2020,Jan,25
2020/01/25,SIKKIM,NORTH,0.01,268.38,0.05,12.31347987,2020,Jan,25
2020/01/25,SIKKIM,SOUTH,0.0,55.45,0.0,14.84350983,2020,Jan,25
2020/01/24,SIKKIM,WEST,0.0,80.31,0.0,13.09418028,2020,Jan,24
2020/01/24,SIKKIM,EAST,0.0,68.78,0.0,14.27922211,2020,Jan,24
2020/01/24,SIKKIM,NORTH,0.01,268.86,0.05,12.33555988,2020,Jan,24
2020/01/24,SIKKIM,SOUTH,0.0,55.55,0.0,14.87172378,2020,Jan,24
2020/01/23,SIKKIM,WEST,0.0,80.59,0.0,13.14086406,2020,Jan,23
2020/01/23,SIKKIM,EAST,0.0,68.96,0.0,14.31792869,2020,Jan,23
2020/01/23,SIKKIM,NORTH,0.01,269.31,0.06,12.35593409,2020,Jan,23
2020/01/23,SIKKIM,SOUTH,0.0,55.76,0.0,14.9278887,2020,Jan,23
2020/01/22,SIKKIM,WEST,0.0,81.39,0.0,13.27112999,2020,Jan,22
2020/01/22,SIKKIM,EAST,0.0,70.15,0.0,14.56422802,2020,Jan,22
2020/01/22,SIKKIM,NORTH,0.01,271.2,0.06,12.44292429,2020,Jan,22
2020/01/22,SIKKIM,SOUTH,0.0,56.53,0.0,15.13392223,2020,Jan,22
2020/01/21,SIKKIM,WEST,0.0,81.66,0.0,13.31447294,2020,Jan,21
2020/01/21,SIKKIM,EAST,0.0,70.3,0.0,14.59439292,2020,Jan,21
2020/01/21,SIKKIM,NORTH,0.01,271.68,0.06,12.46465867,2020,Jan,21
2020/01/21,SIKKIM,SOUTH,0.0,56.69,0.0,15.175609,2020,Jan,21
2020/01/20,SIKKIM,WEST,0.0,81.94,0.0,13.36117157,2020,Jan,20
2020/01/20,SIKKIM,EAST,0.0,70.42,0.0,14.61946467,2020,Jan,20
2020/01/20,SIKKIM,NORTH,0.01,271.87,0.05,12.47375344,2020,Jan,20
2020/01/20,SIKKIM,SOUTH,0.0,56.89,0.0,15.23004484,2020,Jan,20
2020/01/19,SIKKIM,WEST,0.0,81.74,0.0,13.32834695,2020,Jan,19
2020/01/19,SIKKIM,EAST,0.0,70.13,0.0,14.5605043,2020,Jan,19
2020/01/19,SIKKIM,NORTH,0.01,271.62,0.06,12.46204059,2020,Jan,19
2020/01/19,SIKKIM,SOUTH,0.0,56.65,0.0,15.16546682,2020,Jan,19
2020/01/18,SIKKIM,WEST,0.0,82.0,0.0,13.36967927,2020,Jan,18
2020/01/18,SIKKIM,EAST,0.0,70.22,0.0,14.57922591,2020,Jan,18
2020/01/18,SIKKIM,NORTH,0.01,272.02,0.06,12.48033116,2020,Jan,18
2020/01/18,SIKKIM,SOUTH,0.0,56.82,0.0,15.21112323,2020,Jan,18
2020/01/17,SIKKIM,WEST,0.0,82.45,0.0,13.44270467,2020,Jan,17
2020/01/17,SIKKIM,EAST,0.0,70.55,0.0,14.64769084,2020,Jan,17
2020/01/17,SIKKIM,NORTH,0.01,272.82,0.06,12.51703781,2020,Jan,17
2020/01/17,SIKKIM,SOUTH,0.0,57.23,0.0,15.31998996,2020,Jan,17
2020/01/16,SIKKIM,WEST,0.0,82.67,0.0,13.47862156,2020,Jan,16
2020/01/16,SIKKIM,EAST,0.0,70.64,0.0,14.6652993,2020,Jan,16
2020/01/16,SIKKIM,NORTH,0.01,273.27,0.06,12.53763313,2020,Jan,16
2020/01/16,SIKKIM,SOUTH,0.0,57.35,0.0,15.35374798,2020,Jan,16
2020/01/15,SIKKIM,WEST,0.0,82.93,0.0,13.52183326,2020,Jan,15
2020/01/15,SIKKIM,EAST,0.0,70.79,0.0,14.69774853,2020,Jan,15
2020/01/15,SIKKIM,NORTH,0.01,273.55,0.05,12.55067817,2020,Jan,15
2020/01/15,SIKKIM,SOUTH,0.0,57.47,0.0,15.38615824,2020,Jan,15
2020/01/14,SIKKIM,WEST,0.0,83.75,0.0,13.65625035,2020,Jan,14
2020/01/14,SIKKIM,EAST,0.0,71.69,0.0,14.88422842,2020,Jan,14
2020/01/14,SIKKIM,NORTH,0.01,275.27,0.05,12.62975422,2020,Jan,14
2020/01/14,SIKKIM,SOUTH,0.0,57.91,0.0,15.50214173,2020,Jan,14
2020/01/13,SIKKIM,WEST,0.0,83.79,0.0,13.66183687,2020,Jan,13
2020/01/13,SIKKIM,EAST,0.0,71.84,0.0,14.91410964,2020,Jan,13
2020/01/13,SIKKIM,NORTH,0.01,275.45,0.06,12.63789068,2020,Jan,13
2020/01/13,SIKKIM,SOUTH,0.0,57.57,0.0,15.41319196,2020,Jan,13
2020/01/12,SIKKIM,WEST,0.0,82.65,0.0,13.47581187,2020,Jan,12
2020/01/12,SIKKIM,EAST,0.0,71.4,0.0,14.82340863,2020,Jan,12
2020/01/12,SIKKIM,NORTH,0.01,271.26,0.05,12.44550161,2020,Jan,12
2020/01/12,SIKKIM,SOUTH,0.0,56.06,0.0,15.00841789,2020,Jan,12
