date,state_name,districtname,average_soilmoisture_level_(at_15cm),average_soilmoisture_volume_(at_15cm),aggregate_soilmoisture_percentage_(at_15cm),volume_soilmoisture_percentage_(at_15cm),Year,Month,Day
6/30/2018,ANDAMAN & NICOBAR,NICOBAR,7.32,-,62.31,37.49252034,2018,Jun,30
6/30/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.63,-,67.43,42.45326691,2018,Jun,30
6/30/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,6.38,-,58.66,40.09867535,2018,Jun,30
6/29/2018,ANDAMAN & NICOBAR,NICOBAR,6.83,-,58.03,33.35786723,2018,Jun,29
6/29/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.66,-,67.63,42.50895539,2018,Jun,29
6/29/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,6.03,-,55.3,39.51227828,2018,Jun,29
6/28/2018,ANDAMAN & NICOBAR,NICOBAR,7.0,-,59.33,34.49453629,2018,Jun,28
6/28/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.56,-,66.73,42.33965693,2018,Jun,28
6/28/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,5.76,-,52.79,38.77367007,2018,Jun,28
6/27/2018,ANDAMAN & NICOBAR,NICOBAR,7.14,-,60.37,35.56879804,2018,Jun,27
6/27/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.69,-,67.93,42.7962813,2018,Jun,27
6/27/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,5.42,-,49.51,37.54921793,2018,Jun,27
6/26/2018,ANDAMAN & NICOBAR,NICOBAR,7.2,-,60.73,36.48580809,2018,Jun,26
6/26/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.69,-,67.92,42.79092609,2018,Jun,26
6/26/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,5.82,-,53.48,38.77568023,2018,Jun,26
6/25/2018,ANDAMAN & NICOBAR,NICOBAR,6.63,-,56.76,31.65390537,2018,Jun,25
6/25/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.65,-,67.61,42.60636092,2018,Jun,25
6/25/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,5.43,-,49.7,37.1073481,2018,Jun,25
6/24/2018,ANDAMAN & NICOBAR,NICOBAR,6.68,-,57.36,31.99736753,2018,Jun,24
6/24/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,6.87,-,60.11,40.21172339,2018,Jun,24
6/24/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,4.83,-,44.0,33.91125361,2018,Jun,24
6/23/2018,ANDAMAN & NICOBAR,NICOBAR,6.8,-,58.38,33.02254307,2018,Jun,23
6/23/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,6.64,-,57.9,39.05188984,2018,Jun,23
6/23/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,4.89,-,44.51,34.4633064,2018,Jun,23
6/22/2018,ANDAMAN & NICOBAR,NICOBAR,6.9,-,59.36,33.75434971,2018,Jun,22
6/22/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,6.7,-,58.42,39.1818241,2018,Jun,22
6/22/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,5.07,-,46.27,35.59328569,2018,Jun,22
6/21/2018,ANDAMAN & NICOBAR,NICOBAR,7.1,-,61.03,34.98108901,2018,Jun,21
6/21/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.01,-,61.43,40.32427581,2018,Jun,21
6/21/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,5.22,-,47.64,36.3806919,2018,Jun,21
6/20/2018,ANDAMAN & NICOBAR,NICOBAR,7.31,-,62.68,36.27617899,2018,Jun,20
6/20/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.38,-,64.97,41.77400616,2018,Jun,20
6/20/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,5.57,-,50.9,38.18161865,2018,Jun,20
6/19/2018,ANDAMAN & NICOBAR,NICOBAR,7.39,-,63.3,37.13757485,2018,Jun,19
6/19/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.72,-,68.23,42.86744835,2018,Jun,19
6/19/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,6.66,-,61.52,40.86577122,2018,Jun,19
6/18/2018,ANDAMAN & NICOBAR,NICOBAR,7.54,-,64.47,38.18268465,2018,Jun,18
6/18/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.7,-,68.08,42.83273771,2018,Jun,18
6/18/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,5.51,-,50.81,38.10596347,2018,Jun,18
6/17/2018,ANDAMAN & NICOBAR,NICOBAR,7.29,-,62.09,36.98132443,2018,Jun,17
6/17/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.73,-,68.39,42.89683805,2018,Jun,17
6/17/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,5.76,-,53.39,39.09071049,2018,Jun,17
6/16/2018,ANDAMAN & NICOBAR,NICOBAR,6.62,-,56.51,31.13063689,2018,Jun,16
6/16/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.75,-,68.55,42.94268289,2018,Jun,16
6/16/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,4.79,-,44.43,36.54082007,2018,Jun,16
6/15/2018,ANDAMAN & NICOBAR,NICOBAR,6.54,-,56.38,30.23066055,2018,Jun,15
6/15/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,6.88,-,60.13,40.22010372,2018,Jun,15
6/15/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,4.52,-,41.86,35.57666067,2018,Jun,15
6/14/2018,ANDAMAN & NICOBAR,NICOBAR,6.64,-,57.39,31.22281539,2018,Jun,14
6/14/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,6.8,-,59.42,39.80209704,2018,Jun,14
6/14/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,4.2,-,38.87,33.42270231,2018,Jun,14
6/13/2018,ANDAMAN & NICOBAR,NICOBAR,6.75,-,58.44,32.26565869,2018,Jun,13
6/13/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.06,-,61.89,40.71472241,2018,Jun,13
6/13/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,4.27,-,39.5,34.13171766,2018,Jun,13
6/12/2018,ANDAMAN & NICOBAR,NICOBAR,6.91,-,59.71,33.41002466,2018,Jun,12
6/12/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.03,-,61.58,40.5388854,2018,Jun,12
6/12/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,4.2,-,38.97,33.29637034,2018,Jun,12
6/11/2018,ANDAMAN & NICOBAR,NICOBAR,7.03,-,60.8,34.52233497,2018,Jun,11
6/11/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.21,-,63.36,41.35563886,2018,Jun,11
6/11/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,4.23,-,39.1,33.48494959,2018,Jun,11
6/10/2018,ANDAMAN & NICOBAR,NICOBAR,7.17,-,61.85,35.71988442,2018,Jun,10
6/10/2018,ANDAMAN & NICOBAR,SOUTH ANDAMAN,7.35,-,64.72,41.7277942,2018,Jun,10
6/10/2018,ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,4.34,-,40.17,34.69685066,2018,Jun,10
6/9/2018,ANDAMAN & NICOBAR,NICOBAR,7.06,-,61.01,34.84308538,2018,Jun,9
