date,state_name,districtname,average_soilmoisture_level_(at_15cm),average_soilmoisture_volume_(at_15cm),aggregate_soilmoisture_percentage_(at_15cm),volume_soilmoisture_percentage_(at_15cm),Year,Month,Day
2020/01/31,HIMACHAL PRADESH,KULLU,0.27,647.84,3.34,22.63544723,2020.0,Jan,31.0
2020/01/31,HIMACHAL PRADESH,HAMIRPUR,0.41,157.25,2.88,26.98450144,2020.0,Jan,31.0
2020/01/31,HIMACHAL PRADESH,KANGRA,0.21,755.77,2.58,25.42713082,2020.0,Jan,31.0
2020/01/31,HIMACHAL PRADESH,CHAMBA,0.26,796.08,2.94,23.58216035,2020.0,Jan,31.0
2020/01/31,HIMACHAL PRADESH,UNA,0.05,207.21,0.35,25.94247526,2020.0,Jan,31.0
2020/01/31,HIMACHAL PRADESH,SHIMLA,0.25,716.36,3.23,26.96633002,2020.0,Jan,31.0
2020/01/31,HIMACHAL PRADESH,MANDI,0.32,545.72,2.89,26.60590598,2020.0,Jan,31.0
2020/01/31,HIMACHAL PRADESH,KINNAUR,0.08,770.09,0.86,22.97220329,2020.0,Jan,31.0
2020/01/31,HIMACHAL PRADESH,BILASPUR,0.67,156.7,5.67,25.89878581,2020.0,Jan,31.0
2020/01/31,HIMACHAL PRADESH,SOLAN,0.1,304.78,1.34,30.07913616,2020.0,Jan,31.0
2020/01/31,HIMACHAL PRADESH,SIRMAUR,0.0,416.77,0.05,28.69667038,2020.0,Jan,31.0
2020/01/31,HIMACHAL PRADESH,LAHUL & SPITI,0.03,1618.53,0.26,22.46249743,2020.0,Jan,31.0
2020/01/30,HIMACHAL PRADESH,KULLU,0.27,649.97,3.33,22.71003221,2020.0,Jan,30.0
2020/01/30,HIMACHAL PRADESH,HAMIRPUR,0.51,163.47,3.59,28.05180381,2020.0,Jan,30.0
2020/01/30,HIMACHAL PRADESH,KANGRA,0.24,774.16,2.85,26.0457129,2020.0,Jan,30.0
2020/01/30,HIMACHAL PRADESH,CHAMBA,0.27,803.24,3.08,23.79441176,2020.0,Jan,30.0
2020/01/30,HIMACHAL PRADESH,UNA,0.06,212.57,0.41,26.61340583,2020.0,Jan,30.0
2020/01/30,HIMACHAL PRADESH,SHIMLA,0.27,725.28,3.42,27.30202025,2020.0,Jan,30.0
2020/01/30,HIMACHAL PRADESH,MANDI,0.37,555.49,3.23,27.08202572,2020.0,Jan,30.0
2020/01/30,HIMACHAL PRADESH,KINNAUR,0.08,772.23,0.89,23.03629404,2020.0,Jan,30.0
2020/01/30,HIMACHAL PRADESH,BILASPUR,0.77,161.48,6.42,26.68969106,2020.0,Jan,30.0
2020/01/30,HIMACHAL PRADESH,SOLAN,0.11,314.12,1.44,31.00091183,2020.0,Jan,30.0
2020/01/30,HIMACHAL PRADESH,SIRMAUR,0.01,435.3,0.12,29.9719,2020.0,Jan,30.0
2020/01/30,HIMACHAL PRADESH,LAHUL & SPITI,0.03,1620.78,0.28,22.49373479,2020.0,Jan,30.0
2020/01/29,HIMACHAL PRADESH,KULLU,0.28,653.16,3.42,22.82132005,2020.0,Jan,29.0
2020/01/29,HIMACHAL PRADESH,HAMIRPUR,0.98,174.44,6.92,29.9344506,2020.0,Jan,29.0
2020/01/29,HIMACHAL PRADESH,KANGRA,0.42,804.18,4.15,27.05554723,2020.0,Jan,29.0
2020/01/29,HIMACHAL PRADESH,CHAMBA,0.31,816.09,3.4,24.1748857,2020.0,Jan,29.0
2020/01/29,HIMACHAL PRADESH,UNA,0.09,219.68,0.63,27.50363463,2020.0,Jan,29.0
2020/01/29,HIMACHAL PRADESH,SHIMLA,0.41,742.57,4.4,27.95293258,2020.0,Jan,29.0
2020/01/29,HIMACHAL PRADESH,MANDI,0.5,572.57,4.18,27.9145021,2020.0,Jan,29.0
2020/01/29,HIMACHAL PRADESH,KINNAUR,0.09,776.1,0.95,23.15152103,2020.0,Jan,29.0
2020/01/29,HIMACHAL PRADESH,BILASPUR,0.9,168.52,7.45,27.85322407,2020.0,Jan,29.0
2020/01/29,HIMACHAL PRADESH,SOLAN,0.25,333.63,2.33,32.92680644,2020.0,Jan,29.0
2020/01/29,HIMACHAL PRADESH,SIRMAUR,1.36,486.84,8.47,33.52094699,2020.0,Jan,29.0
2020/01/29,HIMACHAL PRADESH,LAHUL & SPITI,0.04,1627.8,0.29,22.59120311,2020.0,Jan,29.0
2020/01/28,HIMACHAL PRADESH,KULLU,0.31,665.08,3.69,23.23770414,2020.0,Jan,28.0
2020/01/28,HIMACHAL PRADESH,HAMIRPUR,0.91,163.11,6.39,27.98967751,2020.0,Jan,28.0
2020/01/28,HIMACHAL PRADESH,KANGRA,0.58,823.0,5.45,27.688831,2020.0,Jan,28.0
2020/01/28,HIMACHAL PRADESH,CHAMBA,0.39,830.01,4.07,24.58732855,2020.0,Jan,28.0
2020/01/28,HIMACHAL PRADESH,UNA,0.39,226.89,2.68,28.40648065,2020.0,Jan,28.0
2020/01/28,HIMACHAL PRADESH,SHIMLA,0.45,765.01,4.79,28.79766951,2020.0,Jan,28.0
2020/01/28,HIMACHAL PRADESH,MANDI,0.89,597.2,6.87,29.11534816,2020.0,Jan,28.0
2020/01/28,HIMACHAL PRADESH,KINNAUR,0.09,782.04,0.93,23.3286564,2020.0,Jan,28.0
2020/01/28,HIMACHAL PRADESH,BILASPUR,1.91,188.37,14.58,31.13375567,2020.0,Jan,28.0
2020/01/28,HIMACHAL PRADESH,SOLAN,0.25,328.85,2.45,32.4549859,2020.0,Jan,28.0
2020/01/28,HIMACHAL PRADESH,SIRMAUR,1.06,477.92,6.64,32.90685162,2020.0,Jan,28.0
2020/01/28,HIMACHAL PRADESH,LAHUL & SPITI,0.04,1631.91,0.3,22.64823246,2020.0,Jan,28.0
2020/01/27,HIMACHAL PRADESH,KULLU,0.3,659.18,3.58,23.03188028,2020.0,Jan,27.0
2020/01/27,HIMACHAL PRADESH,HAMIRPUR,0.2,139.02,1.37,23.8563312,2020.0,Jan,27.0
2020/01/27,HIMACHAL PRADESH,KANGRA,0.18,717.2,2.2,24.12948912,2020.0,Jan,27.0
2020/01/27,HIMACHAL PRADESH,CHAMBA,0.21,782.29,2.37,23.17363999,2020.0,Jan,27.0
2020/01/27,HIMACHAL PRADESH,UNA,0.02,190.95,0.16,23.9064269,2020.0,Jan,27.0
2020/01/27,HIMACHAL PRADESH,SHIMLA,0.29,716.2,3.64,26.96049812,2020.0,Jan,27.0
2020/01/27,HIMACHAL PRADESH,MANDI,0.22,526.48,2.04,25.66771254,2020.0,Jan,27.0
2020/01/27,HIMACHAL PRADESH,KINNAUR,0.09,779.89,0.94,23.2646632,2020.0,Jan,27.0
2020/01/27,HIMACHAL PRADESH,BILASPUR,0.54,149.21,4.61,24.66174763,2020.0,Jan,27.0
2020/01/27,HIMACHAL PRADESH,SOLAN,0.07,278.97,0.97,27.53173526,2020.0,Jan,27.0
2020/01/27,HIMACHAL PRADESH,SIRMAUR,0.0,360.4,0.03,24.8152535,2020.0,Jan,27.0
2020/01/27,HIMACHAL PRADESH,LAHUL & SPITI,0.04,1634.77,0.32,22.68793308,2020.0,Jan,27.0
2020/01/26,HIMACHAL PRADESH,KULLU,0.31,662.42,3.61,23.1450935,2020.0,Jan,26.0
2020/01/26,HIMACHAL PRADESH,HAMIRPUR,0.15,137.88,1.04,23.66037964,2020.0,Jan,26.0
2020/01/26,HIMACHAL PRADESH,KANGRA,0.18,717.36,2.3,24.13465005,2020.0,Jan,26.0
2020/01/26,HIMACHAL PRADESH,CHAMBA,0.21,786.33,2.4,23.29321633,2020.0,Jan,26.0
2020/01/26,HIMACHAL PRADESH,UNA,0.02,185.72,0.14,23.25156324,2020.0,Jan,26.0
2020/01/26,HIMACHAL PRADESH,SHIMLA,0.29,719.26,3.66,27.07541645,2020.0,Jan,26.0
2020/01/26,HIMACHAL PRADESH,MANDI,0.22,529.61,2.05,25.82008108,2020.0,Jan,26.0
2020/01/26,HIMACHAL PRADESH,KINNAUR,0.09,782.77,0.94,23.35055565,2020.0,Jan,26.0
2020/01/26,HIMACHAL PRADESH,BILASPUR,0.4,141.75,3.48,23.42809552,2020.0,Jan,26.0
2020/01/26,HIMACHAL PRADESH,SOLAN,0.07,275.77,0.93,27.2159235,2020.0,Jan,26.0
2020/01/26,HIMACHAL PRADESH,SIRMAUR,0.0,363.46,0.03,25.02577029,2020.0,Jan,26.0
2020/01/26,HIMACHAL PRADESH,LAHUL & SPITI,0.04,1640.38,0.33,22.7657758,2020.0,Jan,26.0
2020/01/25,HIMACHAL PRADESH,KULLU,0.31,666.36,3.7,23.28259006,2020.0,Jan,25.0
2020/01/25,HIMACHAL PRADESH,HAMIRPUR,0.17,139.46,1.17,23.93089495,2020.0,Jan,25.0
2020/01/25,HIMACHAL PRADESH,KANGRA,0.19,724.07,2.38,24.36057046,2020.0,Jan,25.0
2020/01/25,HIMACHAL PRADESH,CHAMBA,0.21,790.19,2.43,23.40754332,2020.0,Jan,25.0
2020/01/25,HIMACHAL PRADESH,UNA,0.02,188.06,0.16,23.54507697,2020.0,Jan,25.0
2020/01/25,HIMACHAL PRADESH,SHIMLA,0.29,720.99,3.66,27.14054044,2020.0,Jan,25.0
2020/01/25,HIMACHAL PRADESH,MANDI,0.24,533.3,2.24,25.99992789,2020.0,Jan,25.0
2020/01/25,HIMACHAL PRADESH,KINNAUR,0.09,784.9,0.96,23.41419966,2020.0,Jan,25.0
2020/01/25,HIMACHAL PRADESH,BILASPUR,0.43,143.58,3.7,23.73083945,2020.0,Jan,25.0
2020/01/25,HIMACHAL PRADESH,SOLAN,0.07,278.28,0.96,27.46384009,2020.0,Jan,25.0
2020/01/25,HIMACHAL PRADESH,SIRMAUR,0.0,367.22,0.04,25.28483556,2020.0,Jan,25.0
2020/01/25,HIMACHAL PRADESH,LAHUL & SPITI,0.05,1645.87,0.35,22.8418845,2020.0,Jan,25.0
2020/01/24,HIMACHAL PRADESH,KULLU,0.3,667.19,3.59,23.31173918,2020.0,Jan,24.0
2020/01/24,HIMACHAL PRADESH,HAMIRPUR,0.19,141.07,1.34,24.20770904,2020.0,Jan,24.0
2020/01/24,HIMACHAL PRADESH,KANGRA,0.2,730.61,2.48,24.58061703,2020.0,Jan,24.0
2020/01/24,HIMACHAL PRADESH,CHAMBA,0.22,793.31,2.51,23.4999672,2020.0,Jan,24.0
2020/01/24,HIMACHAL PRADESH,UNA,0.03,190.46,0.18,23.84487355,2020.0,Jan,24.0
2020/01/24,HIMACHAL PRADESH,SHIMLA,0.29,723.05,3.71,27.21825532,2020.0,Jan,24.0
2020/01/24,HIMACHAL PRADESH,MANDI,0.25,533.3,2.31,26.00013189,2020.0,Jan,24.0
2020/01/24,HIMACHAL PRADESH,KINNAUR,0.09,785.7,0.99,23.43807402,2020.0,Jan,24.0
2020/01/24,HIMACHAL PRADESH,BILASPUR,0.46,145.76,4.0,24.09195776,2020.0,Jan,24.0
2020/01/24,HIMACHAL PRADESH,SOLAN,0.08,281.3,1.02,27.76157483,2020.0,Jan,24.0
2020/01/24,HIMACHAL PRADESH,SIRMAUR,0.01,372.09,0.09,25.62002165,2020.0,Jan,24.0
2020/01/24,HIMACHAL PRADESH,LAHUL & SPITI,0.05,1647.82,0.37,22.86898395,2020.0,Jan,24.0
2020/01/23,HIMACHAL PRADESH,KULLU,0.29,668.4,3.47,23.35396359,2020.0,Jan,23.0
2020/01/23,HIMACHAL PRADESH,HAMIRPUR,0.22,143.04,1.53,24.54608801,2020.0,Jan,23.0
2020/01/23,HIMACHAL PRADESH,KANGRA,0.21,737.81,2.57,24.82275284,2020.0,Jan,23.0
2020/01/23,HIMACHAL PRADESH,CHAMBA,0.23,796.73,2.59,23.60135563,2020.0,Jan,23.0
2020/01/23,HIMACHAL PRADESH,UNA,0.03,193.11,0.2,24.1768818,2020.0,Jan,23.0
2020/01/23,HIMACHAL PRADESH,SHIMLA,0.28,721.53,3.62,27.16117691,2020.0,Jan,23.0
2020/01/23,HIMACHAL PRADESH,MANDI,0.27,533.55,2.5,26.0122187,2020.0,Jan,23.0
2020/01/23,HIMACHAL PRADESH,KINNAUR,0.09,789.17,1.01,23.54145617,2020.0,Jan,23.0
2020/01/23,HIMACHAL PRADESH,BILASPUR,0.51,148.02,4.31,24.46475249,2020.0,Jan,23.0
2020/01/23,HIMACHAL PRADESH,SOLAN,0.08,284.32,1.05,28.05968772,2020.0,Jan,23.0
2020/01/23,HIMACHAL PRADESH,SIRMAUR,0.01,376.6,0.06,25.93068292,2020.0,Jan,23.0
2020/01/23,HIMACHAL PRADESH,LAHUL & SPITI,0.05,1654.15,0.38,22.95680553,2020.0,Jan,23.0
2020/01/22,HIMACHAL PRADESH,KULLU,0.31,673.21,3.62,23.52196715,2020.0,Jan,22.0
2020/01/22,HIMACHAL PRADESH,HAMIRPUR,0.25,145.28,1.74,24.93048519,2020.0,Jan,22.0
2020/01/22,HIMACHAL PRADESH,KANGRA,0.23,748.19,2.72,25.17198738,2020.0,Jan,22.0
2020/01/22,HIMACHAL PRADESH,CHAMBA,0.24,802.95,2.69,23.78579107,2020.0,Jan,22.0
2020/01/22,HIMACHAL PRADESH,UNA,0.03,196.16,0.23,24.55870327,2020.0,Jan,22.0
2020/01/22,HIMACHAL PRADESH,SHIMLA,0.28,726.59,3.69,27.35146331,2020.0,Jan,22.0
2020/01/22,HIMACHAL PRADESH,MANDI,0.3,539.31,2.72,26.29316043,2020.0,Jan,22.0
2020/01/22,HIMACHAL PRADESH,KINNAUR,0.1,793.23,1.04,23.66252157,2020.0,Jan,22.0
2020/01/22,HIMACHAL PRADESH,BILASPUR,0.56,150.71,4.77,24.90900454,2020.0,Jan,22.0
2020/01/22,HIMACHAL PRADESH,SOLAN,0.08,287.83,1.09,28.40654447,2020.0,Jan,22.0
2020/01/22,HIMACHAL PRADESH,SIRMAUR,0.01,381.99,0.05,26.3019243,2020.0,Jan,22.0
2020/01/22,HIMACHAL PRADESH,LAHUL & SPITI,0.05,1661.15,0.41,23.0539237,2020.0,Jan,22.0
2020/01/21,HIMACHAL PRADESH,KULLU,0.32,678.01,3.74,23.68958371,2020.0,Jan,21.0
2020/01/21,HIMACHAL PRADESH,HAMIRPUR,0.27,147.39,1.92,25.29281648,2020.0,Jan,21.0
2020/01/21,HIMACHAL PRADESH,KANGRA,0.24,757.61,2.83,25.48872562,2020.0,Jan,21.0
2020/01/21,HIMACHAL PRADESH,CHAMBA,0.25,809.61,2.82,23.98282097,2020.0,Jan,21.0
2020/01/21,HIMACHAL PRADESH,UNA,0.03,198.89,0.24,24.90050551,2020.0,Jan,21.0
2020/01/21,HIMACHAL PRADESH,SHIMLA,0.28,730.3,3.7,27.49104904,2020.0,Jan,21.0
2020/01/21,HIMACHAL PRADESH,MANDI,0.32,544.71,2.88,26.55630816,2020.0,Jan,21.0
2020/01/21,HIMACHAL PRADESH,KINNAUR,0.1,797.25,1.07,23.78239112,2020.0,Jan,21.0
2020/01/21,HIMACHAL PRADESH,BILASPUR,0.62,153.39,5.3,25.35278715,2020.0,Jan,21.0
2020/01/21,HIMACHAL PRADESH,SOLAN,0.09,291.31,1.15,28.74977966,2020.0,Jan,21.0
2020/01/21,HIMACHAL PRADESH,SIRMAUR,0.0,386.86,0.03,26.63665232,2020.0,Jan,21.0
2020/01/21,HIMACHAL PRADESH,LAHUL & SPITI,0.06,1668.3,0.43,23.15320779,2020.0,Jan,21.0
2020/01/20,HIMACHAL PRADESH,KULLU,0.32,681.48,3.8,23.81093001,2020.0,Jan,20.0
2020/01/20,HIMACHAL PRADESH,HAMIRPUR,0.3,149.66,2.12,25.68204807,2020.0,Jan,20.0
2020/01/20,HIMACHAL PRADESH,KANGRA,0.25,767.28,2.94,25.81422518,2020.0,Jan,20.0
2020/01/20,HIMACHAL PRADESH,CHAMBA,0.26,816.69,2.92,24.19266636,2020.0,Jan,20.0
2020/01/20,HIMACHAL PRADESH,UNA,0.04,201.6,0.26,25.24045426,2020.0,Jan,20.0
2020/01/20,HIMACHAL PRADESH,SHIMLA,0.3,736.91,3.83,27.73984355,2020.0,Jan,20.0
2020/01/20,HIMACHAL PRADESH,MANDI,0.32,549.56,2.9,26.79304795,2020.0,Jan,20.0
2020/01/20,HIMACHAL PRADESH,KINNAUR,0.1,801.34,1.1,23.9046556,2020.0,Jan,20.0
2020/01/20,HIMACHAL PRADESH,BILASPUR,0.64,155.44,5.42,25.69101173,2020.0,Jan,20.0
2020/01/20,HIMACHAL PRADESH,SOLAN,0.09,294.7,1.2,29.08450989,2020.0,Jan,20.0
2020/01/20,HIMACHAL PRADESH,SIRMAUR,0.0,391.96,0.03,26.98801837,2020.0,Jan,20.0
2020/01/20,HIMACHAL PRADESH,LAHUL & SPITI,0.06,1675.59,0.44,23.25437555,2020.0,Jan,20.0
2020/01/19,HIMACHAL PRADESH,KULLU,0.33,685.85,3.89,23.96353728,2020.0,Jan,19.0
2020/01/19,HIMACHAL PRADESH,HAMIRPUR,0.34,152.03,2.4,26.08789875,2020.0,Jan,19.0
2020/01/19,HIMACHAL PRADESH,KANGRA,0.27,777.12,3.11,26.14526052,2020.0,Jan,19.0
2020/01/19,HIMACHAL PRADESH,CHAMBA,0.27,823.45,3.04,24.3928868,2020.0,Jan,19.0
2020/01/19,HIMACHAL PRADESH,UNA,0.04,204.58,0.28,25.613899,2020.0,Jan,19.0
2020/01/19,HIMACHAL PRADESH,SHIMLA,0.3,740.93,3.83,27.89143241,2020.0,Jan,19.0
2020/01/19,HIMACHAL PRADESH,MANDI,0.33,555.69,2.94,27.09163216,2020.0,Jan,19.0
2020/01/19,HIMACHAL PRADESH,KINNAUR,0.11,804.54,1.14,24.00005922,2020.0,Jan,19.0
2020/01/19,HIMACHAL PRADESH,BILASPUR,0.7,158.46,5.85,26.19099828,2020.0,Jan,19.0
2020/01/19,HIMACHAL PRADESH,SOLAN,0.1,299.03,1.25,29.51132904,2020.0,Jan,19.0
2020/01/19,HIMACHAL PRADESH,SIRMAUR,0.0,398.2,0.04,27.41777794,2020.0,Jan,19.0
2020/01/19,HIMACHAL PRADESH,LAHUL & SPITI,0.06,1683.07,0.47,23.35814764,2020.0,Jan,19.0
2020/01/18,HIMACHAL PRADESH,KULLU,0.36,691.4,4.08,24.15762187,2020.0,Jan,18.0
2020/01/18,HIMACHAL PRADESH,HAMIRPUR,0.39,155.43,2.76,26.67168864,2020.0,Jan,18.0
2020/01/18,HIMACHAL PRADESH,KANGRA,0.29,789.84,3.3,26.57330009,2020.0,Jan,18.0
2020/01/18,HIMACHAL PRADESH,CHAMBA,0.29,833.09,3.18,24.67836074,2020.0,Jan,18.0
2020/01/18,HIMACHAL PRADESH,UNA,0.04,208.46,0.31,26.09876577,2020.0,Jan,18.0
2020/01/18,HIMACHAL PRADESH,SHIMLA,0.31,749.05,3.93,28.19708437,2020.0,Jan,18.0
2020/01/18,HIMACHAL PRADESH,MANDI,0.4,568.62,3.47,27.72193699,2020.0,Jan,18.0
2020/01/18,HIMACHAL PRADESH,KINNAUR,0.11,808.53,1.18,24.11903943,2020.0,Jan,18.0
2020/01/18,HIMACHAL PRADESH,BILASPUR,0.77,162.92,6.44,26.92776452,2020.0,Jan,18.0
2020/01/18,HIMACHAL PRADESH,SOLAN,0.11,304.84,1.37,30.08483605,2020.0,Jan,18.0
2020/01/18,HIMACHAL PRADESH,SIRMAUR,0.01,406.13,0.08,27.96385075,2020.0,Jan,18.0
2020/01/18,HIMACHAL PRADESH,LAHUL & SPITI,0.07,1691.41,0.51,23.47391662,2020.0,Jan,18.0
2020/01/17,HIMACHAL PRADESH,KULLU,0.37,695.59,4.19,24.30371107,2020.0,Jan,17.0
2020/01/17,HIMACHAL PRADESH,HAMIRPUR,0.37,153.2,2.59,26.28856049,2020.0,Jan,17.0
2020/01/17,HIMACHAL PRADESH,KANGRA,0.28,785.97,3.19,26.44298221,2020.0,Jan,17.0
2020/01/17,HIMACHAL PRADESH,CHAMBA,0.28,832.43,3.1,24.65900444,2020.0,Jan,17.0
2020/01/17,HIMACHAL PRADESH,UNA,0.04,211.99,0.33,26.54135739,2020.0,Jan,17.0
2020/01/17,HIMACHAL PRADESH,SHIMLA,0.33,755.81,4.1,28.45142476,2020.0,Jan,17.0
2020/01/17,HIMACHAL PRADESH,MANDI,0.34,565.37,3.06,27.56351581,2020.0,Jan,17.0
2020/01/17,HIMACHAL PRADESH,KINNAUR,0.12,811.9,1.21,24.21946533,2020.0,Jan,17.0
2020/01/17,HIMACHAL PRADESH,BILASPUR,0.67,158.79,5.66,26.24412694,2020.0,Jan,17.0
2020/01/17,HIMACHAL PRADESH,SOLAN,0.11,306.22,1.38,30.22179971,2020.0,Jan,17.0
2020/01/17,HIMACHAL PRADESH,SIRMAUR,0.01,413.3,0.07,28.45718348,2020.0,Jan,17.0
2020/01/17,HIMACHAL PRADESH,LAHUL & SPITI,0.08,1699.56,0.54,23.58709787,2020.0,Jan,17.0
2020/01/16,HIMACHAL PRADESH,KULLU,0.4,704.04,4.48,24.59905025,2020.0,Jan,16.0
2020/01/16,HIMACHAL PRADESH,HAMIRPUR,0.43,156.74,3.01,26.89563547,2020.0,Jan,16.0
2020/01/16,HIMACHAL PRADESH,KANGRA,0.31,802.64,3.46,27.00376829,2020.0,Jan,16.0
2020/01/16,HIMACHAL PRADESH,CHAMBA,0.3,841.84,3.3,24.93771259,2020.0,Jan,16.0
2020/01/16,HIMACHAL PRADESH,UNA,0.06,217.28,0.4,27.20387703,2020.0,Jan,16.0
2020/01/16,HIMACHAL PRADESH,SHIMLA,0.43,772.13,4.8,29.06592657,2020.0,Jan,16.0
2020/01/16,HIMACHAL PRADESH,MANDI,0.55,578.55,4.34,28.20635565,2020.0,Jan,16.0
2020/01/16,HIMACHAL PRADESH,KINNAUR,0.13,817.67,1.27,24.39156419,2020.0,Jan,16.0
2020/01/16,HIMACHAL PRADESH,BILASPUR,0.76,163.02,6.33,26.94313053,2020.0,Jan,16.0
2020/01/16,HIMACHAL PRADESH,SOLAN,0.14,314.1,1.61,30.9993951,2020.0,Jan,16.0
2020/01/16,HIMACHAL PRADESH,SIRMAUR,0.02,423.31,0.17,29.14672053,2020.0,Jan,16.0
2020/01/16,HIMACHAL PRADESH,LAHUL & SPITI,0.08,1709.21,0.57,23.72096749,2020.0,Jan,16.0
2020/01/15,HIMACHAL PRADESH,KULLU,0.43,712.48,4.74,24.89416685,2020.0,Jan,15.0
2020/01/15,HIMACHAL PRADESH,HAMIRPUR,0.51,161.69,3.63,27.74501129,2020.0,Jan,15.0
2020/01/15,HIMACHAL PRADESH,KANGRA,0.35,825.31,3.89,27.76661117,2020.0,Jan,15.0
2020/01/15,HIMACHAL PRADESH,CHAMBA,0.31,849.52,3.45,25.16525249,2020.0,Jan,15.0
2020/01/15,HIMACHAL PRADESH,UNA,0.08,224.11,0.56,28.05831514,2020.0,Jan,15.0
2020/01/15,HIMACHAL PRADESH,SHIMLA,0.4,769.81,4.65,28.97839797,2020.0,Jan,15.0
