date,state_name,districtname,average_soilmoisture_level_(at_15cm),average_soilmoisture_volume_(at_15cm),aggregate_soilmoisture_percentage_(at_15cm),volume_soilmoisture_percentage_(at_15cm),Year,Month,Day
2020/01/31,RAJASTHAN,GANGANAGAR,0.03,1080.42,0.23,19.67736386,2020,Jan,31
2020/01/31,RAJASTHAN,ALWAR,0.01,548.61,0.13,12.91552032,2020,Jan,31
2020/01/31,RAJASTHAN,DHAULPUR,0.0,194.51,0.0,12.58669829,2020,Jan,31
2020/01/31,RAJASTHAN,RAJSAMAND,0.0,253.5,0.0,10.35964535,2020,Jan,31
2020/01/31,RAJASTHAN,BUNDI,0.02,325.55,0.09,11.44357286,2020,Jan,31
2020/01/31,RAJASTHAN,JAISALMER,0.2,824.79,2.01,4.200225904,2020,Jan,31
2020/01/31,RAJASTHAN,PALI,0.01,558.79,0.08,8.871774142,2020,Jan,31
2020/01/31,RAJASTHAN,JHALAWAR,0.0,637.28,0.0,19.99983581,2020,Jan,31
2020/01/31,RAJASTHAN,BANSWARA,0.0,381.12,0.0,16.60552415,2020,Jan,31
2020/01/31,RAJASTHAN,BARAN,0.0,628.94,0.0,18.07343298,2020,Jan,31
2020/01/31,RAJASTHAN,BHARATPUR,0.01,402.94,0.06,15.59838416,2020,Jan,31
2020/01/31,RAJASTHAN,KARAULI,0.0,343.35,0.0,13.62168346,2020,Jan,31
2020/01/31,RAJASTHAN,DAUSA,0.0,207.39,0.0,11.67948054,2020,Jan,31
2020/01/31,RAJASTHAN,SAWAI MADHOPUR,0.0,401.04,0.0,15.60858979,2020,Jan,31
2020/01/31,RAJASTHAN,DUNGARPUR,0.0,211.46,0.0,10.96561861,2020,Jan,31
2020/01/31,RAJASTHAN,HANUMANGARH,0.03,714.9,0.26,14.01427015,2020,Jan,31
2020/01/31,RAJASTHAN,JODHPUR,0.14,1029.83,1.38,8.82175269,2020,Jan,31
2020/01/31,RAJASTHAN,BHILWARA,0.0,529.02,0.0,9.920560899,2020,Jan,31
2020/01/31,RAJASTHAN,NAGAUR,0.02,648.31,0.26,7.187966832,2020,Jan,31
2020/01/31,RAJASTHAN,CHURU,0.03,499.33,0.31,7.014245104,2020,Jan,31
2020/01/31,RAJASTHAN,TONK,0.0,388.45,0.0,10.50487981,2020,Jan,31
2020/01/31,RAJASTHAN,UDAIPUR,0.0,551.93,0.0,9.092596244,2020,Jan,31
2020/01/31,RAJASTHAN,CHITTAURGARH,0.0,482.6,0.0,12.39152289,2020,Jan,31
2020/01/31,RAJASTHAN,KOTA,0.02,480.28,0.11,17.10659875,2020,Jan,31
2020/01/31,RAJASTHAN,SIKAR,0.04,339.09,0.38,8.617277036,2020,Jan,31
2020/01/31,RAJASTHAN,BARMER,0.12,647.11,1.22,4.466388706,2020,Jan,31
2020/01/31,RAJASTHAN,JALOR,0.32,274.59,3.23,5.021900341,2020,Jan,31
2020/01/31,RAJASTHAN,PRATAPGARH,0.0,389.52,0.0,17.75553801,2020,Jan,31
2020/01/31,RAJASTHAN,JAIPUR,0.01,526.38,0.1,9.149366156,2020,Jan,31
2020/01/31,RAJASTHAN,BIKANER,0.67,2299.88,6.86,14.85999421,2020,Jan,31
2020/01/31,RAJASTHAN,SIROHI,0.02,215.0,0.25,8.180883049,2020,Jan,31
2020/01/31,RAJASTHAN,AJMER,0.0,390.66,0.01,8.986970547,2020,Jan,31
2020/01/31,RAJASTHAN,JHUNJHUNUN,0.03,254.3,0.31,8.386662007,2020,Jan,31
2020/01/30,RAJASTHAN,GANGANAGAR,0.03,1098.61,0.26,20.00853559,2020,Jan,30
2020/01/30,RAJASTHAN,ALWAR,0.01,551.76,0.15,12.98949555,2020,Jan,30
2020/01/30,RAJASTHAN,DHAULPUR,0.0,196.03,0.0,12.68522964,2020,Jan,30
2020/01/30,RAJASTHAN,RAJSAMAND,0.0,254.11,0.0,10.38457728,2020,Jan,30
2020/01/30,RAJASTHAN,BUNDI,0.02,326.88,0.1,11.49053282,2020,Jan,30
2020/01/30,RAJASTHAN,JAISALMER,0.2,837.07,2.07,4.262775695,2020,Jan,30
2020/01/30,RAJASTHAN,PALI,0.01,560.72,0.09,8.902513317,2020,Jan,30
2020/01/30,RAJASTHAN,JHALAWAR,0.0,639.26,0.0,20.0619239,2020,Jan,30
2020/01/30,RAJASTHAN,BANSWARA,0.0,382.22,0.0,16.65367087,2020,Jan,30
2020/01/30,RAJASTHAN,BARAN,0.0,630.7,0.0,18.12404782,2020,Jan,30
2020/01/30,RAJASTHAN,BHARATPUR,0.01,405.83,0.07,15.71010602,2020,Jan,30
2020/01/30,RAJASTHAN,KARAULI,0.0,345.83,0.0,13.71986374,2020,Jan,30
2020/01/30,RAJASTHAN,DAUSA,0.0,208.02,0.0,11.71462794,2020,Jan,30
2020/01/30,RAJASTHAN,SAWAI MADHOPUR,0.0,403.05,0.0,15.6870637,2020,Jan,30
2020/01/30,RAJASTHAN,DUNGARPUR,0.0,212.22,0.0,11.00482828,2020,Jan,30
2020/01/30,RAJASTHAN,HANUMANGARH,0.03,727.26,0.28,14.25656789,2020,Jan,30
2020/01/30,RAJASTHAN,JODHPUR,0.14,1042.13,1.42,8.92711461,2020,Jan,30
2020/01/30,RAJASTHAN,BHILWARA,0.0,530.91,0.0,9.955968828,2020,Jan,30
2020/01/30,RAJASTHAN,NAGAUR,0.02,653.57,0.27,7.246282299,2020,Jan,30
2020/01/30,RAJASTHAN,CHURU,0.03,505.11,0.34,7.095443253,2020,Jan,30
2020/01/30,RAJASTHAN,TONK,0.0,389.64,0.0,10.53701061,2020,Jan,30
2020/01/30,RAJASTHAN,UDAIPUR,0.0,553.57,0.0,9.119616178,2020,Jan,30
2020/01/30,RAJASTHAN,CHITTAURGARH,0.0,485.2,0.0,12.45815107,2020,Jan,30
2020/01/30,RAJASTHAN,KOTA,0.02,482.11,0.12,17.17163332,2020,Jan,30
2020/01/30,RAJASTHAN,SIKAR,0.04,342.32,0.45,8.699376446,2020,Jan,30
2020/01/30,RAJASTHAN,BARMER,0.12,653.58,1.26,4.511028729,2020,Jan,30
2020/01/30,RAJASTHAN,JALOR,0.33,276.26,3.28,5.052398984,2020,Jan,30
2020/01/30,RAJASTHAN,PRATAPGARH,0.0,390.46,0.0,17.7982523,2020,Jan,30
2020/01/30,RAJASTHAN,JAIPUR,0.01,528.61,0.1,9.188131061,2020,Jan,30
2020/01/30,RAJASTHAN,BIKANER,0.68,2334.8,6.97,15.08561409,2020,Jan,30
2020/01/30,RAJASTHAN,SIROHI,0.02,216.0,0.25,8.218895044,2020,Jan,30
2020/01/30,RAJASTHAN,AJMER,0.0,392.52,0.02,9.029696326,2020,Jan,30
2020/01/30,RAJASTHAN,JHUNJHUNUN,0.04,257.42,0.39,8.48965452,2020,Jan,30
2020/01/29,RAJASTHAN,GANGANAGAR,0.03,1118.66,0.29,20.37372649,2020,Jan,29
2020/01/29,RAJASTHAN,ALWAR,0.02,555.31,0.17,13.07309418,2020,Jan,29
2020/01/29,RAJASTHAN,DHAULPUR,0.0,197.86,0.0,12.80325293,2020,Jan,29
2020/01/29,RAJASTHAN,RAJSAMAND,0.0,254.64,0.0,10.40617763,2020,Jan,29
2020/01/29,RAJASTHAN,BUNDI,0.02,328.33,0.1,11.54131416,2020,Jan,29
2020/01/29,RAJASTHAN,JAISALMER,0.21,851.29,2.13,4.335201065,2020,Jan,29
2020/01/29,RAJASTHAN,PALI,0.01,562.78,0.09,8.935171329,2020,Jan,29
2020/01/29,RAJASTHAN,JHALAWAR,0.0,641.09,0.0,20.11935745,2020,Jan,29
2020/01/29,RAJASTHAN,BANSWARA,0.0,383.26,0.0,16.69899814,2020,Jan,29
2020/01/29,RAJASTHAN,BARAN,0.0,632.66,0.0,18.18033266,2020,Jan,29
2020/01/29,RAJASTHAN,BHARATPUR,0.01,409.42,0.07,15.84935037,2020,Jan,29
2020/01/29,RAJASTHAN,KARAULI,0.0,348.75,0.0,13.83578566,2020,Jan,29
2020/01/29,RAJASTHAN,DAUSA,0.0,208.73,0.0,11.75490736,2020,Jan,29
2020/01/29,RAJASTHAN,SAWAI MADHOPUR,0.0,404.96,0.0,15.7610698,2020,Jan,29
2020/01/29,RAJASTHAN,DUNGARPUR,0.0,212.91,0.0,11.04085771,2020,Jan,29
2020/01/29,RAJASTHAN,HANUMANGARH,0.03,740.99,0.3,14.52557567,2020,Jan,29
2020/01/29,RAJASTHAN,JODHPUR,0.15,1057.15,1.48,9.055817484,2020,Jan,29
2020/01/29,RAJASTHAN,BHILWARA,0.0,532.44,0.0,9.984711996,2020,Jan,29
2020/01/29,RAJASTHAN,NAGAUR,0.02,659.05,0.28,7.307049467,2020,Jan,29
2020/01/29,RAJASTHAN,CHURU,0.04,511.04,0.37,7.17876461,2020,Jan,29
2020/01/29,RAJASTHAN,TONK,0.0,390.96,0.0,10.57275928,2020,Jan,29
2020/01/29,RAJASTHAN,UDAIPUR,0.0,555.06,0.0,9.144202481,2020,Jan,29
2020/01/29,RAJASTHAN,CHITTAURGARH,0.0,487.77,0.0,12.52410251,2020,Jan,29
